name,source,field_family,time_s,loop_iteration,raw_0,mechanical_rpm_0,raw_1,mechanical_rpm_1,raw_2,mechanical_rpm_2,raw_3,mechanical_rpm_3,motor_command_0,motor_command_1,motor_command_2,motor_command_3
PR12562 rpm_bb_stress_002,https://github.com/betaflight/betaflight/files/11072576/rpm_bb_stress.zip,RPM,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216,148,275,181
PR12562 rpm_bb_stress_002,https://github.com/betaflight/betaflight/files/11072576/rpm_bb_stress.zip,RPM,0.050228,159,15.0,250.0,72.0,1200.0,63.0,1050.0,71.0,1183.3333333333333,169,151,189,168
PR12562 rpm_bb_stress_002,https://github.com/betaflight/betaflight/files/11072576/rpm_bb_stress.zip,RPM,0.100151,317,72.0,1200.0,229.0,3816.6666666666665,225.0,3750.0,249.0,4150.0,148,179,206,196
PR12562 rpm_bb_stress_002,https://github.com/betaflight/betaflight/files/11072576/rpm_bb_stress.zip,RPM,0.150064,475,216.0,3600.0,216.0,3600.0,272.0,4533.333333333333,264.0,4400.0,154,178,165,181
PR12562 rpm_bb_stress_002,https://github.com/betaflight/betaflight/files/11072576/rpm_bb_stress.zip,RPM,0.200299,634,219.0,3650.0,206.0,3433.3333333333335,273.0,4550.0,267.0,4450.0,150,159,187,181
PR12562 rpm_bb_stress_002,https://github.com/betaflight/betaflight/files/11072576/rpm_bb_stress.zip,RPM,0.250215,792,219.0,3650.0,200.0,3333.3333333333335,272.0,4533.333333333333,270.0,4500.0,151,153,190,183
PR12562 rpm_bb_stress_002,https://github.com/betaflight/betaflight/files/11072576/rpm_bb_stress.zip,RPM,0.300134,950,218.0,3633.3333333333335,194.0,3233.3333333333335,268.0,4466.666666666667,269.0,4483.333333333333,167,148,190,183
PR12562 rpm_bb_stress_002,https://github.com/betaflight/betaflight/files/11072576/rpm_bb_stress.zip,RPM,0.350048,1108,217.0,3616.6666666666665,194.0,3233.3333333333335,268.0,4466.666666666667,270.0,4500.0,168,148,198,186
PR12562 rpm_bb_stress_002,https://github.com/betaflight/betaflight/files/11072576/rpm_bb_stress.zip,RPM,0.400283,1267,219.0,3650.0,193.0,3216.6666666666665,270.0,4500.0,271.0,4516.666666666667,153,163,180,181
PR12562 rpm_bb_stress_002,https://github.com/betaflight/betaflight/files/11072576/rpm_bb_stress.zip,RPM,0.450207,1425,216.0,3600.0,193.0,3216.6666666666665,268.0,4466.666666666667,270.0,4500.0,155,148,189,185
