row_type,name,source,decoder,field_family,motor_poles,frame_count,decoded_frame_count,decoded_frame_fraction,duration_s,actual_sample_hz,rpm_min_all_motors,rpm_median_all_motors,rpm_p95_all_motors,rpm_max_all_motors,sample_interval_s,sample_rows_written,note,motor_index,valid_sample_count,valid_sample_fraction,raw_invalid_count,raw_zero_count,raw_uint16max_count,rpm_min,rpm_p05,rpm_median,rpm_mean,rpm_p95,rpm_p99,rpm_max,median_abs_frame_delta_rpm,p95_abs_frame_delta_rpm,max_50ms_slew_rpm_s,max_50ms_positive_slew_rpm_s,max_50ms_negative_slew_rpm_s,max_100ms_positive_slew_rpm_s,max_100ms_negative_slew_rpm_s
decoded_log_summary,PR12562 rpm_bb_stress_002,https://github.com/betaflight/betaflight/files/11072576/rpm_bb_stress.zip,orangebox 0.5.0,RPM,12.0,87279,87279,1.0,27.575367,3165.071202860147,0.0,24816.666666666668,36233.333333333336,42916.666666666664,0.05,552,RPM fields are converted to mechanical RPM using PR #12562 units and the log's motor_poles header.,,,,,,,,,,,,,,,,,,,,
decoded_motor_rpm_summary,PR12562 rpm_bb_stress_002,https://github.com/betaflight/betaflight/files/11072576/rpm_bb_stress.zip,orangebox 0.5.0,RPM,12.0,87279,,,,,,,,,,,"For eInterval rows, 65535 is treated as no valid telemetry.",0,87279,1.0,0,29,0,0.0,5016.666666666667,25516.666666666668,25097.21582511257,41666.666666666664,42366.666666666664,42916.666666666664,116.66666666666788,383.33333333333576,525477.7070063455,368622.9229707405,525477.7070063455,279219.9148029849,243950.3313131731
decoded_motor_rpm_summary,PR12562 rpm_bb_stress_002,https://github.com/betaflight/betaflight/files/11072576/rpm_bb_stress.zip,orangebox 0.5.0,RPM,12.0,87279,,,,,,,,,,,"For eInterval rows, 65535 is treated as no valid telemetry.",1,87279,1.0,0,29,0,0.0,4016.6666666666665,24266.666666666668,22729.1757849349,31450.0,38466.666666666664,39216.666666666664,150.0,500.0,422638.00424629526,422638.00424629526,290936.8365180541,260242.4714382264,248418.47448095257
decoded_motor_rpm_summary,PR12562 rpm_bb_stress_002,https://github.com/betaflight/betaflight/files/11072576/rpm_bb_stress.zip,orangebox 0.5.0,RPM,12.0,87279,,,,,,,,,,,"For eInterval rows, 65535 is treated as no valid telemetry.",2,87279,1.0,0,29,0,0.0,4516.666666666667,24750.0,23571.13280399638,33783.333333333336,40316.666666666664,40816.666666666664,116.66666666666424,350.0,386207.99490363814,386207.99490363814,297897.467539793,290610.581820359,257569.85833658048
decoded_motor_rpm_summary,PR12562 rpm_bb_stress_002,https://github.com/betaflight/betaflight/files/11072576/rpm_bb_stress.zip,orangebox 0.5.0,RPM,12.0,87279,,,,,,,,,,,"For eInterval rows, 65535 is treated as no valid telemetry.",3,87279,1.0,0,29,0,0.0,4050.0,24633.333333333332,22492.476617132033,34016.666666666664,38466.666666666664,39833.333333333336,116.66666666666424,366.6666666666715,503271.0962485214,503271.0962485214,443223.58904945594,258089.6374764179,275728.25873527356
decoded_log_summary,PR12562 stalled fixed 009,https://github.com/betaflight/betaflight/files/11116144/blackbox_rpm_new_format_009_stalled_fixed.zip,orangebox 0.5.0,eInterval,12.0,6208,0,0.0,3.876388,1601.232900318544,nan,nan,nan,nan,0.05,78,RPM fields are converted to mechanical RPM using PR #12562 units and the log's motor_poles header.,,,,,,,,,,,,,,,,,,,,
decoded_motor_rpm_summary,PR12562 stalled fixed 009,https://github.com/betaflight/betaflight/files/11116144/blackbox_rpm_new_format_009_stalled_fixed.zip,orangebox 0.5.0,eInterval,12.0,6208,,,,,,,,,,,"For eInterval rows, 65535 is treated as no valid telemetry.",0,0,0.0,6208,0,6208,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
decoded_motor_rpm_summary,PR12562 stalled fixed 009,https://github.com/betaflight/betaflight/files/11116144/blackbox_rpm_new_format_009_stalled_fixed.zip,orangebox 0.5.0,eInterval,12.0,6208,,,,,,,,,,,"For eInterval rows, 65535 is treated as no valid telemetry.",1,0,0.0,6208,0,6208,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
decoded_motor_rpm_summary,PR12562 stalled fixed 009,https://github.com/betaflight/betaflight/files/11116144/blackbox_rpm_new_format_009_stalled_fixed.zip,orangebox 0.5.0,eInterval,12.0,6208,,,,,,,,,,,"For eInterval rows, 65535 is treated as no valid telemetry.",2,0,0.0,6208,0,6208,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
decoded_motor_rpm_summary,PR12562 stalled fixed 009,https://github.com/betaflight/betaflight/files/11116144/blackbox_rpm_new_format_009_stalled_fixed.zip,orangebox 0.5.0,eInterval,12.0,6208,,,,,,,,,,,"For eInterval rows, 65535 is treated as no valid telemetry.",3,0,0.0,6208,0,6208,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
decoded_log_summary,PR12562 almost stalled 010,https://github.com/betaflight/betaflight/files/11116145/blackbox_rpm_new_format_010_almost_stalled.zip,orangebox 0.5.0,eInterval,12.0,6284,6284,1.0,3.939821,1594.7425022608895,204.51570680628274,3140.7035175879396,4734.848484848485,4844.961240310077,0.05,79,RPM fields are converted to mechanical RPM using PR #12562 units and the log's motor_poles header.,,,,,,,,,,,,,,,,,,,,
