row_type,name,source,harmonic_count_reference,note,preset,rotor_blade_count,current_hover_rpm,current_max_rpm,current_hover_motor_hz,current_max_motor_hz,current_hover_harmonic2_hz,current_max_harmonic2_hz,current_hover_harmonic3_hz,current_max_harmonic3_hz,current_hover_blade_pass_hz,current_max_blade_pass_hz,gyro_low_pass_hz,gyro_lpf_over_hover_blade_pass,gyro_lpf_over_max_blade_pass,decoded_log,field_family,motor_index,motor_poles,valid_sample_fraction,rpm_p05,rpm_median,rpm_p95,rpm_p99,rpm_max,motor_hz_p05,motor_hz_median,motor_hz_p95,motor_hz_p99,motor_hz_max,harmonic2_hz_median,harmonic2_hz_p95,harmonic2_hz_max,harmonic3_hz_median,harmonic3_hz_p95,harmonic3_hz_max,three_blade_pass_hz_median,three_blade_pass_hz_p95,three_blade_pass_hz_max,decoded_motor_hz_p95_max_motor,decoded_motor_hz_max_motor,decoded_three_blade_pass_hz_p95_max_motor,decoded_three_blade_pass_hz_max_motor,current_hover_bpf_over_decoded_p95_h3,current_max_bpf_over_decoded_p95_h3,current_max_bpf_over_decoded_max_h3,current_max_motor_hz_over_decoded_max_motor_hz
reference_betaflight_rpm_filter_harmonic_rule,Betaflight RPM filter harmonic convention,https://betaflight.com/docs/wiki/guides/current/DSHOT-RPM-Filtering,3,"Betaflight RPM filtering tracks per-motor RPM telemetry and filters motor-noise harmonics. For a three-blade prop, the third motor harmonic equals blade-pass frequency.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_preset_rpm_filter_frequency,racingQuad current RPM filter frequency,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Mirrors current preset RPM scale. Harmonic 3 equals blade-pass only for three-blade props.,racingQuad,3,13023.090711279678,29137.63274949454,217.0515118546613,485.6272124915757,434.1030237093226,971.2544249831514,651.1545355639839,1456.881637474727,651.1545355639839,1456.881637474727,120.0,0.18428805060240347,0.08236770710350975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_preset_rpm_filter_frequency,cinewhoop current RPM filter frequency,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Mirrors current preset RPM scale. Harmonic 3 equals blade-pass only for three-blade props.,cinewhoop,3,4297.487346413935,7964.663928742473,71.62478910689892,132.74439881237456,143.24957821379783,265.4887976247491,214.87436732069676,398.23319643712364,214.87436732069676,398.23319643712364,90.0,0.41884940080208055,0.22599823622240378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_preset_rpm_filter_frequency,heavyLift current RPM filter frequency,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Mirrors current preset RPM scale. Harmonic 3 equals blade-pass only for three-blade props.,heavyLift,2,4728.264076300938,8775.19797885932,78.8044012716823,146.25329964765533,157.6088025433646,292.50659929531065,236.41320381504687,438.75989894296595,157.6088025433646,292.50659929531065,70.0,0.4441376298175995,0.23931084005844586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_preset_rpm_filter_frequency,hexLift current RPM filter frequency,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Mirrors current preset RPM scale. Harmonic 3 equals blade-pass only for three-blade props.,hexLift,2,4169.93695964427,8115.341605103235,69.4989493274045,135.25569341838727,138.997898654809,270.51138683677453,208.49684798221352,405.7670802551618,138.997898654809,270.51138683677453,75.0,0.5395765024207808,0.2772526542302439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_preset_rpm_filter_frequency,octoLift current RPM filter frequency,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Mirrors current preset RPM scale. Harmonic 3 equals blade-pass only for three-blade props.,octoLift,2,4873.783053100573,8269.933431326881,81.22971755167622,137.832223855448,162.45943510335243,275.664447710896,243.68915265502864,413.49667156634405,162.45943510335243,275.664447710896,70.0,0.43087679059986783,0.2539319109927905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_preset_rpm_filter_frequency,coaxialX8 current RPM filter frequency,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Mirrors current preset RPM scale. Harmonic 3 equals blade-pass only for three-blade props.,coaxialX8,2,5015.081387389711,8269.933431326881,83.58468978982852,137.832223855448,167.16937957965703,275.664447710896,250.75406936948553,413.49667156634405,167.16937957965703,275.664447710896,70.0,0.4187369730988602,0.2539319109927905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decoded_motor_rpm_filter_frequency,PR12562 rpm_bb_stress_002 motor0 RPM filter frequency,https://github.com/betaflight/betaflight/files/11072576/rpm_bb_stress.zip,,Derived from decoded PR #12562 mechanical RPM. Three-blade blade-pass columns are a hypothetical prop-family mapping unless the log's actual prop blade count is known.,,,,,,,,,,,,,,,,PR12562 rpm_bb_stress_002,RPM,0,12.0,1.0,5016.666666666667,25516.666666666668,41666.666666666664,42366.666666666664,42916.666666666664,83.61111111111111,425.27777777777777,694.4444444444445,706.1111111111111,715.2777777777777,850.5555555555555,1388.888888888889,1430.5555555555554,1275.8333333333333,2083.3333333333335,2145.833333333333,1275.8333333333333,2083.3333333333335,2145.833333333333,,,,,,,,
decoded_motor_rpm_filter_frequency,PR12562 rpm_bb_stress_002 motor1 RPM filter frequency,https://github.com/betaflight/betaflight/files/11072576/rpm_bb_stress.zip,,Derived from decoded PR #12562 mechanical RPM. Three-blade blade-pass columns are a hypothetical prop-family mapping unless the log's actual prop blade count is known.,,,,,,,,,,,,,,,,PR12562 rpm_bb_stress_002,RPM,1,12.0,1.0,4016.6666666666665,24266.666666666668,31450.0,38466.666666666664,39216.666666666664,66.94444444444444,404.44444444444446,524.1666666666666,641.1111111111111,653.6111111111111,808.8888888888889,1048.3333333333333,1307.2222222222222,1213.3333333333335,1572.5,1960.8333333333333,1213.3333333333335,1572.5,1960.8333333333333,,,,,,,,
decoded_motor_rpm_filter_frequency,PR12562 rpm_bb_stress_002 motor2 RPM filter frequency,https://github.com/betaflight/betaflight/files/11072576/rpm_bb_stress.zip,,Derived from decoded PR #12562 mechanical RPM. Three-blade blade-pass columns are a hypothetical prop-family mapping unless the log's actual prop blade count is known.,,,,,,,,,,,,,,,,PR12562 rpm_bb_stress_002,RPM,2,12.0,1.0,4516.666666666667,24750.0,33783.333333333336,40316.666666666664,40816.666666666664,75.27777777777779,412.5,563.0555555555555,671.9444444444445,680.2777777777777,825.0,1126.111111111111,1360.5555555555554,1237.5,1689.1666666666665,2040.833333333333,1237.5,1689.1666666666665,2040.833333333333,,,,,,,,
