row_type,name,source,max_rate_dps_low,max_rate_dps_high,note,formula,preset,axis,max_rate_dps,rate_expo,rate_super,center_sensitivity_dps_per_stick,center_sensitivity_over_max,rate_at_0_5_stick_dps,rate_at_0_75_stick_dps,mid_stick_over_max,inside_betaflight_race_band,inside_betaflight_freestyle_band,max_rate_over_race_low,max_rate_over_race_high,max_rate_over_freestyle_low,stick,current_target_rate_dps,current_fraction_of_max,equivalent_actual_center_sensitivity_dps,betaflight_actual_same_full_center_dps,current_minus_actual_same_full_center_dps,current_over_actual_same_full_center
reference_rate_band,Betaflight race rate guidance,https://betaflight.com/docs/wiki/guides/current/Rate-Calculator,550.0,650.0,Betaflight rate-calculator guide describes 550-650 deg/s as a common racing range.,,,,,,,,,,,,,,,,,,,,,,,
reference_rate_band,Betaflight freestyle rate guidance,https://betaflight.com/docs/wiki/guides/current/Rate-Calculator,850.0,1200.0,Betaflight rate-calculator guide describes 850-1200 deg/s as a common freestyle range.,,,,,,,,,,,,,,,,,,,,,,,
reference_formula,Betaflight Actual Rates,https://raw.githubusercontent.com/betaflight/betaflight/master/src/main/fc/rc.c,,,Betaflight stores rate profile values in scaled integers; this row records the physical deg/s formula used for curve comparison.,"angleRate = rcCommand * centerSensitivity + max(0, maxRate-centerSensitivity) * expof",,,,,,,,,,,,,,,,,,,,,,
reference_formula,DronePhysics shapeRateInput,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,Current project formula preserves full-stick maxRate but changes center slope and mid-stick authority.,shaped = stick*(1-expo)+stick^3*expo; shaped*(1-super)/(1-|shaped|*super),,,,,,,,,,,,,,,,,,,,,,
current_axis_summary,racingQuad pitch,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,,Current project rate profile; max_rate_dps is the full-stick target in Acro mode.,,racingQuad,pitch,720.0,0.35,0.45,257.40000000000003,0.35750000000000004,175.076807793181,352.18290214953794,0.2431622330460847,0,0,1.309090909090909,1.1076923076923078,0.8470588235294118,,,,,,,
current_curve_scan,racingQuad pitch stick 0.00,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,"Positive-stick Acro-mode curve scan; Betaflight Actual reference uses same full rate, center slope, and expo for shape comparison.",,racingQuad,pitch,720.0,0.35,0.45,,,,,,,,,,,0.0,0.0,0.0,257.40000000000003,0.0,0.0,
current_curve_scan,racingQuad pitch stick 0.25,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,"Positive-stick Acro-mode curve scan; Betaflight Actual reference uses same full rate, center slope, and expo for shape comparison.",,racingQuad,pitch,720.0,0.35,0.45,,,,,,,,,,,0.25,71.9543629833087,0.09993661525459542,257.40000000000003,83.18265380859376,-11.228290825285058,0.8650164389907329
current_curve_scan,racingQuad pitch stick 0.50,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,"Positive-stick Acro-mode curve scan; Betaflight Actual reference uses same full rate, center slope, and expo for shape comparison.",,racingQuad,pitch,720.0,0.35,0.45,,,,,,,,,,,0.5,175.076807793181,0.2431622330460847,257.40000000000003,206.40234375,-31.32553595681901,0.8482307158548483
current_curve_scan,racingQuad pitch stick 0.75,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,"Positive-stick Acro-mode curve scan; Betaflight Actual reference uses same full rate, center slope, and expo for shape comparison.",,racingQuad,pitch,720.0,0.35,0.45,,,,,,,,,,,0.75,352.18290214953794,0.489142919652136,257.40000000000003,391.00462646484374,-38.8217243153058,0.9007128773224468
current_curve_scan,racingQuad pitch stick 1.00,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,"Positive-stick Acro-mode curve scan; Betaflight Actual reference uses same full rate, center slope, and expo for shape comparison.",,racingQuad,pitch,720.0,0.35,0.45,,,,,,,,,,,1.0,720.0,1.0,257.40000000000003,720.0,0.0,1.0
current_axis_summary,racingQuad yaw,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,,Current project rate profile; max_rate_dps is the full-stick target in Acro mode.,,racingQuad,yaw,520.0,0.15,0.2,353.6,0.68,202.57887517146776,339.04415773214606,0.3895747599451303,0,0,0.9454545454545454,0.8,0.611764705882353,,,,,,,
current_curve_scan,racingQuad yaw stick 0.00,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,"Positive-stick Acro-mode curve scan; Betaflight Actual reference uses same full rate, center slope, and expo for shape comparison.",,racingQuad,yaw,520.0,0.15,0.2,,,,,,,,,,,0.0,0.0,0.0,353.6,0.0,0.0,
