row_type,name,source,rotor_count,nominal_battery_v,max_current_pack_a,per_motor_current_limit_a,motor_no_load_omega_scale,inferred_kv_rpm_per_v,torque_constant_nm_per_a,motor_stall_current_scale,inferred_stall_current_a,inferred_winding_resistance_ohm,hover_rpm,max_rpm,hover_back_emf_v,max_back_emf_v,hover_voltage_headroom,max_voltage_headroom,max_desync_headroom_stress,hover_prop_torque_nm,max_prop_torque_nm,hover_shaft_power_w,max_shaft_power_w,reference_efficiency,hover_power_current_a,max_power_current_a,hover_power_current_over_limit,max_power_current_over_limit,hover_phase_current_proxy_a,max_phase_current_proxy_a,motor_active_braking_strength,braking_response_tau_proxy_s,hover_zero_command_braking_current_a,max_zero_command_braking_current_a,hover_zero_command_braking_torque_nm,max_zero_command_braking_torque_nm,max_braking_current_over_limit,esc_output_curve_exponent,esc_output_slew_rate_per_s,esc_output_fall_slew_rate_per_s,esc_deadband,voltage_compensation_strength,esc_command_frame_rate_hz,esc_command_frame_interval_ms,full_up_slew_time_ms,full_down_slew_time_ms,full_up_slew_frames,full_down_slew_frames,motor_out_runner_pole_pairs,commutation_electrical_hz_max,spinup_inertia_power_at_max_tau_w,spinup_inertia_current_at_max_tau_a,note,bits_per_frame,bitrate_kbit_s,raw_frame_us,throttle_steps,dshot300_supported,dshot600_supported,bidirectional_dshot_supported,pwm_frequency_min_khz,pwm_frequency_max_khz,esc_telemetry_supported,variable_pwm_frequency
current_preset,racingQuad,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,4,16.8,90.0,22.5,1.35,2341.416917370097,0.004078426406963689,3.2,72.0,0.23333333333333334,13023.090711279678,29137.63274949454,5.562055443721379,12.444444444444443,0.6689252712070608,0.2592592592592594,0.2951954662153137,0.0377556025,0.189,51.490141898243934,576.6930098294993,0.75,4.0865191982733275,45.769286494404696,0.18162307547881457,2.0341905108624307,9.257394576382298,46.341402575584766,0.55,0.014062499999999999,13.110559260200395,29.333333333333332,0.053470451096863617,0.11963384127093486,1.3037037037037036,1.0,160.0,360.0,0.018,0.85,400.0,2.5,6.25,2.7777777777777777,2.5,1.1111111111111112,7.0,3399.3904874410296,1112.3448275862067,88.28133552271481,"Mirrors current code inferred KV, winding resistance, active-braking, and headroom formulas; phase-current proxy is not DC battery current.",,,,,,,,,,,
current_preset,cinewhoop,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,4,14.8,65.0,16.25,1.35,726.5065070136716,0.013144130841671896,3.2,52.0,0.2846153846153846,4297.487346413935,7964.663928742473,5.915277158464684,10.962962962962962,0.6003191109145485,0.25925925925925936,0.295195466215314,0.030278031874999993,0.104,13.626077867821323,86.7419962477431,0.75,1.2275745826866056,7.814594256553431,0.07554305124225265,0.4808981080955958,2.3035400544710884,7.912276684760352,0.38,0.02777777777777778,7.897694368328524,14.637037037037038,0.10380832812484539,0.19239112994921234,0.9007407407407407,1.08,80.0,150.0,0.022,0.65,400.0,2.5,12.5,6.666666666666667,5.0,2.666666666666667,7.0,929.2107916866219,89.44099378881988,8.05774718818197,"Mirrors current code inferred KV, winding resistance, active-braking, and headroom formulas; phase-current proxy is not DC battery current.",,,,,,,,,,,
current_preset,heavyLift,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,4,22.2,140.0,35.0,1.35,533.6269041198236,0.017895080836046955,3.2,112.0,0.1982142857142857,4728.264076300938,8775.19797885932,8.86061785827655,16.444444444444443,0.6008730694470023,0.2592592592592593,0.29519546621531434,0.3309744375,1.14,163.87956212179702,1047.5877051588566,0.75,9.842616343651473,62.91818049002142,0.2812176098186135,1.7976622997148977,18.49527479268502,63.704657746146694,0.25,0.06,11.175554055483937,20.74074074074074,0.19998744321049744,0.3711572321550479,0.5925925925925926,1.0,45.0,70.0,0.015,0.5,400.0,2.5,22.22222222222222,14.285714285714286,8.88888888888889,5.714285714285714,7.0,1023.7730975335872,598.1481481481482,35.924813702591486,"Mirrors current code inferred KV, winding resistance, active-braking, and headroom formulas; phase-current proxy is not DC battery current.",,,,,,,,,,,
current_preset,hexLift,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,6,22.2,160.0,26.666666666666668,1.35,493.5005030130347,0.019350125333634154,3.2,85.33333333333334,0.26015625,4169.93695964427,8115.341605103235,8.449711670373173,16.444444444444443,0.6193823571903976,0.2592592592592593,0.29519546621531434,0.16475172,0.624,71.9429206372278,530.2980294136496,0.75,4.320896134368036,31.849731496315293,0.16203360503880135,1.1943649311118234,8.514245626803799,32.24785314001924,0.3,0.043181818181818175,9.743811655925821,18.962962962962962,0.18854397676949,0.36693571003039577,0.711111111111111,1.0,55.0,90.0,0.015,0.55,400.0,2.5,18.181818181818183,11.11111111111111,7.272727272727273,4.444444444444445,7.0,946.7898539287108,471.3450292397661,28.309010765151122,"Mirrors current code inferred KV, winding resistance, active-braking, and headroom formulas; phase-current proxy is not DC battery current.",,,,,,,,,,,
current_preset,octoLift,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,8,29.6,220.0,27.5,1.35,377.17601798281385,0.02531787847113026,3.2,88.0,0.33636363636363636,4873.783053100573,8269.933431326881,12.921773444574223,21.925925925925927,0.5634535998454655,0.25925925925925924,0.29519546621531456,0.1917200075,0.552,97.85031966766033,478.04602288901015,0.75,4.407672057101816,21.533604634640096,0.1602789838946115,0.7830401685323671,7.572514723878486,21.802774692573095,0.28,0.04952830188679245,10.756503299807731,18.251851851851853,0.27233184331884375,0.46209816705825896,0.6637037037037038,1.0,50.0,85.0,0.015,0.5,400.0,2.5,20.0,11.764705882352942,8.0,4.705882352941177,7.0,964.8255669881361,499.99999999999983,22.52252252252251,"Mirrors current code inferred KV, winding resistance, active-braking, and headroom formulas; phase-current proxy is not DC battery current.",,,,,,,,,,,
current_preset,coaxialX8,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,8,29.6,220.0,27.5,1.35,377.17601798281385,0.02531787847113026,3.2,88.0,0.33636363636363636,5015.081387389711,8269.933431326881,13.296395179659132,21.925925925925927,0.550797460146651,0.25925925925925924,0.29519546621531456,0.20299765499999997,0.552,106.60992170026837,478.04602288901015,0.75,4.802248725237313,21.533604634640096,0.17462722637226594,0.7830401685323671,8.017956766459571,21.802774692573095,0.28,0.04952830188679245,11.068350581986522,18.251851851851853,0.28022715491059863,0.46209816705825896,0.6637037037037038,1.0,50.0,85.0,0.015,0.5,400.0,2.5,20.0,11.764705882352942,8.0,4.705882352941177,7.0,964.8255669881361,499.99999999999983,22.52252252252251,"Mirrors current code inferred KV, winding resistance, active-braking, and headroom formulas; phase-current proxy is not DC battery current.",,,,,,,,,,,
protocol_reference,Betaflight DShot300 raw frame,https://betaflight.com/docs/development/API/Dshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DShot frame structure reference; raw frame time excludes scheduling and bidirectional-turnaround overhead.,16,300.0,53.333333333333336,2000,,,,,,,
protocol_reference,Betaflight DShot600 raw frame,https://betaflight.com/docs/development/API/Dshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DShot frame structure reference; raw frame time excludes scheduling and bidirectional-turnaround overhead.,16,600.0,26.666666666666668,2000,,,,,,,
firmware_reference,Bluejay ESC firmware features,https://raw.githubusercontent.com/bird-sanctuary/bluejay/master/README.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Open BLHeli_S-descended firmware lists DShot300/600, bidirectional DShot, RPM telemetry, selectable 24/48/96 kHz PWM, startup power, and RPM protection.",,,,,1,1,1,24.0,96.0,,
firmware_reference,AM32 ESC firmware features,https://raw.githubusercontent.com/am32-firmware/AM32/main/README.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Open ARM ESC firmware lists DShot300/600, bidirectional DShot, ESC telemetry, variable PWM frequency, and sinusoidal startup mode.",,,,,1,1,1,,,1,1
