row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
high_advance_packet_source_inventory,APC_propeller_performance_files,advance_ratio_range,"selected files span J=0..2.466, equivalent code mu=0..0.785",text,docs/data/high_advance_rotor_source_inventory.csv,https://www.apcprop.com/technical-information/performance-data/,axial_propeller_prediction_data,"APC states these are proprietary vortex-method predictions from actual geometry, not wind-tunnel measurements and not edgewise rotor mu data."
high_advance_packet_source_inventory,APC_propeller_performance_files,use,High-J axial CT/CP trend and zero-thrust/windmilling boundary checks beyond UIUC 5-inch experimental range.,text,docs/data/high_advance_rotor_source_inventory.csv,https://www.apcprop.com/technical-information/performance-data/,axial_propeller_prediction_data,
high_advance_packet_source_inventory,UIUC_propeller_database,advance_ratio_range,local selected 5-inch rows reach about J=0.571,text,docs/data/high_advance_rotor_source_inventory.csv,https://m-selig.ae.illinois.edu/props/volume-2/propDB-volume-2.html,small_propeller_wind_tunnel_data,Does not reach current retreating-blade-stall/high-advance-loss thresholds.
high_advance_packet_source_inventory,UIUC_propeller_database,use,Low-to-mid J measured CT/CP anchor for 5-inch propellers.,text,docs/data/high_advance_rotor_source_inventory.csv,https://m-selig.ae.illinois.edu/props/volume-2/propDB-volume-2.html,small_propeller_wind_tunnel_data,
high_advance_packet_source_inventory,NASA_CR_2008_215370_Harris,advance_ratio_range,high advance ratio rotor performance theory/test comparison,text,docs/data/high_advance_rotor_source_inventory.csv,https://rotorcraft.arc.nasa.gov/Publications/files/NASA%20CR%202008-215370%20Harris.pdf,high_advance_ratio_rotor_theory_vs_test,"Rotorcraft-scale data; use for threshold/method direction, not direct 5-inch prop coefficients."
high_advance_packet_source_inventory,NASA_CR_2008_215370_Harris,use,Rotorcraft high-mu method source for edgewise/reverse-flow behavior.,text,docs/data/high_advance_rotor_source_inventory.csv,https://rotorcraft.arc.nasa.gov/Publications/files/NASA%20CR%202008-215370%20Harris.pdf,high_advance_ratio_rotor_theory_vs_test,
high_advance_packet_source_inventory,NASA_UH60A_slowed_rotor_Kottapalli,advance_ratio_range,"mu=0.3..1.0, 40% NR slowed rotor",text,docs/data/high_advance_rotor_source_inventory.csv,https://rotorcraft.arc.nasa.gov/Publications/files/A-6-F_Kottapalli.pdf,full_scale_slowed_rotor_high_mu_wind_tunnel,Full-scale UH-60A rotor; not an FPV propeller model.
high_advance_packet_source_inventory,NASA_UH60A_slowed_rotor_Kottapalli,use,"Performance and loads correlation source with CT, CP, L/DE, torque, H-force, and blade-load trends.",text,docs/data/high_advance_rotor_source_inventory.csv,https://rotorcraft.arc.nasa.gov/Publications/files/A-6-F_Kottapalli.pdf,full_scale_slowed_rotor_high_mu_wind_tunnel,
high_advance_packet_source_inventory,NASA_Datta_Yeo_Norman_UH60A_JAHS,advance_ratio_range,up to mu=1.0,text,docs/data/high_advance_rotor_source_inventory.csv,https://rotorcraft.arc.nasa.gov/Publications/files/Datta_Yeo_Norman_JAHS%20Apr2013.pdf,full_scale_slowed_rotor_high_mu_measurement,"Use for qualitative/threshold behavior and high-mu caution, not small-prop axial CT/CP."
high_advance_packet_source_inventory,NASA_Datta_Yeo_Norman_UH60A_JAHS,use,"High-mu aeromechanics source for reverse chord dynamic stall, retreating-side behavior, loads, hub loads, and airloads.",text,docs/data/high_advance_rotor_source_inventory.csv,https://rotorcraft.arc.nasa.gov/Publications/files/Datta_Yeo_Norman_JAHS%20Apr2013.pdf,full_scale_slowed_rotor_high_mu_measurement,
