row_type,name,source_url,evidence_type,advance_ratio_range,use,caveat,propeller,filename,role,diameter_in,pitch_in,pitch_to_diameter,blade_count,row_count,rpm_count,j_max,code_mu_equivalent_max,highest_positive_ct_j,highest_positive_ct_mu_equivalent,nearest_zero_ct_j,nearest_zero_ct,has_nonpositive_ct,min_ct,max_ct,max_efficiency_pe,selected_file_count,parsed_row_count,note
source_inventory,APC_propeller_performance_files,https://www.apcprop.com/technical-information/performance-data/,axial_propeller_prediction_data,"selected files span J=0..2.466, equivalent code mu=0..0.785",High-J axial CT/CP trend and zero-thrust/windmilling boundary checks beyond UIUC 5-inch experimental range.,"APC states these are proprietary vortex-method predictions from actual geometry, not wind-tunnel measurements and not edgewise rotor mu data.",,,,,,,,,,,,,,,,,,,,,,
source_inventory,UIUC_propeller_database,https://m-selig.ae.illinois.edu/props/volume-2/propDB-volume-2.html,small_propeller_wind_tunnel_data,local selected 5-inch rows reach about J=0.571,Low-to-mid J measured CT/CP anchor for 5-inch propellers.,Does not reach current retreating-blade-stall/high-advance-loss thresholds.,,,,,,,,,,,,,,,,,,,,,,
source_inventory,NASA_CR_2008_215370_Harris,https://rotorcraft.arc.nasa.gov/Publications/files/NASA%20CR%202008-215370%20Harris.pdf,high_advance_ratio_rotor_theory_vs_test,high advance ratio rotor performance theory/test comparison,Rotorcraft high-mu method source for edgewise/reverse-flow behavior.,"Rotorcraft-scale data; use for threshold/method direction, not direct 5-inch prop coefficients.",,,,,,,,,,,,,,,,,,,,,,
source_inventory,NASA_UH60A_slowed_rotor_Kottapalli,https://rotorcraft.arc.nasa.gov/Publications/files/A-6-F_Kottapalli.pdf,full_scale_slowed_rotor_high_mu_wind_tunnel,"mu=0.3..1.0, 40% NR slowed rotor","Performance and loads correlation source with CT, CP, L/DE, torque, H-force, and blade-load trends.",Full-scale UH-60A rotor; not an FPV propeller model.,,,,,,,,,,,,,,,,,,,,,,
source_inventory,NASA_Datta_Yeo_Norman_UH60A_JAHS,https://rotorcraft.arc.nasa.gov/Publications/files/Datta_Yeo_Norman_JAHS%20Apr2013.pdf,full_scale_slowed_rotor_high_mu_measurement,up to mu=1.0,"High-mu aeromechanics source for reverse chord dynamic stall, retreating-side behavior, loads, hub loads, and airloads.","Use for qualitative/threshold behavior and high-mu caution, not small-prop axial CT/CP.",,,,,,,,,,,,,,,,,,,,,,
source_inventory,UMD_mach_scale_rotor_high_mu,https://drum.lib.umd.edu/bitstreams/c5e6d200-dc11-4826-b1d7-74dc4298321c/download,mach_scale_rotor_high_mu_test,reported thrust reversal between mu=0.8 and 0.9,Edgewise rotor high-mu thrust-reversal context close to the current stall upper range.,"Mach-scale rotor data, not FPV propeller data.",,,,,,,,,,,,,,,,,,,,,,
source_inventory,ERF_high_advance_ratio_circulation_control_rotor,https://dspace-erf.nlr.nl/bitstreams/44f2b3bd-67ae-4003-89d7-4479c27cb44d/download,high_advance_ratio_rotor_method,mu=0.4..0.7,Rotor analytical-method context across the current stall onset band.,Circulation-control rotor; only a method/phenomenology anchor for FPV.,,,,,,,,,,,,,,,,,,,,,,
source_inventory,DLR_ERF2023_rotor_stall_computation,https://elib.dlr.de/191749/,rotor_stall_code_validation_source,dynamic-stall rotor-code context,Source triage for future dynamic-stall validation references.,DLR page indicates the PDF access status may be limited; keep as source inventory until data is accessible.,,,,,,,,,,,,,,,,,,,,,,
apc_selected_prop_summary,,https://www.apcprop.com/files/PER3_5x45E.dat,,,,,APC_5x4.5E,PER3_5x45E.dat,5-inch moderate-pitch axial reference,5.0,4.5,0.9,2,1139,38,1.0876,0.3461938322134907,1.0847,0.34527073354355775,1.0843,0.0,True,-0.0001,0.2001,0.7845,,,
apc_selected_prop_summary,,https://www.apcprop.com/files/PER3_5x4E-3.dat,,,,,APC_5x4E_3blade,PER3_5x4E-3.dat,5-inch three-blade axial reference,5.0,4.0,0.8,3,1057,36,0.9593,0.3053546738161104,0.9585,0.3051000259071634,0.9545,0.0,True,-0.01,0.282,0.7062,,,
apc_selected_prop_summary,,https://www.apcprop.com/files/PER3_51x50E-3.dat,,,,,APC_5.1x5.0E_3blade,PER3_51x50E-3.dat,5.1-inch three-blade FPV-adjacent reference,5.1,5.0,0.9803921568627452,3,1138,38,1.1302,0.3597538333649203,1.1295,0.35953101644459157,1.1241,0.0,True,-0.0001,0.2488,0.7805,,,
apc_selected_prop_summary,,https://www.apcprop.com/files/PER3_5x5E.dat,,,,,APC_5x5E,PER3_5x5E.dat,5-inch square-pitch axial reference,5.0,5.0,1.0,2,1139,38,1.1707,0.37264538375536377,1.168,0.3717859470626675,1.1686,0.0,True,0.0,0.1368,0.8157,,,
apc_selected_prop_summary,,https://www.apcprop.com/files/PER3_5x75E.dat,,,,,APC_5x7.5E,PER3_5x75E.dat,5-inch high-pitch bridge toward high J,5.0,7.5,1.5,2,1080,36,1.7078,0.5436096236246777,1.7013,0.5415406093644831,1.7025,0.0,True,-0.0001,0.1622,0.8493,,,
