row_type,name,brand,source,cells,nominal_v,capacity_ah,continuous_c,burst_c,weight_g,continuous_current_a,burst_current_a,energy_wh,energy_density_wh_kg,continuous_current_density_a_kg,continuous_power_w,continuous_power_density_w_kg,note,per_cell_ir_min_mohm,per_cell_ir_max_mohm,applicable_capacity_ah_low,applicable_capacity_ah_high,listed_c,listed_current_a,per_cell_ir_mean_mohm,fpv_1500mah_ir_health_band,cell_ir_spread_mohm,cell_ir_cv_percent,pack_ir_mohm,pack_ir_ohm,sag_at_90a_v,sag_at_listed_current_v,sag_at_listed_current_percent_4s_16_8v,measurement_context,cell_1_ir_mohm,cell_2_ir_mohm,cell_3_ir_mohm,cell_4_ir_mohm,preset,empty_v,max_current_a,current_limit_c,pack_resistance_ohm,per_cell_ir_mohm,ir_band,fpv_1500mah_ir_health_source,sag_at_current_limit_v,sag_at_current_limit_percent_nominal,sag_per_cell_at_current_limit_v,reference_pack,match_kind,preset_capacity_ah,reference_capacity_ah,capacity_ratio_preset_over_reference,preset_current_limit_a,reference_continuous_current_a,current_limit_over_reference_continuous,preset_current_c,reference_continuous_c,preset_per_cell_ir_mohm,preset_sag_at_limit_v,preset_sag_percent_nominal,same_ir_sag_at_reference_current_v,same_ir_sag_at_reference_current_percent_nominal,reference_listed_c,reference_listed_current_a,measured_per_cell_ir_mean_mohm,preset_fpv_1500mah_ir_health_band,measured_fpv_1500mah_ir_health_band,measured_pack_ir_mohm,preset_ir_over_measured_mean,preset_pack_sag_at_limit_v,measured_pack_sag_at_preset_limit_v,measured_minus_preset_sag_v,measured_sag_at_preset_limit_percent_nominal
reference_high_c_lipo_pack,Tattu R-Line V5 1550mAh 4S 150C,Tattu,https://genstattu.com/tattu-r-line-version-5-0-1550mah-4s-150c-14-8v-lipo-battery-pack-with-xt60-plug/,4,14.8,1.55,150.0,,254.0,232.5,,22.94,90.31496062992126,915.3543307086615,3441.0,13547.24409448819,"Product page lists 1550mAh, 4S/14.8V, 150C, 254g nominal weight.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_high_c_lipo_pack,Tattu R-Line V6 1300mAh 6S 160C ST,Tattu,https://genstattu.com/tattu-r-line-version-6-0-1300mah-160c-6s-22-2v-st-lipo-battery-pack-with-xt60-plug/,6,22.2,1.3,160.0,,203.0,208.0,,28.86,142.16748768472905,1024.6305418719212,4617.599999999999,22746.798029556645,"Product page lists 1300mAh, 6S/22.2V, 160C, 203g nominal weight.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_high_c_lipo_pack,Tattu R-Line V4 1300mAh 8S 130C,Tattu,https://www.rotorama.com/product/tattu-r-line-1300mah-8s-130c-v4,8,29.6,1.3,130.0,,260.0,169.0,,38.480000000000004,148.0,650.0,5002.400000000001,19240.0,"Retail page lists 29.6V, 130C max current load, 260g.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_high_c_lipo_pack,Gens Ace G-Tech 5000mAh 6S 45C,Gens Ace,https://gensace.de/products/gens-ace-g-tech-5000mah-22-2v-45c-6s1p-lipo-battery-pack-with-ec5-plug,6,22.2,5.0,45.0,,683.0,225.0,,111.0,162.51830161054173,329.4289897510981,4995.0,7313.323572474377,"Product page lists 5000mAh, 22.2V/6S, 45C, approximately 683g.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_high_c_lipo_pack,Tattu Plus 23000mAh 6S HV 25C,Tattu,https://tattuworld.com/high-voltage/tattu-23000mah-6s-22-8v-25c-high-voltage-g-tech-lipo-battery.html,6,22.8,23.0,25.0,,2474.0,575.0,,524.4,211.96443007275664,232.41713823767176,13110.0,5299.1107518189165,"Tattu World page lists 23000mAh, 6S1P, 22.8V, 524.4Wh, 2474g.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_high_c_lipo_pack,Tattu 22000mAh 6S 25C,Tattu,https://www.yangdaonline.com/gens-tattu-22000mah-6s-25c-22-2v-lipo-battery-pack-with-as150-xt150-plug/,6,22.2,22.0,25.0,50.0,2490.0,550.0,1100.0,488.4,196.144578313253,220.88353413654616,12210.0,4903.614457831325,"Yangda page lists 22000mAh, 6S/22.2V, 25C, 50C burst, 2490g net weight.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_ir_band,fresh_high_performance_typical,,https://chinahobbyline.com/blogs/news/lipo-internal-resistance-explained,,,,,,,,,,,,,,CHL practical fresh high-performance pack band.,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_ir_band,strong_fresh_target,,https://chinahobbyline.com/blogs/news/lipo-internal-resistance-explained,,,,,,,,,,,,,,CHL describes below 10 mOhm/cell as a strong fresh-pack target.,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_ir_band,usable_healthy_band,,https://chinahobbyline.com/blogs/news/lipo-internal-resistance-explained,,,,,,,,,,,,,,CHL practical usable/healthy band.,10.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_ir_band,tired_high_performance_pack,,https://chinahobbyline.com/blogs/news/lipo-internal-resistance-explained,,,,,,,,,,,,,,CHL practical threshold above which high-performance packs are considered tired.,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
