row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
icing_rotor_packet_source_inventory,mdpi_drones_2022_6_68,paper_title,An Experimental Apparatus for Icing Tests of Low Altitude Hovering Drones,text,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,source_inventory,Paper title.
icing_rotor_packet_source_inventory,mdpi_drones_2022_6_68,doi,https://doi.org/10.3390/drones6030068,url,docs/data/icing_rotor_mdpi_packet.csv,https://doi.org/10.3390/drones6030068,source_inventory,Formal DOI.
icing_rotor_packet_source_inventory,mdpi_drones_2022_6_68,mdpi_article_url,https://www.mdpi.com/2504-446X/6/3/68,url,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,source_inventory,Open article HTML source.
icing_rotor_packet_source_inventory,mdpi_drones_2022_6_68,book_pdf_mirror_used_for_table_headers,https://mdpi-res.com/bookfiles/book/7901/Unconventional_DroneBased_Surveying.pdf,url,docs/data/icing_rotor_mdpi_packet.csv,https://mdpi-res.com/bookfiles/book/7901/Unconventional_DroneBased_Surveying.pdf,source_inventory,Open MDPI book PDF was used to verify math-rendered Table 4 headers.
icing_rotor_packet_source_inventory,mdpi_drones_2022_6_68,license,CC BY 4.0,text,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,source_inventory,The article states a Creative Commons Attribution license.
icing_rotor_packet_source_inventory,mdpi_drones_2022_6_68,rotor_blade_count,4,count,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,source_inventory,Abstract: the tested drone rotor has four blades.
icing_rotor_packet_source_inventory,mdpi_drones_2022_6_68,rotor_diameter_m,0.66,m,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,source_inventory,Abstract and setup text report a 0.66 m rotor diameter.
icing_rotor_packet_source_inventory,mdpi_drones_2022_6_68,rotor_airfoil,NACA 4412,text,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,source_inventory,Rotor setup text describes a NACA 4412 aerodynamic profile.
icing_rotor_packet_source_inventory,mdpi_drones_2022_6_68,rotor_max_tip_speed_m_s,208,m/s,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,source_inventory,Abstract reports maximum tip speed of 208 m/s.
icing_rotor_packet_source_inventory,mdpi_drones_2022_6_68,table1_condition_rows,7,count,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,source_inventory,Icing parameter grid rows transcribed from Table 1.
icing_rotor_packet_source_inventory,mdpi_drones_2022_6_68,table4_test_case_rows,8,count,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,source_inventory,Icing aerodynamic-rate rows transcribed from Table 4.
icing_rotor_packet_source_inventory,mdpi_drones_2022_6_68,table4_test_rpm,4950,rpm,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,source_inventory,Table 4: all cases are at 4950 RPM.
icing_rotor_packet_source_inventory,mdpi_drones_2022_6_68,table4_test_pitch_deg,11.7,deg,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,source_inventory,Table 4: all cases are at theta = 11.7 degrees.
icing_rotor_packet_source_inventory,mdpi_drones_2022_6_68,table4_test_lambda_g_dm2_h,80,g/dm^2/h,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,source_inventory,Table 4: all cases use lambda = 80 g dm^-2 h^-1.
icing_rotor_packet_source_inventory,mdpi_drones_2022_6_68,dry_height_curve_fit_error_percent,1.28,%,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,source_inventory,Text reports average error between dry CT-vs-CQ curve fits at h=2 m and h=4 m.
icing_rotor_packet_source_inventory,mdpi_drones_2022_6_68,h4_cloud_intensity_multiplier_low,1.3,x,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,source_inventory,Text attributes most h=4 m icing-rate increases to 1.3..1.4x higher precipitation intensity.
icing_rotor_packet_source_inventory,mdpi_drones_2022_6_68,h4_cloud_intensity_multiplier_high,1.4,x,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,source_inventory,Text attributes most h=4 m icing-rate increases to 1.3..1.4x higher precipitation intensity.
icing_rotor_packet_condition_grid,lambda5_MVD120,lambda_g_dm2_h,5,g/dm^2/h,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda5_MVD120,equivalent_rain_mm_h,0.5,mm/h,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda5_MVD120,mvd_um,120,um,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda5_MVD120,lwc_g_m3,0.47,g/m^3,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda5_MVD120,rationale,0.5 g/m3 FAA/AR-09/45 freezing-drizzle-style condition,text,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda25_MVD120,lambda_g_dm2_h,25,g/dm^2/h,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda25_MVD120,equivalent_rain_mm_h,2.5,mm/h,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda25_MVD120,mvd_um,120,um,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda25_MVD120,lwc_g_m3,2.35,g/m^3,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda25_MVD120,rationale,"typical ground icing plus light rain, 2 L/h/m2",text,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda25_MVD800,lambda_g_dm2_h,25,g/dm^2/h,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda25_MVD800,equivalent_rain_mm_h,2.5,mm/h,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda25_MVD800,mvd_um,800,um,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda25_MVD800,lwc_g_m3,0.19,g/m^3,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda25_MVD800,rationale,"typical ground icing plus light rain, 2 L/h/m2",text,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda67_MVD120,lambda_g_dm2_h,67,g/dm^2/h,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda67_MVD120,equivalent_rain_mm_h,6.7,mm/h,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda67_MVD120,mvd_um,120,um,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda67_MVD120,lwc_g_m3,6.31,g/m^3,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda67_MVD120,rationale,"APT70 0.25 in/h requirement plus moderate rain, 6 L/h/m2",text,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda67_MVD800,lambda_g_dm2_h,67,g/dm^2/h,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda67_MVD800,equivalent_rain_mm_h,6.7,mm/h,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda67_MVD800,mvd_um,800,um,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda67_MVD800,lwc_g_m3,0.5,g/m^3,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda67_MVD800,rationale,APT70 0.25 in/h requirement; FAA 0.5 g/m3; moderate rain,text,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda80_MVD120,lambda_g_dm2_h,80,g/dm^2/h,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda80_MVD120,equivalent_rain_mm_h,8,mm/h,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda80_MVD120,mvd_um,120,um,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda80_MVD120,lwc_g_m3,7.53,g/m^3,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda80_MVD120,rationale,"typical ground icing plus moderate rain, 8 L/h/m2",text,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda80_MVD800,lambda_g_dm2_h,80,g/dm^2/h,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda80_MVD800,equivalent_rain_mm_h,8,mm/h,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda80_MVD800,mvd_um,800,um,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda80_MVD800,lwc_g_m3,0.59,g/m^3,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_condition_grid,lambda80_MVD800,rationale,"typical ground icing plus moderate rain, 8 L/h/m2",text,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_condition_table1,Transcribed from Table 1; lambda converts to mm/h using 1 g/dm^2/h = 0.1 mm/h water depth.
icing_rotor_packet_table4_case,MVD120_T-5_h2m,mvd_um,120,um,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_degradation_rate,"Table 4 values are linear rates during icing. Endpoint projections multiply the published rate by published icing time; use as an order-of-magnitude degradation envelope, not as ordinary rain wetness."
icing_rotor_packet_table4_case,MVD120_T-5_h2m,temperature_c,-5,C,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_degradation_rate,"Table 4 values are linear rates during icing. Endpoint projections multiply the published rate by published icing time; use as an order-of-magnitude degradation envelope, not as ordinary rain wetness."
icing_rotor_packet_table4_case,MVD120_T-5_h2m,height_m,2,m,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_degradation_rate,"Table 4 values are linear rates during icing. Endpoint projections multiply the published rate by published icing time; use as an order-of-magnitude degradation envelope, not as ordinary rain wetness."
icing_rotor_packet_table4_case,MVD120_T-5_h2m,rpm,4950,rpm,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_degradation_rate,"Table 4 values are linear rates during icing. Endpoint projections multiply the published rate by published icing time; use as an order-of-magnitude degradation envelope, not as ordinary rain wetness."
icing_rotor_packet_table4_case,MVD120_T-5_h2m,pitch_deg,11.7,deg,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_degradation_rate,"Table 4 values are linear rates during icing. Endpoint projections multiply the published rate by published icing time; use as an order-of-magnitude degradation envelope, not as ordinary rain wetness."
icing_rotor_packet_table4_case,MVD120_T-5_h2m,lambda_g_dm2_h,80,g/dm^2/h,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_degradation_rate,"Table 4 values are linear rates during icing. Endpoint projections multiply the published rate by published icing time; use as an order-of-magnitude degradation envelope, not as ordinary rain wetness."
icing_rotor_packet_table4_case,MVD120_T-5_h2m,equivalent_rain_mm_h,8,mm/h,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_degradation_rate,"Table 4 values are linear rates during icing. Endpoint projections multiply the published rate by published icing time; use as an order-of-magnitude degradation envelope, not as ordinary rain wetness."
icing_rotor_packet_table4_case,MVD120_T-5_h2m,lwc_g_m3,7.53,g/m^3,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_degradation_rate,"Table 4 values are linear rates during icing. Endpoint projections multiply the published rate by published icing time; use as an order-of-magnitude degradation envelope, not as ordinary rain wetness."
icing_rotor_packet_table4_case,MVD120_T-5_h2m,rotation_hz,82.5,Hz,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_degradation_rate,"Table 4 values are linear rates during icing. Endpoint projections multiply the published rate by published icing time; use as an order-of-magnitude degradation envelope, not as ordinary rain wetness."
icing_rotor_packet_table4_case,MVD120_T-5_h2m,tip_speed_m_s,171.059719988,m/s,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_degradation_rate,"Table 4 values are linear rates during icing. Endpoint projections multiply the published rate by published icing time; use as an order-of-magnitude degradation envelope, not as ordinary rain wetness."
icing_rotor_packet_table4_case,MVD120_T-5_h2m,ct_star_percent_s,-0.124,%/s,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_degradation_rate,"Table 4 values are linear rates during icing. Endpoint projections multiply the published rate by published icing time; use as an order-of-magnitude degradation envelope, not as ordinary rain wetness."
icing_rotor_packet_table4_case,MVD120_T-5_h2m,cq_star_percent_s,0.43,%/s,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_degradation_rate,"Table 4 values are linear rates during icing. Endpoint projections multiply the published rate by published icing time; use as an order-of-magnitude degradation envelope, not as ordinary rain wetness."
icing_rotor_packet_table4_case,MVD120_T-5_h2m,cq_plus_percent_s,0.491,%/s,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_degradation_rate,"Table 4 values are linear rates during icing. Endpoint projections multiply the published rate by published icing time; use as an order-of-magnitude degradation envelope, not as ordinary rain wetness."
icing_rotor_packet_table4_case,MVD120_T-5_h2m,p_plus_percent_s,0.524,%/s,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_degradation_rate,"Table 4 values are linear rates during icing. Endpoint projections multiply the published rate by published icing time; use as an order-of-magnitude degradation envelope, not as ordinary rain wetness."
icing_rotor_packet_table4_case,MVD120_T-5_h2m,icing_time_s,169,s,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_degradation_rate,"Table 4 values are linear rates during icing. Endpoint projections multiply the published rate by published icing time; use as an order-of-magnitude degradation envelope, not as ordinary rain wetness."
icing_rotor_packet_table4_case,MVD120_T-5_h2m,projected_total_ct_loss_percent,20.956,%,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_degradation_rate,"Table 4 values are linear rates during icing. Endpoint projections multiply the published rate by published icing time; use as an order-of-magnitude degradation envelope, not as ordinary rain wetness."
icing_rotor_packet_table4_case,MVD120_T-5_h2m,projected_total_cq_increase_percent,72.67,%,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_degradation_rate,"Table 4 values are linear rates during icing. Endpoint projections multiply the published rate by published icing time; use as an order-of-magnitude degradation envelope, not as ordinary rain wetness."
icing_rotor_packet_table4_case,MVD120_T-5_h2m,projected_total_cq_required_increase_percent,82.979,%,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_degradation_rate,"Table 4 values are linear rates during icing. Endpoint projections multiply the published rate by published icing time; use as an order-of-magnitude degradation envelope, not as ordinary rain wetness."
icing_rotor_packet_table4_case,MVD120_T-5_h2m,projected_total_power_required_increase_percent,88.556,%,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_degradation_rate,"Table 4 values are linear rates during icing. Endpoint projections multiply the published rate by published icing time; use as an order-of-magnitude degradation envelope, not as ordinary rain wetness."
icing_rotor_packet_table4_case,MVD120_T-5_h2m,projected_end_ct_scale,0.79044,x,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_degradation_rate,"Table 4 values are linear rates during icing. Endpoint projections multiply the published rate by published icing time; use as an order-of-magnitude degradation envelope, not as ordinary rain wetness."
icing_rotor_packet_table4_case,MVD120_T-5_h2m,projected_ct_loss_over_current_full_rain_loss,6.98533333333,x,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_degradation_rate,"Table 4 values are linear rates during icing. Endpoint projections multiply the published rate by published icing time; use as an order-of-magnitude degradation envelope, not as ordinary rain wetness."
icing_rotor_packet_table4_case,MVD120_T-5_h4m,mvd_um,120,um,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_degradation_rate,"Table 4 values are linear rates during icing. Endpoint projections multiply the published rate by published icing time; use as an order-of-magnitude degradation envelope, not as ordinary rain wetness."
icing_rotor_packet_table4_case,MVD120_T-5_h4m,temperature_c,-5,C,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_degradation_rate,"Table 4 values are linear rates during icing. Endpoint projections multiply the published rate by published icing time; use as an order-of-magnitude degradation envelope, not as ordinary rain wetness."
icing_rotor_packet_table4_case,MVD120_T-5_h4m,height_m,4,m,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_degradation_rate,"Table 4 values are linear rates during icing. Endpoint projections multiply the published rate by published icing time; use as an order-of-magnitude degradation envelope, not as ordinary rain wetness."
icing_rotor_packet_table4_case,MVD120_T-5_h4m,rpm,4950,rpm,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_degradation_rate,"Table 4 values are linear rates during icing. Endpoint projections multiply the published rate by published icing time; use as an order-of-magnitude degradation envelope, not as ordinary rain wetness."
icing_rotor_packet_table4_case,MVD120_T-5_h4m,pitch_deg,11.7,deg,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_degradation_rate,"Table 4 values are linear rates during icing. Endpoint projections multiply the published rate by published icing time; use as an order-of-magnitude degradation envelope, not as ordinary rain wetness."
icing_rotor_packet_table4_case,MVD120_T-5_h4m,lambda_g_dm2_h,80,g/dm^2/h,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_degradation_rate,"Table 4 values are linear rates during icing. Endpoint projections multiply the published rate by published icing time; use as an order-of-magnitude degradation envelope, not as ordinary rain wetness."
icing_rotor_packet_table4_case,MVD120_T-5_h4m,equivalent_rain_mm_h,8,mm/h,docs/data/icing_rotor_mdpi_packet.csv,https://www.mdpi.com/2504-446X/6/3/68,icing_degradation_rate,"Table 4 values are linear rates during icing. Endpoint projections multiply the published rate by published icing time; use as an order-of-magnitude degradation envelope, not as ordinary rain wetness."
