row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
imav2021_forward_flow_packet_source_inventory,paper,pdf_size_bytes,789997,bytes,docs/data/raw/imav2021_forward_flow/imav2021_21_propulsive_efficiency.pdf,https://www.imavs.org/papers/2021/21.pdf,public_pdf,IMAV 2021-21 Propulsive efficiency of small multirotor propellers in fast forward flight
imav2021_forward_flow_packet_source_inventory,paper,raw_curve_csv_found_in_pdf,0,boolean,docs/data/raw/imav2021_forward_flow/imav2021_21_propulsive_efficiency.pdf,https://www.imavs.org/papers/2021/21.pdf,data_availability,The PDF summarizes results in figures; no raw CSV/table curves were found in the paper text.
imav2021_forward_flow_packet_test_article,test_hardware,diameter,5,inch,docs/data/raw/imav2021_forward_flow/imav2021_21_propulsive_efficiency.pdf,https://www.imavs.org/papers/2021/21.pdf,test_setup,All chosen propellers have 5-inch diameter.
imav2021_forward_flow_packet_test_article,test_hardware,blade_count,3,count,docs/data/raw/imav2021_forward_flow/imav2021_21_propulsive_efficiency.pdf,https://www.imavs.org/papers/2021/21.pdf,test_setup,All chosen propellers have 3 blades.
imav2021_forward_flow_packet_test_article,test_hardware,propeller_series,HQProp 3 Blade V1S,text,docs/data/raw/imav2021_forward_flow/imav2021_21_propulsive_efficiency.pdf,https://www.imavs.org/papers/2021/21.pdf,test_setup,Four advertised pitch variants were tested.
imav2021_forward_flow_packet_test_article,test_hardware,pitch_values,"4, 4.3, 4.8, 5",inch,docs/data/raw/imav2021_forward_flow/imav2021_21_propulsive_efficiency.pdf,https://www.imavs.org/papers/2021/21.pdf,test_setup,Advertised geometric pitch values.
imav2021_forward_flow_packet_test_article,test_hardware,test_motor,T-Motor F80 2500kv,text,docs/data/raw/imav2021_forward_flow/imav2021_21_propulsive_efficiency.pdf,https://www.imavs.org/papers/2021/21.pdf,test_setup,Selected for relevant RPM range and thermal capacity.
imav2021_forward_flow_packet_test_article,test_hardware,esc,T-Motor Flame 80A,text,docs/data/raw/imav2021_forward_flow/imav2021_21_propulsive_efficiency.pdf,https://www.imavs.org/papers/2021/21.pdf,test_setup,ESC used to drive the motor.
imav2021_forward_flow_packet_test_article,test_hardware,nominal_voltage,14.8,V,docs/data/raw/imav2021_forward_flow/imav2021_21_propulsive_efficiency.pdf,https://www.imavs.org/papers/2021/21.pdf,test_setup,Motor operated at nominal voltage of recommended battery configuration.
imav2021_forward_flow_packet_test_article,test_hardware,force_torque_stand,RCBenchmark 1580,text,docs/data/raw/imav2021_forward_flow/imav2021_21_propulsive_efficiency.pdf,https://www.imavs.org/papers/2021/21.pdf,test_setup,Measures force and mechanical torque.
imav2021_forward_flow_packet_test_article,test_hardware,rpm_sensor,RCBenchmark Back-emf Sensor,text,docs/data/raw/imav2021_forward_flow/imav2021_21_propulsive_efficiency.pdf,https://www.imavs.org/papers/2021/21.pdf,test_setup,RPM source listed in equipment table.
imav2021_forward_flow_packet_test_matrix,matrix,wind_speeds,"10, 15, 20",m/s,docs/data/raw/imav2021_forward_flow/imav2021_21_propulsive_efficiency.pdf,https://www.imavs.org/papers/2021/21.pdf,test_matrix,Wind speeds from the testing matrix.
imav2021_forward_flow_packet_test_matrix,matrix,flow_angles,"30, 35, 40, 45, 50, 90",deg,docs/data/raw/imav2021_forward_flow/imav2021_21_propulsive_efficiency.pdf,https://www.imavs.org/papers/2021/21.pdf,test_matrix,0 deg is hover convention; 90 deg is axial fixed-wing-like flow.
imav2021_forward_flow_packet_test_matrix,matrix,rpm_ramp_start,10000,rpm,docs/data/raw/imav2021_forward_flow/imav2021_21_propulsive_efficiency.pdf,https://www.imavs.org/papers/2021/21.pdf,test_matrix,"Each test ramped from 10,000 rpm."
imav2021_forward_flow_packet_test_matrix,matrix,rpm_ramp_end_approx,30000,rpm,docs/data/raw/imav2021_forward_flow/imav2021_21_propulsive_efficiency.pdf,https://www.imavs.org/papers/2021/21.pdf,test_matrix,"Maximum rpm varied by configuration, approximately 30,000 rpm."
imav2021_forward_flow_packet_test_matrix,matrix,ramp_duration,45,s,docs/data/raw/imav2021_forward_flow/imav2021_21_propulsive_efficiency.pdf,https://www.imavs.org/papers/2021/21.pdf,test_matrix,Ramp duration for each test.
imav2021_forward_flow_packet_test_matrix,matrix,repeat_count,3,count,docs/data/raw/imav2021_forward_flow/imav2021_21_propulsive_efficiency.pdf,https://www.imavs.org/papers/2021/21.pdf,test_matrix,Each ramp repeated three times.
imav2021_forward_flow_packet_test_matrix,matrix,high_quality_crop_start,15000,rpm,docs/data/raw/imav2021_forward_flow/imav2021_21_propulsive_efficiency.pdf,https://www.imavs.org/papers/2021/21.pdf,test_matrix,"Paper crops results to >=15,000 rpm for higher data quality."
imav2021_forward_flow_packet_logged_schema,logged_data,thrust,1,N,docs/data/raw/imav2021_forward_flow/imav2021_21_propulsive_efficiency.pdf,https://www.imavs.org/papers/2021/21.pdf,measurement_schema,Logged as FT.
imav2021_forward_flow_packet_logged_schema,logged_data,mechanical_torque,1,N*m,docs/data/raw/imav2021_forward_flow/imav2021_21_propulsive_efficiency.pdf,https://www.imavs.org/papers/2021/21.pdf,measurement_schema,Logged as M; used to compute mechanical power.
