preset,sensor,source,gyro_noise_dps_sqrt_hz,accel_noise_ug_sqrt_hz,gyro_lpf_hz,accel_lpf_hz,gyro_enbw_hz,accel_enbw_hz,sensor_gyro_rms_rad_s,sensor_accel_rms_m_s2,configured_gyro_noise_rad_s,configured_accel_noise_m_s2,configured_over_sensor_gyro,configured_over_sensor_accel,gyro_equivalent_white_noise_bandwidth_hz,accel_equivalent_white_noise_bandwidth_hz,gyro_equivalent_one_pole_cutoff_hz,accel_equivalent_one_pole_cutoff_hz
racingQuad,MPU-6000/MPU-6050,https://www.cdiweb.com/datasheets/invensense/mpu-6050_datasheet_v3%204.pdf,0.005,400.0,120.0,80.0,188.49555921538757,125.66370614359172,0.0011981134221083173,0.043972949689830995,0.025,0.22,20.866137995522628,5.003075789816218,82070.1587502936,3145.4589939053944,52247.48578178318,2002.4613886916138
racingQuad,ICM-20602,https://bluerobotics.com/wp-content/uploads/2022/05/ICM20602-DATASHEET.pdf,0.004,100.0,120.0,80.0,188.49555921538757,125.66370614359172,0.0009584907376866537,0.010993237422457749,0.025,0.22,26.08267249440329,20.01230315926487,128234.62304733376,50327.34390248631,81636.69653403622,32039.38221906582
racingQuad,BMI270,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bmi270-ds000.pdf,0.008,160.0,120.0,80.0,188.49555921538757,125.66370614359172,0.0019169814753733075,0.017589179875932396,0.025,0.22,13.041336247201645,12.507689474540545,32058.65576183344,19659.11871190871,20409.174133509056,12515.383679322584
racingQuad,ICM-42688-P,https://invensense.tdk.com/en-us/products/6-axis/icm-42688-p,0.0028,70.0,120.0,80.0,188.49555921538757,125.66370614359172,0.0006709435163806577,0.0076952661957204235,0.025,0.22,37.26096070629041,28.58900451323553,261703.31234149743,102708.86510711492,166605.50313068615,65386.494324624124
cinewhoop,MPU-6000/MPU-6050,https://www.cdiweb.com/datasheets/invensense/mpu-6050_datasheet_v3%204.pdf,0.005,400.0,90.0,65.0,141.3716694115407,102.10176124166827,0.0010375966601609112,0.039636681210020994,0.018,0.2,17.347781359674524,5.045831131528635,42545.170296152195,2599.5528875251193,27085.096629276395,1654.9267675137303
cinewhoop,ICM-20602,https://bluerobotics.com/wp-content/uploads/2022/05/ICM20602-DATASHEET.pdf,0.004,100.0,90.0,65.0,141.3716694115407,102.10176124166827,0.0008300773281287289,0.009909170302505248,0.018,0.2,21.68472669959316,20.18332452611454,66476.82858773781,41592.84620040191,42320.46348324437,26478.828280219685
cinewhoop,BMI270,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bmi270-ds000.pdf,0.008,160.0,90.0,65.0,141.3716694115407,102.10176124166827,0.0016601546562574577,0.015854672484008396,0.018,0.2,10.84236334979658,12.614577828821588,16619.207146934452,16247.205547031997,10580.115870811092,10343.292296960815
cinewhoop,ICM-42688-P,https://invensense.tdk.com/en-us/products/6-axis/icm-42688-p,0.0028,70.0,90.0,65.0,141.3716694115407,102.10176124166827,0.0005810541296901102,0.006936419211753673,0.018,0.2,30.978180999418797,28.833320751592204,135666.99711783224,84883.35959265697,86368.29282294768,54038.42506167283
heavyLift,MPU-6000/MPU-6050,https://www.cdiweb.com/datasheets/invensense/mpu-6050_datasheet_v3%204.pdf,0.005,400.0,70.0,45.0,109.95574287564276,70.68583470577035,0.000915074241325657,0.03297971226737324,0.012,0.16,13.113690078977356,4.85146743254906,18908.964576067643,1663.713848016076,12037.820724122843,1059.1531312087873
heavyLift,ICM-20602,https://bluerobotics.com/wp-content/uploads/2022/05/ICM20602-DATASHEET.pdf,0.004,100.0,70.0,45.0,109.95574287564276,70.68583470577035,0.0007320593930605256,0.00824492806684331,0.012,0.16,16.392112598721695,19.40586973019624,29545.257150105695,26619.421568257218,18809.094881441943,16946.450099340596
