row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
kolaei2018_inflow_angle_rotor_packet_source_inventory,paper,pdf_size_bytes,4364164,bytes,docs/data/raw/kolaei2018_inflow_angles/kolaei2018_experimental_analysis_small_scale_rotor_inflow_angles.pdf,https://doi.org/10.1155/2018/2560370,public_pdf,Experimental Analysis of a Small-Scale Rotor at Various Inflow Angles
kolaei2018_inflow_angle_rotor_packet_source_inventory,paper,license,Creative Commons Attribution License,text,docs/data/raw/kolaei2018_inflow_angles/kolaei2018_experimental_analysis_small_scale_rotor_inflow_angles.pdf,https://doi.org/10.1155/2018/2560370,source_context,Paper states open access under CC BY.
kolaei2018_inflow_angle_rotor_packet_source_inventory,paper,journal,International Journal of Aerospace Engineering,text,docs/data/raw/kolaei2018_inflow_angles/kolaei2018_experimental_analysis_small_scale_rotor_inflow_angles.pdf,https://doi.org/10.1155/2018/2560370,source_context,Hindawi/Wiley article.
kolaei2018_inflow_angle_rotor_packet_source_inventory,paper,vehicle_context,small unmanned multirotor aerial vehicles,text,docs/data/raw/kolaei2018_inflow_angles/kolaei2018_experimental_analysis_small_scale_rotor_inflow_angles.pdf,https://doi.org/10.1155/2018/2560370,source_context,Motivated by multirotor rotors in horizontal flight.
kolaei2018_inflow_angle_rotor_packet_rotor,MAE 11x7,diameter,11,inch,docs/data/raw/kolaei2018_inflow_angles/kolaei2018_experimental_analysis_small_scale_rotor_inflow_angles.pdf,https://doi.org/10.1155/2018/2560370,test_hardware,Measured rotor; model-aircraft electric propeller class.
kolaei2018_inflow_angle_rotor_packet_rotor,MAE 11x7,pitch,7,inch,docs/data/raw/kolaei2018_inflow_angles/kolaei2018_experimental_analysis_small_scale_rotor_inflow_angles.pdf,https://doi.org/10.1155/2018/2560370,test_hardware,Measured rotor; model-aircraft electric propeller class.
kolaei2018_inflow_angle_rotor_packet_rotor,MAE 11x7,rpm_values,"3000, 4000, 5000",rpm,docs/data/raw/kolaei2018_inflow_angles/kolaei2018_experimental_analysis_small_scale_rotor_inflow_angles.pdf,https://doi.org/10.1155/2018/2560370,test_matrix,Measured rotor; model-aircraft electric propeller class.
kolaei2018_inflow_angle_rotor_packet_rotor,T-Motor 18x6.1,diameter,18,inch,docs/data/raw/kolaei2018_inflow_angles/kolaei2018_experimental_analysis_small_scale_rotor_inflow_angles.pdf,https://doi.org/10.1155/2018/2560370,test_hardware,Measured rotor; geometry obtained by 3D scanning.
kolaei2018_inflow_angle_rotor_packet_rotor,T-Motor 18x6.1,pitch,6.1,inch,docs/data/raw/kolaei2018_inflow_angles/kolaei2018_experimental_analysis_small_scale_rotor_inflow_angles.pdf,https://doi.org/10.1155/2018/2560370,test_hardware,Measured rotor; geometry obtained by 3D scanning.
kolaei2018_inflow_angle_rotor_packet_rotor,T-Motor 18x6.1,rpm_values,"3000, 4000",rpm,docs/data/raw/kolaei2018_inflow_angles/kolaei2018_experimental_analysis_small_scale_rotor_inflow_angles.pdf,https://doi.org/10.1155/2018/2560370,test_matrix,Measured rotor; geometry obtained by 3D scanning.
kolaei2018_inflow_angle_rotor_packet_test_matrix,wind_tunnel_matrix,inflow_angle_range,-90..90,deg,docs/data/raw/kolaei2018_inflow_angles/kolaei2018_experimental_analysis_small_scale_rotor_inflow_angles.pdf,https://doi.org/10.1155/2018/2560370,test_matrix,Sign convention covers descent/side/upward-like inflow orientations.
kolaei2018_inflow_angle_rotor_packet_test_matrix,wind_tunnel_matrix,advance_ratio_mu_range,0..0.30,mu,docs/data/raw/kolaei2018_inflow_angles/kolaei2018_experimental_analysis_small_scale_rotor_inflow_angles.pdf,https://doi.org/10.1155/2018/2560370,test_matrix,Reported operating range in the article; same definition form as project code.
kolaei2018_inflow_angle_rotor_packet_test_matrix,wind_tunnel_matrix,angles_with_full_trends,"90, 60, 30, 15, 5, 0, -5, -15, -30, -60, -90",deg,docs/data/raw/kolaei2018_inflow_angles/kolaei2018_experimental_analysis_small_scale_rotor_inflow_angles.pdf,https://doi.org/10.1155/2018/2560370,test_matrix,"Figures include dense near-zero-angle curves, not only coarse 30-degree steps."
kolaei2018_inflow_angle_rotor_packet_test_matrix,wind_tunnel_matrix,rpm_sweep,"3000, 4000, 5000",rpm,docs/data/raw/kolaei2018_inflow_angles/kolaei2018_experimental_analysis_small_scale_rotor_inflow_angles.pdf,https://doi.org/10.1155/2018/2560370,test_matrix,5000 rpm reported for the 11-inch rotor only in the summarized packet.
kolaei2018_inflow_angle_rotor_packet_test_matrix,wind_tunnel_matrix,measured_coefficients,"CT, CP, CMx",text,docs/data/raw/kolaei2018_inflow_angles/kolaei2018_experimental_analysis_small_scale_rotor_inflow_angles.pdf,https://doi.org/10.1155/2018/2560370,test_matrix,"Thrust, power, and roll-moment coefficients versus advance ratio and angle."
kolaei2018_inflow_angle_rotor_packet_test_matrix,wind_tunnel_matrix,wall_interference_angle_change,<3,deg,docs/data/raw/kolaei2018_inflow_angles/kolaei2018_experimental_analysis_small_scale_rotor_inflow_angles.pdf,https://doi.org/10.1155/2018/2560370,test_matrix,Paper reports estimated angle change below 3 deg for advance ratios above 0.1.
