row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
lipo_crate_packet_source_inventory,Mendeley kxsbr4x3j2,dataset_version,2,version,docs/data/mendeley_c_rate_temperature_file_inventory.csv,https://data.mendeley.com/datasets/kxsbr4x3j2/2,open_discharge_curve_dataset,Public Mendeley dataset metadata. Full dataset is inventoried; only the selected subset is cached locally.
lipo_crate_packet_source_inventory,Mendeley kxsbr4x3j2,file_count_total,334,count,docs/data/mendeley_c_rate_temperature_file_inventory.csv,https://data.mendeley.com/datasets/kxsbr4x3j2/2,open_discharge_curve_dataset,Public Mendeley dataset metadata. Full dataset is inventoried; only the selected subset is cached locally.
lipo_crate_packet_source_inventory,Mendeley kxsbr4x3j2,xlsx_file_count,325,count,docs/data/mendeley_c_rate_temperature_file_inventory.csv,https://data.mendeley.com/datasets/kxsbr4x3j2/2,open_discharge_curve_dataset,Public Mendeley dataset metadata. Full dataset is inventoried; only the selected subset is cached locally.
lipo_crate_packet_source_inventory,Mendeley kxsbr4x3j2,total_dataset_size_mb,638.231736,MB,docs/data/mendeley_c_rate_temperature_file_inventory.csv,https://data.mendeley.com/datasets/kxsbr4x3j2/2,open_discharge_curve_dataset,Public Mendeley dataset metadata. Full dataset is inventoried; only the selected subset is cached locally.
lipo_crate_packet_source_inventory,Mendeley kxsbr4x3j2,selected_curve_count,33,count,docs/data/mendeley_c_rate_temperature_file_inventory.csv,https://data.mendeley.com/datasets/kxsbr4x3j2/2,open_discharge_curve_dataset,Public Mendeley dataset metadata. Full dataset is inventoried; only the selected subset is cached locally.
lipo_crate_packet_source_inventory,Mendeley kxsbr4x3j2,selected_download_size_mb,84.682438,MB,docs/data/mendeley_c_rate_temperature_file_inventory.csv,https://data.mendeley.com/datasets/kxsbr4x3j2/2,open_discharge_curve_dataset,Public Mendeley dataset metadata. Full dataset is inventoried; only the selected subset is cached locally.
lipo_crate_packet_source_inventory,Mendeley kxsbr4x3j2,chemistry_count,3,count,docs/data/mendeley_c_rate_temperature_file_inventory.csv,https://data.mendeley.com/datasets/kxsbr4x3j2/2,open_discharge_curve_dataset,Public Mendeley dataset metadata. Full dataset is inventoried; only the selected subset is cached locally.
lipo_crate_packet_source_inventory,Mendeley kxsbr4x3j2,temperature_count,3,count,docs/data/mendeley_c_rate_temperature_file_inventory.csv,https://data.mendeley.com/datasets/kxsbr4x3j2/2,open_discharge_curve_dataset,Public Mendeley dataset metadata. Full dataset is inventoried; only the selected subset is cached locally.
lipo_crate_packet_source_inventory,Mendeley kxsbr4x3j2,all_file_c_rate_min,0.05,C,docs/data/mendeley_c_rate_temperature_file_inventory.csv,https://data.mendeley.com/datasets/kxsbr4x3j2/2,open_discharge_curve_dataset,Public Mendeley dataset metadata. Full dataset is inventoried; only the selected subset is cached locally.
lipo_crate_packet_source_inventory,Mendeley kxsbr4x3j2,all_file_c_rate_max,20,C,docs/data/mendeley_c_rate_temperature_file_inventory.csv,https://data.mendeley.com/datasets/kxsbr4x3j2/2,open_discharge_curve_dataset,Public Mendeley dataset metadata. Full dataset is inventoried; only the selected subset is cached locally.
lipo_crate_packet_source_inventory,Mendeley kxsbr4x3j2,dataset_title,Experimental data of three lithium-ion batteries under galvanostatic discharge tests at different C-rates and operating temperatures,text,docs/data/mendeley_c_rate_temperature_file_inventory.csv,https://data.mendeley.com/datasets/kxsbr4x3j2/2,open_discharge_curve_dataset,"Not an FPV LiPo pack dataset; use for C-rate/temperature shape, not absolute FPV ESR."
