pack,cycle,sample_count,capacity_ah,initial_capacity_ah,capacity_soh,relative_cycle,soc_min,soc_max,r0_min_ohm,r0_max_ohm,r0_mean_ohm,r0_high_soc_ohm,r0_low_soc_ohm,r0_low_soc_over_high_soc,source_file
LiPO_1,0,11,1.02655280097656,1.02655280097656,1.0,0.0,0.102017442393058,1.0,0.0764215471266301,0.0791125230568775,0.0778196925001481,0.0764215471266301,0.0791125230568775,1.0352122671082342,"LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1_fit/model_fit_cycle_0.csv"
LiPO_1,45,10,0.994609629418985,1.02655280097656,0.9688830700893442,0.22058823529411764,0.0938617342839576,1.0,0.0780637662445415,0.0797723501112584,0.07919177728070685,0.0780637662445415,0.0793859096245059,1.016936710122628,"LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1_fit/model_fit_cycle_45.csv"
LiPO_1,90,10,0.956808773973652,1.02655280097656,0.9320599710637772,0.4411764705882353,0.0580617513229271,1.0,0.0797100327503176,0.0814080166525168,0.08089533342605786,0.0797100327503176,0.0809252636991266,1.0152456460859272,"LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1_fit/model_fit_cycle_90.csv"
LiPO_1,116,10,0.940172870889343,1.02655280097656,0.9158543720254391,0.5686274509803921,0.0410981267871648,1.0,0.0807611677980957,0.0845087921583781,0.0822065560118231,0.0807611677980957,0.0845087921583781,1.0464037911097512,"LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1_fit/model_fit_cycle_116.csv"
LiPO_1,135,10,0.922092860172421,1.02655280097656,0.8982420186231372,0.6617647058823529,0.0225994815900182,1.0,0.0816657235882361,0.0857535706627836,0.08309650561246941,0.0816657235882361,0.0857535706627836,1.05005584834047,"LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1_fit/model_fit_cycle_135.csv"
LiPO_1,180,9,0.83543935919555,1.02655280097656,0.8138298959398836,0.8823529411764706,0.0412309276324493,1.0,0.0839425572858394,0.0879859981791415,0.0861577494885395,0.0839425572858394,0.0879859981791415,1.0481691411846492,"LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1_fit/model_fit_cycle_180.csv"
LiPO_1,204,3,0.810998655186439,1.02655280097656,0.7900213748527457,1.0,0.753082930714524,1.0,0.0848797850387785,0.0875319782007183,0.08654329668657246,0.0848797850387785,0.0872181268202206,1.0275488654969356,"LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_1_fit/model_fit_cycle_204.csv"
LiPO_2,0,10,0.994030039667287,0.994030039667287,1.0,0.0,0.0933246882811448,1.0,0.0743510951147802,0.0769349136172572,0.07561794750937999,0.0743510951147802,0.0768292055747357,1.0333298447874895,"LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_2_fit/model_fit_cycle_0.csv"
LiPO_2,20,10,0.987917991180085,0.994030039667287,0.993851243681481,0.0625,0.087718050003511,1.0,0.074502757607095,0.0763999165858296,0.07560388043515326,0.074502757607095,0.0762765288027145,1.0238081280826388,"LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_2_fit/model_fit_cycle_20.csv"
LiPO_2,40,10,0.979864168415784,0.994030039667287,0.985749051149154,0.125,0.0805016174177055,1.0,0.0745126705994366,0.0764017642639495,0.07561919712962428,0.0745126705994366,0.0761502286201664,1.021976906847601,"LiPo Battery LP-503562-IS-3 EIS, Capacity, ECM Data/LiPO_2_fit/model_fit_cycle_40.csv"
