row_type,name,metric,value,unit,source,note
lipo_esr_method_rule,esr_meter_reference_temperature,reference_temperature_c,23,C,https://www.baronerosso.it/forum/attachments/batterie-e-caricabatterie/386965d1652293513-calcolo-c-di-scarica-lipo-meter.pdf,ESR meter guidance standardizes practical pack comparisons near 72 F / 23 C.
lipo_esr_method_rule,esr_meter_reference_temperature,reference_temperature_f,72,F,https://www.baronerosso.it/forum/attachments/batterie-e-caricabatterie/386965d1652293513-calcolo-c-di-scarica-lipo-meter.pdf,ESR meter guidance standardizes practical pack comparisons near 72 F / 23 C.
lipo_esr_method_rule,temperature_drop_rule_of_thumb,ir_ratio_for_10c_drop_about,2,x,https://www.baronerosso.it/forum/attachments/batterie-e-caricabatterie/386965d1652293513-calcolo-c-di-scarica-lipo-meter.pdf,The guide states a 10 C temperature fall can nearly double internal resistance; use as a coarse cold-sag guardrail.
lipo_esr_method_rule,temperature_20c_vs_30c_rule,ir_difference_min,0.5,fraction,https://www.baronerosso.it/forum/attachments/batterie-e-caricabatterie/386965d1652293513-calcolo-c-di-scarica-lipo-meter.pdf,The guide says the same LiPo cell can show more than a 50 percent IR difference between 20 C and 30 C.
lipo_esr_method_rule,soc_rule_of_thumb,low_soc_transition,0.1,SOC fraction,https://www.baronerosso.it/forum/attachments/batterie-e-caricabatterie/386965d1652293513-calcolo-c-di-scarica-lipo-meter.pdf,"The guide says IR changes only slightly down to about 10 percent charge and then rises rapidly, so SOC and temperature should not be conflated."
lipo_esr_true_c_formula,ir_based_realistic_c_formula,constant,2500,sqrt(mAh*mOhm),https://www.rchelicopterfun.com/lipo-internal-resistance.html,Formula: true C = 2500 / sqrt(capacity_mAh * highest_cell_IR_mOhm). Use configured mean per-cell IR only as a proxy when max-cell IR is unavailable.
lipo_esr_method_caveat,scope,guardrail_not_lab_curve,,,https://www.baronerosso.it/forum/attachments/batterie-e-caricabatterie/386965d1652293513-calcolo-c-di-scarica-lipo-meter.pdf,These rows provide measurement-method and conservative current guardrails. They do not fill the remaining need for direct high-C FPV pack ESR sweeps versus temperature and SOC.
lipo_esr_method_caveat,oscar_1500mah_health_bands,cross_reference,,,https://oscarliang.com/when-retire-lipo-battery/,Oscar Liang's FPV 1500 mAh per-cell IR health bands remain useful absolute room-condition anchors; this file adds temperature/SOC and IR-to-current method checks.
lipo_esr_current_preset_formula_check,racingQuad,cells,4,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,racingQuad,capacity_mah,1500,mAh,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,racingQuad,configured_per_cell_ir,4.5,mOhm/cell,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,racingQuad,configured_current_limit_c,60,C,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,racingQuad,ir_formula_true_c,30.4290309725,C,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,racingQuad,ir_formula_true_current_a,45.6435464588,A,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,racingQuad,configured_current_over_ir_formula_current,1.97180120702,x,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,racingQuad,sag_at_ir_formula_current_v,0.821583836258,V,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,racingQuad,sag_at_ir_formula_current_percent_nominal,4.89037997772,percent,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,racingQuad,sag_at_configured_current_v,1.62,V,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,racingQuad,sag_at_configured_current_percent_nominal,9.64285714286,percent,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,racingQuad,cold_10c_drop_ir_doubled_true_current_a,32.2748612184,A,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,racingQuad,configured_current_over_cold_10c_drop_current,2.78854800927,x,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,cinewhoop,cells,4,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,cinewhoop,capacity_mah,1300,mAh,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,cinewhoop,configured_per_cell_ir,8.75,mOhm/cell,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,cinewhoop,configured_current_limit_c,50,C,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,cinewhoop,ir_formula_true_c,23.4403615469,C,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,cinewhoop,ir_formula_true_current_a,30.472470011,A,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,cinewhoop,configured_current_over_ir_formula_current,2.13307290077,x,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,cinewhoop,sag_at_ir_formula_current_v,1.06653645039,V,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,cinewhoop,sag_at_ir_formula_current_percent_nominal,7.20632736747,percent,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,cinewhoop,sag_at_configured_current_v,2.275,V,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,cinewhoop,sag_at_configured_current_percent_nominal,15.3716216216,percent,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,cinewhoop,cold_10c_drop_ir_doubled_true_current_a,21.5472901843,A,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,cinewhoop,configured_current_over_cold_10c_drop_current,3.0166206258,x,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,heavyLift,cells,6,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,heavyLift,capacity_mah,5000,mAh,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,heavyLift,configured_per_cell_ir,4.66666666667,mOhm/cell,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,heavyLift,configured_current_limit_c,28,C,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,heavyLift,ir_formula_true_c,16.3663417677,C,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,heavyLift,ir_formula_true_current_a,81.8317088385,A,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,heavyLift,configured_current_over_ir_formula_current,1.71082825945,x,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,heavyLift,sag_at_ir_formula_current_v,2.29128784748,V,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,heavyLift,sag_at_ir_formula_current_percent_nominal,10.3211164301,percent,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,heavyLift,sag_at_configured_current_v,3.92,V,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,heavyLift,sag_at_configured_current_percent_nominal,17.6576576577,percent,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,heavyLift,cold_10c_drop_ir_doubled_true_current_a,57.8637562358,A,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,heavyLift,configured_current_over_cold_10c_drop_current,2.41947652741,x,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,hexLift,cells,6,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,hexLift,capacity_mah,6000,mAh,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,hexLift,configured_per_cell_ir,4.33333333333,mOhm/cell,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,hexLift,configured_current_limit_c,26.6666666667,C,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,hexLift,ir_formula_true_c,15.5043418237,C,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,hexLift,ir_formula_true_current_a,93.0260509419,A,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,hexLift,configured_current_over_ir_formula_current,1.71994831964,x,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,hexLift,sag_at_ir_formula_current_v,2.41867732449,V,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,hexLift,sag_at_ir_formula_current_percent_nominal,10.8949429031,percent,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,hexLift,sag_at_configured_current_v,4.16,V,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,hexLift,sag_at_configured_current_percent_nominal,18.7387387387,percent,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,hexLift,cold_10c_drop_ir_doubled_true_current_a,65.779351448,A,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,hexLift,configured_current_over_cold_10c_drop_current,2.43237424021,x,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,octoLift,cells,8,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,octoLift,capacity_mah,8000,mAh,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
lipo_esr_current_preset_formula_check,octoLift,configured_per_cell_ir,3.75,mOhm/cell,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,IR-based C formula uses configured mean per-cell IR as a max-cell proxy; real packs should use the highest measured cell IR at matched temperature.
