row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
mejzlik_prop_packet_source_inventory,airshaper_mejzlik_propeller_study,wind_tunnel_rpm,4900,rpm,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,wind_tunnel_and_cfd_source_inventory,Source page publishes Mejzlik propeller wind-tunnel data and AirShaper CFD/BEM comparisons.
mejzlik_prop_packet_source_inventory,airshaper_mejzlik_propeller_study,wind_tunnel_speed_min_m_s,0,m/s,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,wind_tunnel_and_cfd_source_inventory,Source page publishes Mejzlik propeller wind-tunnel data and AirShaper CFD/BEM comparisons.
mejzlik_prop_packet_source_inventory,airshaper_mejzlik_propeller_study,wind_tunnel_speed_max_m_s,35,m/s,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,wind_tunnel_and_cfd_source_inventory,Source page publishes Mejzlik propeller wind-tunnel data and AirShaper CFD/BEM comparisons.
mejzlik_prop_packet_source_inventory,airshaper_mejzlik_propeller_study,cfd_max_speed_m_s,60,m/s,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,wind_tunnel_and_cfd_source_inventory,Source page publishes Mejzlik propeller wind-tunnel data and AirShaper CFD/BEM comparisons.
mejzlik_prop_packet_source_inventory,airshaper_mejzlik_propeller_study,cfd_max_advance_ratio_j,1.38,J,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,wind_tunnel_and_cfd_source_inventory,Source page publishes Mejzlik propeller wind-tunnel data and AirShaper CFD/BEM comparisons.
mejzlik_prop_packet_source_inventory,airshaper_mejzlik_propeller_study,published_table_j_count,4,count,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,wind_tunnel_and_cfd_source_inventory,Source page publishes Mejzlik propeller wind-tunnel data and AirShaper CFD/BEM comparisons.
mejzlik_prop_packet_table_value,mejzlik_j_0.2,ct,0.1003,CT,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,published_table_value,Published table value from the AirShaper Mejzlik propeller study.
mejzlik_prop_packet_table_value,airshaper_basic_j_0.2,ct,0.1136,CT,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,published_table_value,Published table value from the AirShaper Mejzlik propeller study.
mejzlik_prop_packet_table_value,airshaper_regular_j_0.2,ct,0.099,CT,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,published_table_value,Published table value from the AirShaper Mejzlik propeller study.
mejzlik_prop_packet_table_value,wind_tunnel_j_0.2,ct,0.0918,CT,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,published_table_value,Published table value from the AirShaper Mejzlik propeller study.
mejzlik_prop_packet_table_value,mejzlik_j_0.2,cp,0.0441,CP,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,published_table_value,Published table value from the AirShaper Mejzlik propeller study.
mejzlik_prop_packet_table_value,airshaper_basic_j_0.2,cp,0.0492,CP,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,published_table_value,Published table value from the AirShaper Mejzlik propeller study.
mejzlik_prop_packet_table_value,airshaper_regular_j_0.2,cp,0.0444,CP,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,published_table_value,Published table value from the AirShaper Mejzlik propeller study.
mejzlik_prop_packet_table_value,wind_tunnel_j_0.2,cp,0.0417,CP,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,published_table_value,Published table value from the AirShaper Mejzlik propeller study.
mejzlik_prop_packet_table_value,mejzlik_j_0.2,eta,0.4546,efficiency,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,published_table_value,Published table value from the AirShaper Mejzlik propeller study.
mejzlik_prop_packet_table_value,airshaper_basic_j_0.2,eta,0.4612,efficiency,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,published_table_value,Published table value from the AirShaper Mejzlik propeller study.
mejzlik_prop_packet_table_value,airshaper_regular_j_0.2,eta,0.4455,efficiency,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,published_table_value,Published table value from the AirShaper Mejzlik propeller study.
mejzlik_prop_packet_table_value,wind_tunnel_j_0.2,eta,0.4452,efficiency,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,published_table_value,Published table value from the AirShaper Mejzlik propeller study.
mejzlik_prop_packet_table_value,wind_tunnel_j_0.2,code_mu_equivalent_j_over_pi,0.0636619772368,mu,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,unit_mapping,Project rotorAdvanceRatio mu equals published propeller J divided by pi.
mejzlik_prop_packet_model_vs_tunnel,mejzlik_vs_wind_tunnel_j_0.2,ct_over_wind_tunnel,1.09259259259,x,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,model_vs_wind_tunnel_comparison,Comparison is against the source page wind-tunnel table; near-zero CT makes ratios unstable.
mejzlik_prop_packet_model_vs_tunnel,mejzlik_vs_wind_tunnel_j_0.2,cp_over_wind_tunnel,1.05755395683,x,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,model_vs_wind_tunnel_comparison,Comparison is against the source page wind-tunnel table; near-zero CT makes ratios unstable.
mejzlik_prop_packet_model_vs_tunnel,mejzlik_vs_wind_tunnel_j_0.2,eta_minus_wind_tunnel,0.0094,efficiency,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,model_vs_wind_tunnel_comparison,Comparison is against the source page wind-tunnel table; near-zero CT makes ratios unstable.
mejzlik_prop_packet_model_vs_tunnel,mejzlik_vs_wind_tunnel_j_0.2,ct_abs_error,0.0085,CT,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,model_vs_wind_tunnel_comparison,Comparison is against the source page wind-tunnel table; near-zero CT makes ratios unstable.
mejzlik_prop_packet_model_vs_tunnel,mejzlik_vs_wind_tunnel_j_0.2,cp_abs_error,0.0024,CP,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,model_vs_wind_tunnel_comparison,Comparison is against the source page wind-tunnel table; near-zero CT makes ratios unstable.
mejzlik_prop_packet_model_vs_tunnel,airshaper_basic_vs_wind_tunnel_j_0.2,ct_over_wind_tunnel,1.23747276688,x,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,model_vs_wind_tunnel_comparison,Comparison is against the source page wind-tunnel table; near-zero CT makes ratios unstable.
mejzlik_prop_packet_model_vs_tunnel,airshaper_basic_vs_wind_tunnel_j_0.2,cp_over_wind_tunnel,1.17985611511,x,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,model_vs_wind_tunnel_comparison,Comparison is against the source page wind-tunnel table; near-zero CT makes ratios unstable.
mejzlik_prop_packet_model_vs_tunnel,airshaper_basic_vs_wind_tunnel_j_0.2,eta_minus_wind_tunnel,0.016,efficiency,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,model_vs_wind_tunnel_comparison,Comparison is against the source page wind-tunnel table; near-zero CT makes ratios unstable.
mejzlik_prop_packet_model_vs_tunnel,airshaper_basic_vs_wind_tunnel_j_0.2,ct_abs_error,0.0218,CT,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,model_vs_wind_tunnel_comparison,Comparison is against the source page wind-tunnel table; near-zero CT makes ratios unstable.
mejzlik_prop_packet_model_vs_tunnel,airshaper_basic_vs_wind_tunnel_j_0.2,cp_abs_error,0.0075,CP,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,model_vs_wind_tunnel_comparison,Comparison is against the source page wind-tunnel table; near-zero CT makes ratios unstable.
mejzlik_prop_packet_model_vs_tunnel,airshaper_regular_vs_wind_tunnel_j_0.2,ct_over_wind_tunnel,1.07843137255,x,docs/data/mejzlik_wind_tunnel_prop_packet.csv,https://www.airshaper.com/research/propeller-study,model_vs_wind_tunnel_comparison,Comparison is against the source page wind-tunnel table; near-zero CT makes ratios unstable.
