row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
neurobem_packet_archive_inventory,Flights.txt,size_mb,0.00673828125,MB,docs/data/raw/neurobem/index.html,https://download.ifi.uzh.ch/rpg/NeuroBEM/Flights.txt,archive_inventory,Directory listing modified 2021-06-14 10:55; size label 6.9K.
neurobem_packet_archive_inventory,Flights.txt,cache_policy,small_text_ok,text,docs/data/raw/neurobem/index.html,https://download.ifi.uzh.ch/rpg/NeuroBEM/Flights.txt,archive_inventory,Full archives are not downloaded by this script.
neurobem_packet_archive_inventory,Readme.md,size_mb,0.005859375,MB,docs/data/raw/neurobem/index.html,https://download.ifi.uzh.ch/rpg/NeuroBEM/Readme.md,archive_inventory,Directory listing modified 2022-10-13 15:48; size label 6.0K.
neurobem_packet_archive_inventory,Readme.md,cache_policy,small_text_ok,text,docs/data/raw/neurobem/index.html,https://download.ifi.uzh.ch/rpg/NeuroBEM/Readme.md,archive_inventory,Full archives are not downloaded by this script.
neurobem_packet_archive_inventory,code.tar.xz,size_mb,288,MB,docs/data/raw/neurobem/index.html,https://download.ifi.uzh.ch/rpg/NeuroBEM/code.tar.xz,archive_inventory,Directory listing modified 2022-10-13 15:50; size label 288M.
neurobem_packet_archive_inventory,code.tar.xz,cache_policy,metadata_only,text,docs/data/raw/neurobem/index.html,https://download.ifi.uzh.ch/rpg/NeuroBEM/code.tar.xz,archive_inventory,Full archives are not downloaded by this script.
neurobem_packet_archive_inventory,pdf.zip,size_mb,659,MB,docs/data/raw/neurobem/index.html,https://download.ifi.uzh.ch/rpg/NeuroBEM/pdf.zip,archive_inventory,Directory listing modified 2021-06-14 10:56; size label 659M.
neurobem_packet_archive_inventory,pdf.zip,cache_policy,metadata_only,text,docs/data/raw/neurobem/index.html,https://download.ifi.uzh.ch/rpg/NeuroBEM/pdf.zip,archive_inventory,Full archives are not downloaded by this script.
neurobem_packet_archive_inventory,predictions.tar.xz,size_mb,225,MB,docs/data/raw/neurobem/index.html,https://download.ifi.uzh.ch/rpg/NeuroBEM/predictions.tar.xz,archive_inventory,Directory listing modified 2022-10-13 12:47; size label 225M.
neurobem_packet_archive_inventory,predictions.tar.xz,cache_policy,metadata_only,text,docs/data/raw/neurobem/index.html,https://download.ifi.uzh.ch/rpg/NeuroBEM/predictions.tar.xz,archive_inventory,Full archives are not downloaded by this script.
neurobem_packet_archive_inventory,processed_data.zip,size_mb,627,MB,docs/data/raw/neurobem/index.html,https://download.ifi.uzh.ch/rpg/NeuroBEM/processed_data.zip,archive_inventory,Directory listing modified 2021-06-14 10:57; size label 627M.
neurobem_packet_archive_inventory,processed_data.zip,cache_policy,metadata_only,text,docs/data/raw/neurobem/index.html,https://download.ifi.uzh.ch/rpg/NeuroBEM/processed_data.zip,archive_inventory,Full archives are not downloaded by this script.
neurobem_packet_archive_inventory,raw_data.zip,size_mb,434,MB,docs/data/raw/neurobem/index.html,https://download.ifi.uzh.ch/rpg/NeuroBEM/raw_data.zip,archive_inventory,Directory listing modified 2021-06-14 10:57; size label 434M.
neurobem_packet_archive_inventory,raw_data.zip,cache_policy,metadata_only,text,docs/data/raw/neurobem/index.html,https://download.ifi.uzh.ch/rpg/NeuroBEM/raw_data.zip,archive_inventory,Full archives are not downloaded by this script.
neurobem_packet_archive_inventory,testset.txt,size_mb,0.000322341918945,MB,docs/data/raw/neurobem/index.html,https://download.ifi.uzh.ch/rpg/NeuroBEM/testset.txt,archive_inventory,Directory listing modified 2023-02-01 17:27; size label 338.
neurobem_packet_archive_inventory,testset.txt,cache_policy,small_text_ok,text,docs/data/raw/neurobem/index.html,https://download.ifi.uzh.ch/rpg/NeuroBEM/testset.txt,archive_inventory,Full archives are not downloaded by this script.
neurobem_packet_dataset_metric,NeuroBEM_dataset,dataset_duration_minutes,75,min,docs/data/raw/neurobem/Readme.md,https://download.ifi.uzh.ch/rpg/NeuroBEM/Readme.md,dataset_metadata,Readme says recordings cover 1h:15min of agile quadrotor flights.
neurobem_packet_dataset_metric,NeuroBEM_dataset,sample_rate_hz,400,Hz,docs/data/raw/neurobem/Readme.md,https://download.ifi.uzh.ch/rpg/NeuroBEM/Readme.md,dataset_metadata,Readme says accurate measurements are provided at 400 Hz.
neurobem_packet_dataset_metric,NeuroBEM_dataset,vehicle_mass_kg,0.772,kg,docs/data/raw/neurobem/Readme.md,https://download.ifi.uzh.ch/rpg/NeuroBEM/Readme.md,dataset_metadata,Readme gives the NeuroBEM drone mass.
neurobem_packet_dataset_metric,NeuroBEM_dataset,inertia_xx_kg_m2,0.0025,kg*m^2,docs/data/raw/neurobem/Readme.md,https://download.ifi.uzh.ch/rpg/NeuroBEM/Readme.md,dataset_metadata,Readme gives diagonal inertia elements.
