row_type,name,metric,value,unit,source_file,source_url,evidence_role,note,plate_diameter_over_prop_diameter,circular_patch_area_over_prop_disk_area,source_negligible_limit_D,source_full_limit_D,preset,rotor_radius_m,preset_note
partial_surface_effect_lead_packet_source,Cai/Gunasekaran/Ol partial surface paper,title,Effect of partial ground and partial ceiling on propeller performance,text,docs/data/partial_surface_effect_lead_packet.csv,https://soar.wichita.edu/server/api/core/items/20c3f481-4556-41fa-8c79-a4b0b6d3c620,source_metadata,SOAR metadata and DOI traceability. Bundle count is checked separately because no public full-text bundle is exposed by the repository item.,,,,,,,
partial_surface_effect_lead_packet_source,Cai/Gunasekaran/Ol partial surface paper,doi,10.2514/1.C036974,text,docs/data/partial_surface_effect_lead_packet.csv,https://doi.org/10.2514/1.C036974,source_metadata,SOAR metadata and DOI traceability. Bundle count is checked separately because no public full-text bundle is exposed by the repository item.,,,,,,,
partial_surface_effect_lead_packet_source,Cai/Gunasekaran/Ol partial surface paper,citation,"Effect of Partial Ground and Partial Ceiling on Propeller Performance Jielong Cai, Sidaard Gunasekaran, and Michael Ol Journal of Aircraft 2023 60:3, 648-661",text,docs/data/partial_surface_effect_lead_packet.csv,https://soar.wichita.edu/server/api/core/items/20c3f481-4556-41fa-8c79-a4b0b6d3c620,source_metadata,SOAR metadata and DOI traceability. Bundle count is checked separately because no public full-text bundle is exposed by the repository item.,,,,,,,
partial_surface_effect_lead_packet_source,Cai/Gunasekaran/Ol partial surface paper,begin_page,648,page,docs/data/partial_surface_effect_lead_packet.csv,https://soar.wichita.edu/server/api/core/items/20c3f481-4556-41fa-8c79-a4b0b6d3c620,source_metadata,SOAR metadata and DOI traceability. Bundle count is checked separately because no public full-text bundle is exposed by the repository item.,,,,,,,
partial_surface_effect_lead_packet_source,Cai/Gunasekaran/Ol partial surface paper,end_page,661,page,docs/data/partial_surface_effect_lead_packet.csv,https://soar.wichita.edu/server/api/core/items/20c3f481-4556-41fa-8c79-a4b0b6d3c620,source_metadata,SOAR metadata and DOI traceability. Bundle count is checked separately because no public full-text bundle is exposed by the repository item.,,,,,,,
partial_surface_effect_lead_packet_source,Cai/Gunasekaran/Ol partial surface paper,public_bundle_count,0,count,docs/data/partial_surface_effect_lead_packet.csv,https://soar.wichita.edu/server/api/core/items/20c3f481-4556-41fa-8c79-a4b0b6d3c620/bundles,source_metadata,SOAR metadata and DOI traceability. Bundle count is checked separately because no public full-text bundle is exposed by the repository item.,,,,,,,
partial_surface_effect_lead_packet_source,Cai/Gunasekaran/Ol partial surface paper,abstract_character_count,1411,count,docs/data/partial_surface_effect_lead_packet.csv,https://soar.wichita.edu/server/api/core/items/20c3f481-4556-41fa-8c79-a4b0b6d3c620,source_metadata,SOAR metadata and DOI traceability. Bundle count is checked separately because no public full-text bundle is exposed by the repository item.,,,,,,,
partial_surface_effect_lead_packet_abstract_check,SOAR abstract text check,mentions_partial_ground,1,boolean,docs/data/partial_surface_effect_lead_packet.csv,https://soar.wichita.edu/server/api/core/items/20c3f481-4556-41fa-8c79-a4b0b6d3c620,abstract_text_check,Boolean check against repository abstract text; use the DOI/full text for curve digitization when available.,,,,,,,
partial_surface_effect_lead_packet_abstract_check,SOAR abstract text check,mentions_partial_ceiling,1,boolean,docs/data/partial_surface_effect_lead_packet.csv,https://soar.wichita.edu/server/api/core/items/20c3f481-4556-41fa-8c79-a4b0b6d3c620,abstract_text_check,Boolean check against repository abstract text; use the DOI/full text for curve digitization when available.,,,,,,,
partial_surface_effect_lead_packet_abstract_check,SOAR abstract text check,mentions_circular_and_annular_plates,1,boolean,docs/data/partial_surface_effect_lead_packet.csv,https://soar.wichita.edu/server/api/core/items/20c3f481-4556-41fa-8c79-a4b0b6d3c620,abstract_text_check,Boolean check against repository abstract text; use the DOI/full text for curve digitization when available.,,,,,,,
