row_type,name,source,rpm,liquid_water_content_g_m3,droplet_mean_diameter_m,droplet_terminal_velocity_m_s,water_mass_flux_kg_m2_s,equivalent_rain_rate_mm_h,ct_no_rain,ct_with_rain,ct_ratio_rain_over_no_rain,ct_loss_percent,note,ambient_temperature_c,precipitation_wetness,moist_air_density_multiplier,preset,scenario,rain_rate_mm_h,rain_rate_in_h,rain_depth_flux_m_s,rotor_disk_area_m2,per_rotor_water_g_s,all_rotors_water_g_s,per_rotor_water_g_per_min,precipitation_wetness_proxy,precipitation_thrust_scale,precipitation_thrust_loss_percent,rotor_precipitation_load_factor,rotor_precipitation_vibration_hover,rain_impact_force_per_rotor_n_at_8m_s,rain_impact_force_all_rotors_over_weight_at_8m_s,reference_source,icas_ct_loss_percent,current_full_wetness_thrust_loss_percent,current_loss_over_icas_loss,per_rotor_water_g_s_at_icas_lwc,all_rotors_water_g_s_at_icas_lwc,water_immersion,speed_m_s,water_immersion_thrust_scale,water_immersion_thrust_loss_percent,rotor_water_load_factor,rotor_water_ingestion_vibration_hover,current_water_drag_force_n,current_water_drag_over_weight,current_water_drag_coefficient_proxy
reference_icas_heavy_rain_ct_loss,ICAS_2020_heavy_rain_4319rpm,https://www.icas.org/icas_archive/ICAS2020/data/papers/ICAS2020_0482_paper.pdf,4319.0,19.0,0.0028,8.06,0.15314,552.962888665998,0.008217,0.008,0.9735913350371181,2.6408664962881856,ICAS 2020 Table 8 heavy-rain CFD with LWC=19 g/m3. Equivalent rain rate assumes the table's 8.06 m/s droplet terminal velocity and water density.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_icas_heavy_rain_ct_loss,ICAS_2020_heavy_rain_6528rpm,https://www.icas.org/icas_archive/ICAS2020/data/papers/ICAS2020_0482_paper.pdf,6528.0,19.0,0.0028,8.06,0.15314,552.962888665998,0.008308,0.008169,0.9832691381800673,1.6730861819932663,ICAS 2020 Table 8 heavy-rain CFD with LWC=19 g/m3. Equivalent rain rate assumes the table's 8.06 m/s droplet terminal velocity and water density.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moist_air_density,-10C_wet_0.00,https://cires1.colorado.edu/~voemel/vp.html,,,,,,,,,,,Mirrors DroneEnvironment moist-air density path using Magnus/Bolton-style saturation vapor pressure and water vapor density relief.,-10.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moist_air_density,-10C_wet_0.25,https://cires1.colorado.edu/~voemel/vp.html,,,,,,,,,,,Mirrors DroneEnvironment moist-air density path using Magnus/Bolton-style saturation vapor pressure and water vapor density relief.,-10.0,0.25,0.9997325465004346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moist_air_density,-10C_wet_0.50,https://cires1.colorado.edu/~voemel/vp.html,,,,,,,,,,,Mirrors DroneEnvironment moist-air density path using Magnus/Bolton-style saturation vapor pressure and water vapor density relief.,-10.0,0.5,0.9994650930008693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moist_air_density,-10C_wet_0.75,https://cires1.colorado.edu/~voemel/vp.html,,,,,,,,,,,Mirrors DroneEnvironment moist-air density path using Magnus/Bolton-style saturation vapor pressure and water vapor density relief.,-10.0,0.75,0.9991976395013039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moist_air_density,-10C_wet_1.00,https://cires1.colorado.edu/~voemel/vp.html,,,,,,,,,,,Mirrors DroneEnvironment moist-air density path using Magnus/Bolton-style saturation vapor pressure and water vapor density relief.,-10.0,1.0,0.9989301860017386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moist_air_density,0C_wet_0.00,https://cires1.colorado.edu/~voemel/vp.html,,,,,,,,,,,Mirrors DroneEnvironment moist-air density path using Magnus/Bolton-style saturation vapor pressure and water vapor density relief.,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moist_air_density,0C_wet_0.25,https://cires1.colorado.edu/~voemel/vp.html,,,,,,,,,,,Mirrors DroneEnvironment moist-air density path using Magnus/Bolton-style saturation vapor pressure and water vapor density relief.,0.0,0.25,0.999429968911917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moist_air_density,0C_wet_0.50,https://cires1.colorado.edu/~voemel/vp.html,,,,,,,,,,,Mirrors DroneEnvironment moist-air density path using Magnus/Bolton-style saturation vapor pressure and water vapor density relief.,0.0,0.5,0.9988599378238342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
