row_type,name,source,source_page,brand,family,preset,reference_prop,current_diameter_in,reference_diameter_in,diameter_delta_in,diameter_delta_percent,current_radius_m,reference_radius_m,current_blade_pitch_m,reference_pitch_m,current_pitch_in,reference_pitch_in,current_pitch_to_diameter,reference_pitch_to_diameter,current_pitch_over_reference,current_pitch_to_diameter_over_reference,current_pitch_speed_m_s_at_1000rpm,reference_pitch_speed_m_s_at_1000rpm,current_pitch_speed_over_reference,current_hover_rpm,current_max_rpm,current_hover_pitch_speed_m_s,current_max_pitch_speed_m_s,radial_fraction_r_over_r,radial_fraction_min,radial_fraction_max,geometry_station_count,current_proxy_chord_m,current_proxy_chord_to_radius,reference_chord_m,reference_chord_m_70r,reference_chord_to_radius,reference_chord_to_radius_mean,reference_chord_to_radius_max,reference_chord_to_radius_70r,reference_chord_to_diameter,reference_chord_to_diameter_70r,current_proxy_chord_over_reference_70r,reference_beta_deg,reference_beta_deg_30r,reference_beta_deg_70r,reference_beta_deg_95r,reference_beta_twist_30r_to_95r_deg,reference_local_pitch_m,reference_local_pitch_m_70r,reference_local_pitch_in,reference_local_pitch_in_70r,reference_local_pitch_to_diameter,reference_local_pitch_to_diameter_70r,current_geometric_pitch_angle_70r_deg,reference_geometric_pitch_angle_70r_deg,current_geometric_pitch_angle_over_reference,current_geometric_pitch_angle_over_reference_70r,current_pitch_to_diameter_over_reference_local_70r,reference_planform_solidity_proxy,rotor_blade_count,default_pitch_m,blade_pitch_over_default,blade_pitch_source,mass_g,mount,source_context,note
current_preset_pitch_geometry,racingQuad,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,,,racingQuad,,5.0,,,,0.0635,,0.10795,,4.25,,0.85,,,,1.7991666666666666,,,13023.090711279678,29137.63274949454,23.430710704710684,52.42345758846559,,,,,,,,,,,,,,,,,,,,,,,,,,,21.13247155696238,,,,,,3,0.10795,1.0,RotorSpec.defaultBladePitchMeters(radius),,,,Mirrors current RotorSpec blade-pitch geometry; pitch speed assumes ideal geometric pitch with no slip.
current_preset_pitch_geometry,cinewhoop,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,,,cinewhoop,,2.9921259842519685,,,,0.038,,0.06459999999999999,,2.543307086614173,,0.8499999999999999,,,,1.0766666666666667,,,4297.487346413935,7964.663928742473,4.626961376305669,8.575288163279396,,,,,,,,,,,,,,,,,,,,,,,,,,,21.132471556962376,,,,,,3,0.06459999999999999,1.0,RotorSpec.defaultBladePitchMeters(radius),,,,Mirrors current RotorSpec blade-pitch geometry; pitch speed assumes ideal geometric pitch with no slip.
current_preset_pitch_geometry,heavyLift,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,,,heavyLift,,10.0,,,,0.127,,0.127,,5.0,,0.5,,,,2.1166666666666667,,,4728.264076300938,8775.19797885932,10.008158961503652,18.574169055252227,,,,,,,,,,,,,,,,,,,,,,,,,,,12.809249792046058,,,,,,2,0.2159,0.5882352941176471,withRotorBladePitchToDiameterRatio,,,,Mirrors current RotorSpec blade-pitch geometry; pitch speed assumes ideal geometric pitch with no slip.
current_preset_pitch_geometry,hexLift,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,,,hexLift,,8.26771653543307,,,,0.105,,0.105,,4.133858267716535,,0.5,,,,1.75,,,4169.93695964427,8115.341605103235,7.297389679377472,14.201847808930662,,,,,,,,,,,,,,,,,,,,,,,,,,,12.809249792046058,,,,,,2,0.1785,0.5882352941176471,withRotorBladePitchToDiameterRatio,,,,Mirrors current RotorSpec blade-pitch geometry; pitch speed assumes ideal geometric pitch with no slip.
current_preset_pitch_geometry,octoLift,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,,,octoLift,,9.05511811023622,,,,0.115,,0.115,,4.52755905511811,,0.5,,,,1.9166666666666665,,,4873.783053100573,8269.933431326881,9.341417518442764,15.85070574337652,,,,,,,,,,,,,,,,,,,,,,,,,,,12.809249792046058,,,,,,2,0.1955,0.5882352941176471,withRotorBladePitchToDiameterRatio,,,,Mirrors current RotorSpec blade-pitch geometry; pitch speed assumes ideal geometric pitch with no slip.
current_preset_pitch_geometry,coaxialX8,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,,,coaxialX8,,9.05511811023622,,,,0.115,,0.115,,4.52755905511811,,0.5,,,,1.9166666666666665,,,5015.081387389711,8269.933431326881,9.612239325830279,15.85070574337652,,,,,,,,,,,,,,,,,,,,,,,,,,,12.809249792046058,,,,,,2,0.1955,0.5882352941176471,withRotorBladePitchToDiameterRatio,,,,Mirrors current RotorSpec blade-pitch geometry; pitch speed assumes ideal geometric pitch with no slip.
physical_prop_pitch_reference,HQProp Durable 5x4.3x3 V1S,https://www.hqprop.com/hq-durable-prop-5x43x3v1s-2cw2ccw-poly-carbonate-p0048.html,,HQProp,,,HQProp Durable 5x4.3x3 V1S,,5.0,,,,0.0635,,0.10922,,4.3,,0.86,,,,1.8203333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.35879981637402,,,,,3,,,,3.81,5mm hub,,Official HQProp product page lists 5x4.3x3 V1S prop weight.
physical_prop_pitch_reference,HQProp Durable 5x4.5x3 V1S,https://www.hqprop.com/hq-durable-prop-5x45x3v1s-2cw2ccw-poly-carbonate-p0052.html,,HQProp,,,HQProp Durable 5x4.5x3 V1S,,5.0,,,,0.0635,,0.1143,,4.5,,0.9,,,,1.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.257104926657533,,,,,3,,,,4.19,5mm hub,,Official HQProp product page lists 5x4.5x3 V1S prop weight.
physical_prop_pitch_reference,HQProp Durable 5x5x3 V1S,https://www.hqprop.com/hq-durable-prop-5x5x3v1s-2cw2ccw-poly-carbonate-p0085.html,,HQProp,,,HQProp Durable 5x5x3 V1S,,5.0,,,,0.0635,,0.127,,5.0,,1.0,,,,2.1166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.452641740112796,,,,,3,,,,4.48,5mm hub,,Official HQProp product page lists 5x5x3 V1S prop weight.
physical_prop_pitch_reference,Gemfan 51466 MCK V2,https://www.gemfanhobby.com/hurricane-51466-v2-pc-3-blade.html,,Gemfan,,,Gemfan 51466 MCK V2,,5.1889763779527565,,,,0.0659,,0.09144,,3.6,,0.6937784522003034,,,,1.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.509483513033405,,,,,3,,,,4.2,5mm hub,,Official Gemfan product page lists 51466 V2 prop weight.
