row_type,name,metric,value,unit,source_file,evidence_role,required,current_satisfied,reviewed_import_satisfied,synthetic_target_satisfied,lookup_acceptance_ready,compact_reference_export_allowed,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,status,note
propeller_archive_ct_cp_j_lookup_acceptance_source,lookup_interpolation_policy,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Interpolation-Policy-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,policy_contract,true,true,true,true,false,false,false,false,review-source-license-then-bind-reviewed-ct-cp-j-rows-to-interpolation-policy,READY,policy supplies accepted performance contracts and minimum neighbor rows
propeller_archive_ct_cp_j_lookup_acceptance_source,query_envelope,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Query-Envelope-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,query_domain_guard,true,true,true,true,false,false,false,false,review-source-license-then-run-reviewed-lookup-query-envelope-with-real-ct-cp-j-rows,READY,out-of-domain probes stay rejected before acceptance
propeller_archive_ct_cp_j_lookup_acceptance_source,curve_fit_acceptance_gate,source_id,User-Propeller-Archive-Curve-Fit-Acceptance-Gate-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,fit_quality_gate,true,false,false,true,false,false,false,false,accept-fit-quality-before-lookup-reference-export,BLOCKED,accepted lookup results still require upstream fit quality
propeller_archive_ct_cp_j_lookup_acceptance_source,compact_reference_handoff,source_id,User-Propeller-Archive-Compact-Reference-Handoff-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCompactReferenceHandoff.java,reference_handoff,true,false,false,true,false,false,false,false,review-compact-reference-before-playable-handoff,BLOCKED,compact reference export remains independently reviewed
propeller_archive_ct_cp_j_lookup_acceptance_source,source_fingerprint,source_id,User-Propeller-Archive-Source-Fingerprint-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveSourceFingerprint.java,source_identity,true,false,true,true,false,false,false,false,review-source-license-before-importing-raw-rows,BLOCKED,current raw import remains closed
propeller_archive_ct_cp_j_lookup_acceptance_source,runtime_boundary,source_id,DronePhysics runtime boundary,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupAcceptanceGate.java,leak_guard,true,true,true,true,false,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,READY,acceptance gate cannot alter runtime physics
propeller_archive_ct_cp_j_lookup_acceptance_target,racingQuad,static_anchor_low_rpm,min_neighbor_rows=1;max_ct_overshoot=0;min_cp=1.0E-6;max_eta=0.02;max_static_anchor_error=0.004,contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupAcceptanceGate.java,acceptance_target,true,false,true,true,false,false,false,false,preserve-static-ct-cp-anchor,TARGET,full-simulation lookup static anchor target
propeller_archive_ct_cp_j_lookup_acceptance_target,racingQuad,mid_domain_mid_rpm,min_neighbor_rows=4;max_ct_overshoot=0;min_cp=1.0E-6;max_eta=0.02;max_static_anchor_error=0,contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupAcceptanceGate.java,acceptance_target,true,false,true,true,false,false,false,false,accept-eta-consistency-before-reference-export,TARGET,full-simulation lookup mid-domain target
propeller_archive_ct_cp_j_lookup_acceptance_target,racingQuad,high_domain_max_rpm,min_neighbor_rows=2;max_ct_overshoot=0;min_cp=1.0E-6;max_eta=0.02;max_static_anchor_error=0,contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupAcceptanceGate.java,acceptance_target,true,false,true,true,false,false,false,false,accept-ct-shape-preservation-before-reference-export,TARGET,full-simulation lookup high-domain target
propeller_archive_ct_cp_j_lookup_acceptance_target,apDrone,static_anchor_low_rpm,min_neighbor_rows=1;max_ct_overshoot=0;min_cp=1.0E-6;max_eta=0.02;max_static_anchor_error=0.004,contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupAcceptanceGate.java,acceptance_target,true,false,true,true,false,false,false,false,preserve-static-ct-cp-anchor,TARGET,full-simulation lookup static anchor target
propeller_archive_ct_cp_j_lookup_acceptance_target,apDrone,mid_domain_mid_rpm,min_neighbor_rows=4;max_ct_overshoot=0;min_cp=1.0E-6;max_eta=0.02;max_static_anchor_error=0,contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupAcceptanceGate.java,acceptance_target,true,false,true,true,false,false,false,false,accept-eta-consistency-before-reference-export,TARGET,full-simulation lookup mid-domain target
propeller_archive_ct_cp_j_lookup_acceptance_target,apDrone,high_domain_max_rpm,min_neighbor_rows=2;max_ct_overshoot=0;min_cp=1.0E-6;max_eta=0.02;max_static_anchor_error=0,contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupAcceptanceGate.java,acceptance_target,true,false,true,true,false,false,false,false,accept-ct-shape-preservation-before-reference-export,TARGET,full-simulation lookup high-domain target
propeller_archive_ct_cp_j_lookup_acceptance_target,heavyLift,static_anchor_low_rpm,min_neighbor_rows=1;max_ct_overshoot=0;min_cp=1.0E-6;max_eta=0.02;max_static_anchor_error=0.004,contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupAcceptanceGate.java,acceptance_target,true,false,true,true,false,false,false,false,preserve-static-ct-cp-anchor,TARGET,performance-only lookup static anchor target geometry remains blocked
