row_type,preset_name,case_name,slot_id,status,metric,value,unit,performance_match_id,slot_kind,draft_coefficient_source_kind,draft_ct_coefficient,draft_cp_coefficient,draft_eta_at_slot,nearest_source_normalized_distance,max_fit_source_normalized_distance,direct_static_sample_used,post_review_full_simulation_lookup_allowed,finite_draft_coefficient,nonnegative_draft_ct,positive_draft_cp,eta_formula_consistent,negative_ct_risk,high_nearest_source_distance_risk,high_fit_source_distance_risk,performance_only_coverage_risk,manual_review_required,source_review_complete,coefficient_payload_review_complete,draft_review_passed,lookup_execution_input_ready,runtime_coupling_allowed,gameplay_auto_apply_allowed,review_priority,next_required_action,note
propeller_archive_ct_cp_j_lookup_coefficient_payload_draft_review_queue_source,source_fingerprint,source,,READY,source_id,User-Propeller-Archive-Source-Fingerprint-Packet,text,not_applicable,source,SOURCE_REFERENCE,0.000000,0.000000,0.000000000,0.000000000,0.000000000,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,INFO,review-source-license-before-importing-raw-rows,archive identity for non-vendored draft review queue
propeller_archive_ct_cp_j_lookup_coefficient_payload_draft_review_queue_source,coefficient_payload_source_window,source,,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Coefficient-Payload-Source-Window-Packet,text,not_applicable,source,SOURCE_REFERENCE,0.000000,0.000000,0.000000000,0.000000000,0.000000000,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,INFO,review-source-license-then-fill-coefficient-payload-source-windows,source window risk context
propeller_archive_ct_cp_j_lookup_coefficient_payload_draft_review_queue_source,coefficient_payload_draft,source,,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Coefficient-Payload-Draft-Packet,text,not_applicable,source,SOURCE_REFERENCE,0.000000,0.000000,0.000000000,0.000000000,0.000000000,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,INFO,manual-review-coefficient-payload-drafts-before-lookup-execution,draft coefficient source rows
propeller_archive_ct_cp_j_lookup_coefficient_payload_draft_review_queue_source,reviewed_coefficient_payload,source,,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Reviewed-Coefficient-Payload-Packet,text,not_applicable,source,SOURCE_REFERENCE,0.000000,0.000000,0.000000000,0.000000000,0.000000000,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,INFO,review-and-bind-ct-cp-coefficient-payloads-to-grid-slots-before-lookup-execution,downstream reviewed payload gate
propeller_archive_ct_cp_j_lookup_coefficient_payload_draft_review_queue_source,lookup_execution_contract,source,,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Execution-Contract-Packet,text,not_applicable,source,SOURCE_REFERENCE,0.000000,0.000000,0.000000000,0.000000000,0.000000000,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,INFO,complete-scattered-surface-fit-execution-handoff-before-lookup-run,review queue cannot feed execution
propeller_archive_ct_cp_j_lookup_coefficient_payload_draft_review_queue_source,risk_thresholds,source,,READY,thresholds,nearest=0.15;fit=0.25,normalized_distance,not_applicable,source,SOURCE_REFERENCE,0.000000,0.000000,0.000000000,0.150000000,0.250000000,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,INFO,review-draft-coefficient-risk-queue-before-promoting-payloads,source-distance thresholds for review priority
propeller_archive_ct_cp_j_lookup_coefficient_payload_draft_review_queue_source,raw_row_boundary,source,,READY,raw_rows_vendored,false,boolean,not_applicable,source,SOURCE_REFERENCE,0.000000,0.000000,0.000000000,0.000000000,0.000000000,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,INFO,review-draft-coefficient-risk-queue-before-promoting-payloads,raw archive rows remain outside repository
propeller_archive_ct_cp_j_lookup_coefficient_payload_draft_review_queue_source,runtime_boundary,source,,READY,runtime_coupling_allowed,false,boolean,not_applicable,source,SOURCE_REFERENCE,0.000000,0.000000,0.000000000,0.000000000,0.000000000,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,INFO,keep-runtime-and-gameplay-auto-apply-closed,no runtime or gameplay authority
propeller_archive_ct_cp_j_lookup_coefficient_payload_draft_review_queue,racingQuad,static_anchor_low_rpm,static-anchor,BLOCKED,review_priority,LOW,priority,da4052 5.0x3.75 - 3,DIRECT_STATIC_ANCHOR_SLOT,DIRECT_STATIC_SAMPLE_DRAFT,0.139069,0.116804,0.000000000,0.000000000,0.000000000,true,true,true,true,true,true,false,false,false,false,true,false,false,false,false,false,false,LOW,manual-review-draft-coefficient-before-payload-promotion,manual-review-required-before-payload-promotion
propeller_archive_ct_cp_j_lookup_coefficient_payload_draft_review_queue,racingQuad,mid_domain_mid_rpm,j0-r0,BLOCKED,review_priority,MEDIUM,priority,da4052 5.0x3.75 - 3,BILINEAR_CORNER_SLOT,LOCAL_IDW_8_NEIGHBOR_DRAFT,0.106433175,0.082779485,0.418020889,0.042344994,0.209475143,false,true,true,true,true,true,false,false,false,false,true,false,false,false,false,false,false,MEDIUM,manual-review-draft-coefficient-before-payload-promotion,manual-review-required-before-payload-promotion
propeller_archive_ct_cp_j_lookup_coefficient_payload_draft_review_queue,racingQuad,mid_domain_mid_rpm,j1-r0,BLOCKED,review_priority,MEDIUM,priority,da4052 5.0x3.75 - 3,BILINEAR_CORNER_SLOT,LOCAL_IDW_8_NEIGHBOR_DRAFT,0.069933908,0.065757757,0.518651636,0.011270377,0.184887815,false,true,true,true,true,true,false,false,false,false,true,false,false,false,false,false,false,MEDIUM,manual-review-draft-coefficient-before-payload-promotion,manual-review-required-before-payload-promotion
propeller_archive_ct_cp_j_lookup_coefficient_payload_draft_review_queue,racingQuad,mid_domain_mid_rpm,j0-r1,BLOCKED,review_priority,MEDIUM,priority,da4052 5.0x3.75 - 3,BILINEAR_CORNER_SLOT,LOCAL_IDW_8_NEIGHBOR_DRAFT,0.111286686,0.082094577,0.440729809,0.055829977,0.153541416,false,true,true,true,true,true,false,false,false,false,true,false,false,false,false,false,false,MEDIUM,manual-review-draft-coefficient-before-payload-promotion,manual-review-required-before-payload-promotion
propeller_archive_ct_cp_j_lookup_coefficient_payload_draft_review_queue,racingQuad,mid_domain_mid_rpm,j1-r1,BLOCKED,review_priority,MEDIUM,priority,da4052 5.0x3.75 - 3,BILINEAR_CORNER_SLOT,LOCAL_IDW_8_NEIGHBOR_DRAFT,0.071510549,0.063755407,0.547000894,0.062777508,0.149978621,false,true,true,true,true,true,false,false,false,false,true,false,false,false,false,false,false,MEDIUM,manual-review-draft-coefficient-before-payload-promotion,manual-review-required-before-payload-promotion
propeller_archive_ct_cp_j_lookup_coefficient_payload_draft_review_queue,racingQuad,high_domain_max_rpm,j0-rmax,BLOCKED,review_priority,MEDIUM,priority,da4052 5.0x3.75 - 3,HIGH_RPM_EDGE_SLOT,LOCAL_IDW_8_NEIGHBOR_DRAFT,0.027183414,0.035710827,0.494968737,0.139691400,0.242265676,false,true,true,true,true,true,false,false,false,false,true,false,false,false,false,false,false,MEDIUM,manual-review-draft-coefficient-before-payload-promotion,manual-review-required-before-payload-promotion
propeller_archive_ct_cp_j_lookup_coefficient_payload_draft_review_queue,racingQuad,high_domain_max_rpm,j1-rmax,BLOCKED,review_priority,HIGH,priority,da4052 5.0x3.75 - 3,HIGH_RPM_EDGE_SLOT,LOCAL_IDW_8_NEIGHBOR_DRAFT,0.002618372,0.020673248,0.102945235,0.146105106,0.316538365,false,true,true,true,true,true,false,false,true,false,true,false,false,false,false,false,false,HIGH,increase-or-review-local-fit-support-before-payload-promotion,fit-source-distance-high-for-draft-payload
propeller_archive_ct_cp_j_lookup_coefficient_payload_draft_review_queue,apDrone,static_anchor_low_rpm,static-anchor,BLOCKED,review_priority,LOW,priority,da4052 5.0x3.75 - 3,DIRECT_STATIC_ANCHOR_SLOT,DIRECT_STATIC_SAMPLE_DRAFT,0.139069,0.116804,0.000000000,0.000000000,0.000000000,true,true,true,true,true,true,false,false,false,false,true,false,false,false,false,false,false,LOW,manual-review-draft-coefficient-before-payload-promotion,manual-review-required-before-payload-promotion
propeller_archive_ct_cp_j_lookup_coefficient_payload_draft_review_queue,apDrone,mid_domain_mid_rpm,j0-r0,BLOCKED,review_priority,MEDIUM,priority,da4052 5.0x3.75 - 3,BILINEAR_CORNER_SLOT,LOCAL_IDW_8_NEIGHBOR_DRAFT,0.106433175,0.082779485,0.418020889,0.042344994,0.209475143,false,true,true,true,true,true,false,false,false,false,true,false,false,false,false,false,false,MEDIUM,manual-review-draft-coefficient-before-payload-promotion,manual-review-required-before-payload-promotion
propeller_archive_ct_cp_j_lookup_coefficient_payload_draft_review_queue,apDrone,mid_domain_mid_rpm,j1-r0,BLOCKED,review_priority,MEDIUM,priority,da4052 5.0x3.75 - 3,BILINEAR_CORNER_SLOT,LOCAL_IDW_8_NEIGHBOR_DRAFT,0.069933908,0.065757757,0.518651636,0.011270377,0.184887815,false,true,true,true,true,true,false,false,false,false,true,false,false,false,false,false,false,MEDIUM,manual-review-draft-coefficient-before-payload-promotion,manual-review-required-before-payload-promotion
propeller_archive_ct_cp_j_lookup_coefficient_payload_draft_review_queue,apDrone,mid_domain_mid_rpm,j0-r1,BLOCKED,review_priority,MEDIUM,priority,da4052 5.0x3.75 - 3,BILINEAR_CORNER_SLOT,LOCAL_IDW_8_NEIGHBOR_DRAFT,0.111286686,0.082094577,0.440729809,0.055829977,0.153541416,false,true,true,true,true,true,false,false,false,false,true,false,false,false,false,false,false,MEDIUM,manual-review-draft-coefficient-before-payload-promotion,manual-review-required-before-payload-promotion
propeller_archive_ct_cp_j_lookup_coefficient_payload_draft_review_queue,apDrone,mid_domain_mid_rpm,j1-r1,BLOCKED,review_priority,MEDIUM,priority,da4052 5.0x3.75 - 3,BILINEAR_CORNER_SLOT,LOCAL_IDW_8_NEIGHBOR_DRAFT,0.071510549,0.063755407,0.547000894,0.062777508,0.149978621,false,true,true,true,true,true,false,false,false,false,true,false,false,false,false,false,false,MEDIUM,manual-review-draft-coefficient-before-payload-promotion,manual-review-required-before-payload-promotion
propeller_archive_ct_cp_j_lookup_coefficient_payload_draft_review_queue,apDrone,high_domain_max_rpm,j0-rmax,BLOCKED,review_priority,MEDIUM,priority,da4052 5.0x3.75 - 3,HIGH_RPM_EDGE_SLOT,LOCAL_IDW_8_NEIGHBOR_DRAFT,0.027183414,0.035710827,0.494968737,0.139691400,0.242265676,false,true,true,true,true,true,false,false,false,false,true,false,false,false,false,false,false,MEDIUM,manual-review-draft-coefficient-before-payload-promotion,manual-review-required-before-payload-promotion
propeller_archive_ct_cp_j_lookup_coefficient_payload_draft_review_queue,apDrone,high_domain_max_rpm,j1-rmax,BLOCKED,review_priority,HIGH,priority,da4052 5.0x3.75 - 3,HIGH_RPM_EDGE_SLOT,LOCAL_IDW_8_NEIGHBOR_DRAFT,0.002618372,0.020673248,0.102945235,0.146105106,0.316538365,false,true,true,true,true,true,false,false,true,false,true,false,false,false,false,false,false,HIGH,increase-or-review-local-fit-support-before-payload-promotion,fit-source-distance-high-for-draft-payload
propeller_archive_ct_cp_j_lookup_coefficient_payload_draft_review_queue,heavyLift,static_anchor_low_rpm,static-anchor,BLOCKED,review_priority,MEDIUM,priority,ancf 10.0x5.0 - 2,DIRECT_STATIC_ANCHOR_SLOT,DIRECT_STATIC_SAMPLE_DRAFT,0.071796,0.018547,0.000000000,0.000000000,0.000000000,true,false,true,true,true,true,false,false,false,true,true,false,false,false,false,false,false,MEDIUM,resolve-geometry-coverage-before-full-simulation-payload-promotion,performance-only-coverage-blocks-full-simulation-payload
propeller_archive_ct_cp_j_lookup_coefficient_payload_draft_review_queue,heavyLift,mid_domain_mid_rpm,j0-r0,BLOCKED,review_priority,MEDIUM,priority,ancf 10.0x5.0 - 2,BILINEAR_CORNER_SLOT,LOCAL_IDW_8_NEIGHBOR_DRAFT,0.063736997,0.032567112,0.522153480,0.067822167,0.142675631,false,false,true,true,true,true,false,false,false,true,true,false,false,false,false,false,false,MEDIUM,resolve-geometry-coverage-before-full-simulation-payload-promotion,performance-only-coverage-blocks-full-simulation-payload
propeller_archive_ct_cp_j_lookup_coefficient_payload_draft_review_queue,heavyLift,mid_domain_mid_rpm,j1-r0,BLOCKED,review_priority,MEDIUM,priority,ancf 10.0x5.0 - 2,BILINEAR_CORNER_SLOT,LOCAL_IDW_8_NEIGHBOR_DRAFT,0.042710882,0.027306346,0.625967850,0.065759099,0.139496471,false,false,true,true,true,true,false,false,false,true,true,false,false,false,false,false,false,MEDIUM,resolve-geometry-coverage-before-full-simulation-payload-promotion,performance-only-coverage-blocks-full-simulation-payload
