row_type,lane_name,blocker_kind,status,metric,value,unit,affected_slot_count,promotion_blocking_slot_count,full_simulation_blocking_slot_count,critical_priority_slot_count,high_priority_slot_count,medium_priority_slot_count,low_priority_slot_count,max_blocker_count,promotion_blocker,full_simulation_coverage_blocker,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,note
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_source,source_fingerprint,source,READY,source_id,User-Propeller-Archive-Source-Fingerprint-Packet,text,0,0,0,0,0,0,0,0,false,false,false,false,review-source-license-before-importing-raw-rows,archive identity for blocker report
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_source,draft_review_queue,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Coefficient-Payload-Draft-Review-Queue-Packet,text,0,0,0,0,0,0,0,0,false,false,false,false,review-draft-coefficient-risk-queue-before-promoting-payloads,source risk queue feeding promotion blockers
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_source,promotion_gate,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Coefficient-Payload-Promotion-Gate-Packet,text,0,0,0,0,0,0,0,0,false,false,false,false,complete-source-payload-and-risk-review-before-coefficient-promotion,promotion gate rows provide blocker states
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_source,reviewed_coefficient_payload,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Reviewed-Coefficient-Payload-Packet,text,0,0,0,0,0,0,0,0,false,false,false,false,review-and-bind-ct-cp-coefficient-payloads-to-grid-slots-before-lookup-execution,downstream payload remains closed
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_source,lookup_execution_contract,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Execution-Contract-Packet,text,0,0,0,0,0,0,0,0,false,false,false,false,complete-scattered-surface-fit-execution-handoff-before-lookup-run,execution cannot consume blocker report
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_source,raw_row_boundary,source,READY,raw_rows_vendored,false,boolean,0,0,0,0,0,0,0,0,false,false,false,false,clear-promotion-blocker-lanes-before-reviewed-payload-output,raw archive rows remain outside repository
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_source,runtime_boundary,source,READY,runtime_coupling_allowed,false,boolean,0,0,0,0,0,0,0,0,false,false,false,false,keep-runtime-and-gameplay-auto-apply-closed,no runtime or gameplay authority
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_lane,source_review,SOURCE_REVIEW,BLOCKED,affected_slot_count,21,count,21,21,0,1,3,15,2,6,true,false,false,false,complete-source-review-before-payload-promotion,source review blocks every draft payload row
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_lane,coefficient_payload_review,PAYLOAD_REVIEW,BLOCKED,affected_slot_count,21,count,21,21,0,1,3,15,2,6,true,false,false,false,complete-coefficient-payload-review-before-promotion,coefficient payload review is still closed for every slot
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_lane,draft_review,DRAFT_REVIEW,BLOCKED,affected_slot_count,21,count,21,21,0,1,3,15,2,6,true,false,false,false,review-draft-coefficient-risk-queue-before-promoting-payloads,draft review has not passed for any candidate
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_lane,coefficient_guard,COEFFICIENT_GUARD,BLOCKED,affected_slot_count,1,count,1,1,0,1,0,0,0,6,true,false,false,false,resolve-coefficient-guard-failure-before-promotion,coefficient guard rejects nonphysical CT CP eta draft rows
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_lane,negative_ct_risk,NEGATIVE_CT,BLOCKED,affected_slot_count,1,count,1,1,0,1,0,0,0,6,true,false,false,false,review-negative-ct-draft-before-payload-promotion,negative CT draft must be resolved before payload promotion
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_lane,source_distance_risk,SOURCE_DISTANCE,BLOCKED,affected_slot_count,4,count,4,4,0,1,3,0,0,6,true,false,false,false,resolve-source-distance-risk-before-promotion,local fit source support is too distant for automatic promotion
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_lane,performance_only_geometry_coverage,FULL_SIMULATION_COVERAGE,BLOCKED,affected_slot_count,7,count,7,0,7,1,1,5,0,6,false,true,false,false,resolve-geometry-coverage-before-full-simulation-payload-promotion,performance-only heavyLift rows cannot become full simulation evidence yet
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_summary,all,summary,BLOCKED,blocker_lane_count,7,count,0,0,0,0,0,0,0,0,false,false,false,false,clear-promotion-blocker-lanes-before-reviewed-payload-output,total blocker lanes
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_summary,all,summary,BLOCKED,active_blocker_lane_count,7,count,0,0,0,0,0,0,0,0,false,false,false,false,clear-promotion-blocker-lanes-before-reviewed-payload-output,all lanes currently active
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_summary,all,summary,BLOCKED,promotion_blocking_lane_count,6,count,0,0,0,0,0,0,0,0,false,false,false,false,clear-promotion-blocker-lanes-before-reviewed-payload-output,payload promotion blocker lanes
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_summary,all,summary,BLOCKED,full_simulation_blocking_lane_count,1,count,0,0,0,0,0,0,0,0,false,false,false,false,clear-promotion-blocker-lanes-before-reviewed-payload-output,full simulation coverage blocker lanes
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_summary,all,summary,BLOCKED,total_promotion_blocker_incidence_count,69,count,0,0,0,0,0,0,0,0,false,false,false,false,clear-promotion-blocker-lanes-before-reviewed-payload-output,promotion blocker incidence across lanes
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_summary,all,summary,BLOCKED,total_full_simulation_coverage_incidence_count,7,count,0,0,0,0,0,0,0,0,false,false,false,false,clear-promotion-blocker-lanes-before-reviewed-payload-output,full simulation coverage blocker incidence
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_blocker_summary,all,summary,BLOCKED,max_affected_slot_count,21,count,0,0,0,0,0,0,0,0,false,false,false,false,clear-promotion-blocker-lanes-before-reviewed-payload-output,largest blocker lane coverage
