row_type,scenario_name,status,metric,value,unit,worksheet_scenario,payload_scenario,promotion_evidence_complete,full_simulation_evidence_complete,worksheet_review_work_open,source_rows_reviewed,expected_slot_count,review_work_open_slot_count,evidence_blocked_slot_count,observed_payload_slot_count,reviewed_payload_slot_count,coefficient_payload_ready_slot_count,lookup_execution_input_slot_count,missing_payload_slot_count,failed_payload_slot_count,reviewed_payload_handoff_ready,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,note
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_handoff_source,source,READY,source_id,User-Propeller-Archive-Source-Fingerprint-Packet,text,source_fingerprint,source_fingerprint,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,review-source-license-before-importing-raw-rows,archive identity remains required
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_handoff_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Coefficient-Payload-Review-Worksheet-Packet,text,review_worksheet,review_worksheet,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,enter-reviewed-ct-cp-values-before-reviewed-payload-binding,worksheet controls manual CT CP entry
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_handoff_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Reviewed-Coefficient-Payload-Packet,text,reviewed_payload,reviewed_payload,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,review-and-bind-ct-cp-coefficient-payloads-to-grid-slots-before-lookup-execution,payload summary controls lookup input readiness
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_handoff_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Coefficient-Payload-Promotion-Clearance-Evidence-Ledger-Packet,text,evidence_ledger,evidence_ledger,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,evidence ledger controls worksheet opening
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_handoff_source,source,BLOCKED,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Execution-Contract-Packet,text,lookup_execution_contract,lookup_execution_contract,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,keep-lookup-execution-input-closed,handoff only exposes lookup input after worksheet and payload pass
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_handoff_source,source,BLOCKED,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Coefficient-Payload-Promotion-Gate-Packet,text,promotion_gate,promotion_gate,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,keep-reviewed-payload-output-closed-until-promotion-gates-clear,promotion gate remains upstream guard
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_handoff_source,source,READY,caveat,review-handoff-only-no-runtime-authority,text,handoff_caveat,handoff_caveat,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,complete-coefficient-payload-review-handoff-before-lookup-execution,this packet does not enable runtime or gameplay auto apply
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_handoff,current_evidence_blocked_no_payload_review,BLOCKED,worksheet_review_work_open,false,boolean,current_no_evidence_submitted,current_no_reviewed_payloads,false,false,false,false,21,0,21,0,0,0,0,21,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current handoff blocked by evidence and missing payload rows
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_handoff,worksheet_open_payload_unreviewed,BLOCKED,failed_payload_slot_count,21,count,synthetic_promotion_evidence_accepted_geometry_pending,reviewed_grid_slots_payload_missing,true,false,true,true,21,21,0,21,0,0,0,0,21,false,false,false,review-and-bind-ct-cp-coefficient-payloads-to-grid-slots-before-lookup-execution,worksheet open but coefficient payload guards fail
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_handoff,payload_ready_but_worksheet_blocked,BLOCKED,lookup_execution_input_slot_count,0,count,current_no_evidence_submitted,synthetic_all_payloads_reviewed,false,false,false,true,21,0,21,21,21,21,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,ready payload cannot bypass closed worksheet
