row_type,scenario_name,preset_name,case_name,slot_id,status,metric,value,unit,performance_match_id,slot_kind,slot_coordinate_role,query_advance_ratio_j,query_rpm,slot_advance_ratio_j,slot_rpm,minimum_performance_neighbor_rows,promotion_evidence_complete,full_simulation_evidence_complete,review_work_allowed,source_archive_identity_required,ct_cp_entry_required,ct_cp_value_present,coefficient_payload_reviewed,lookup_execution_input_ready,full_simulation_lookup_allowed,performance_only_coverage,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,note
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_source,source,source_fingerprint,source,,READY,source_id,User-Propeller-Archive-Source-Fingerprint-Packet,text,not_applicable,source,source,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,review-source-license-before-importing-raw-rows,archive identity remains required
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_source,source,clearance_evidence_ledger,source,,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Coefficient-Payload-Promotion-Clearance-Evidence-Ledger-Packet,text,not_applicable,source,source,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,evidence ledger gates worksheet opening
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_source,source,clearance_plan,source,,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Coefficient-Payload-Promotion-Clearance-Plan-Packet,text,not_applicable,source,source,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,execute-clearance-plan-before-reviewed-payload-output,clearance plan defines required review artifacts
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_source,source,reviewed_grid_input,source,,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Reviewed-Grid-Input-Packet,text,not_applicable,source,source,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,fill-reviewed-grid-input-slots-with-reviewed-ct-cp-payloads-before-lookup-run,grid input supplies exact J RPM slots
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_source,source,reviewed_payload,source,,BLOCKED,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Reviewed-Coefficient-Payload-Packet,text,not_applicable,source,source,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,review-and-bind-ct-cp-coefficient-payloads-to-grid-slots-before-lookup-execution,worksheet does not create payload rows
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_source,source,promotion_gate,source,,BLOCKED,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Coefficient-Payload-Promotion-Gate-Packet,text,not_applicable,source,source,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,keep-reviewed-payload-output-closed-until-promotion-gates-clear,promotion gate remains closed
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_source,source,lookup_execution_contract,source,,BLOCKED,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Execution-Contract-Packet,text,not_applicable,source,source,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,keep-lookup-execution-input-closed,worksheet cannot open lookup execution
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet_source,source,worksheet_caveat,source,,READY,caveat,review-worksheet-only-no-runtime-authority,text,not_applicable,source,source,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,enter-reviewed-ct-cp-values-before-reviewed-payload-binding,current packet is coefficient review worksheet only
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet,current_no_evidence_submitted,racingQuad,static_anchor_low_rpm,static-anchor,EVIDENCE_BLOCKED,review_work_allowed,false,boolean,da4052 5.0x3.75 - 3,DIRECT_STATIC_ANCHOR_SLOT,query_j_query_rpm,0.000000,1477.80,0.000000,1477.80,1,false,false,false,true,false,false,false,false,true,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,clearance evidence incomplete before coefficient payload review: source_review
propeller_archive_ct_cp_j_lookup_coefficient_payload_review_worksheet,current_no_evidence_submitted,racingQuad,mid_domain_mid_rpm,j0-r0,EVIDENCE_BLOCKED,review_work_allowed,false,boolean,da4052 5.0x3.75 - 3,BILINEAR_CORNER_SLOT,lower_j_lower_rpm,0.406400,4712.25,0.325120,4065.36,4,false,false,false,true,false,false,false,false,true,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,clearance evidence incomplete before coefficient payload review: source_review
