row_type,preset_name,case_name,slot_id,status,metric,value,unit,performance_match_id,slot_kind,slot_coordinate_role,slot_advance_ratio_j,slot_rpm,source_archive_file,lower_source_advance_ratio_j,upper_source_advance_ratio_j,lower_source_rpm,upper_source_rpm,direct_archive_sample_count,direct_archive_sample_available,direct_static_anchor_binding,scattered_fit_required,source_rows_reviewed,coefficient_payload_reviewed,payload_source_window_ready,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,note
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window_source,source_fingerprint,source,,READY,source_id,User-Propeller-Archive-Source-Fingerprint-Packet,text,,,,,,,,,,,,,,,false,false,false,false,false,review-source-license-before-importing-raw-rows,archive identity for non-vendored source windows
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window_source,dataset_triage,source,,READY,source_id,User-Propeller-Archive-Dataset-Triage-Packet,text,,,,,,,,,,,,,,,false,false,false,false,false,review-source-license-then-fit-ct-cp-j-re-and-geometry-curves,archive row counts and exact propeller matches
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window_source,archive_lookup_grid_coverage,source,,READY,source_id,User-Propeller-Archive-CT-CP-J-Archive-Lookup-Grid-Coverage-Packet,text,,,,,,,,,,,,,,,false,false,false,false,false,fit-scattered-ct-cp-j-surface-before-direct-lookup-binding,coverage proves nonstatic slots lack rectangular neighbors
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window_source,scattered_surface_fit_input_window,source,,READY,source_id,User-Propeller-Archive-CT-CP-J-Scattered-Surface-Fit-Input-Window-Packet,text,,,,,,,,,,,,,,,false,false,false,false,false,review-source-license-before-fit-input-window,target-level fit input window source
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window_source,reviewed_grid_input,source,,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Reviewed-Grid-Input-Packet,text,,,,,,,,,,,,,,,false,false,false,false,false,fill-reviewed-grid-input-slots-with-reviewed-ct-cp-payloads-before-lookup-run,slot-level lookup manifest
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window_source,reviewed_coefficient_payload,source,,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Reviewed-Coefficient-Payload-Packet,text,,,,,,,,,,,,,,,false,false,false,false,false,review-and-bind-ct-cp-coefficient-payloads-to-grid-slots-before-lookup-execution,downstream coefficient payload gate
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window_source,raw_row_boundary,source,,READY,raw_rows_vendored,false,boolean,,,,,,,,,,,,,,,false,false,false,false,false,review-source-license-before-coefficient-payload-source-window,raw archive rows remain outside the repository
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window_source,runtime_boundary,source,,READY,runtime_coupling_allowed,false,boolean,,,,,,,,,,,,,,,false,false,false,false,false,keep-runtime-and-gameplay-auto-apply-closed,source windows are audit material only
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window,racingQuad,static_anchor_low_rpm,static-anchor,BLOCKED,direct_archive_sample_count,1,count,da4052 5.0x3.75 - 3,DIRECT_STATIC_ANCHOR_SLOT,query_j_query_rpm,0.000000,1477.80,volume2_exp.csv,0.000000,0.000000,1477.778,1477.778,1,true,true,false,false,false,false,false,false,review-source-license-before-coefficient-payload-source-window,source-review-blocks-direct-static-payload-binding
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window,racingQuad,mid_domain_mid_rpm,j0-r0,BLOCKED,direct_archive_sample_count,0,count,da4052 5.0x3.75 - 3,BILINEAR_CORNER_SLOT,lower_j_lower_rpm,0.325120,4065.36,volume2_exp.csv,0.324629,0.329413,4025.000,4500.000,0,false,false,true,false,false,false,false,false,review-source-license-before-coefficient-payload-source-window,source-review-blocks-scattered-fit-payload-source-window
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window,racingQuad,mid_domain_mid_rpm,j1-r0,BLOCKED,direct_archive_sample_count,0,count,da4052 5.0x3.75 - 3,BILINEAR_CORNER_SLOT,upper_j_lower_rpm,0.487680,4065.36,volume2_exp.csv,0.474387,0.489270,4025.000,4500.000,0,false,false,true,false,false,false,false,false,review-source-license-before-coefficient-payload-source-window,source-review-blocks-scattered-fit-payload-source-window
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window,racingQuad,mid_domain_mid_rpm,j0-r1,BLOCKED,direct_archive_sample_count,0,count,da4052 5.0x3.75 - 3,BILINEAR_CORNER_SLOT,lower_j_upper_rpm,0.325120,5359.14,volume2_exp.csv,0.324629,0.329413,5030.000,5433.334,0,false,false,true,false,false,false,false,false,review-source-license-before-coefficient-payload-source-window,source-review-blocks-scattered-fit-payload-source-window
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window,racingQuad,mid_domain_mid_rpm,j1-r1,BLOCKED,direct_archive_sample_count,0,count,da4052 5.0x3.75 - 3,BILINEAR_CORNER_SLOT,upper_j_upper_rpm,0.487680,5359.14,volume2_exp.csv,0.474387,0.489270,5030.000,5433.334,0,false,false,true,false,false,false,false,false,review-source-license-before-coefficient-payload-source-window,source-review-blocks-scattered-fit-payload-source-window
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window,racingQuad,high_domain_max_rpm,j0-rmax,BLOCKED,direct_archive_sample_count,0,count,da4052 5.0x3.75 - 3,HIGH_RPM_EDGE_SLOT,lower_j_query_rpm,0.650240,7946.70,volume2_exp.csv,0.637874,0.655440,7946.667,7946.667,0,false,false,true,false,false,false,false,false,review-source-license-before-coefficient-payload-source-window,source-review-blocks-scattered-fit-payload-source-window
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window,racingQuad,high_domain_max_rpm,j1-rmax,BLOCKED,direct_archive_sample_count,0,count,da4052 5.0x3.75 - 3,HIGH_RPM_EDGE_SLOT,upper_j_query_rpm,0.812800,7946.70,volume2_exp.csv,0.812815,0.812815,7946.667,7946.667,0,false,false,true,false,false,false,false,false,review-source-license-before-coefficient-payload-source-window,source-review-blocks-scattered-fit-payload-source-window
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window,apDrone,static_anchor_low_rpm,static-anchor,BLOCKED,direct_archive_sample_count,1,count,da4052 5.0x3.75 - 3,DIRECT_STATIC_ANCHOR_SLOT,query_j_query_rpm,0.000000,1477.80,volume2_exp.csv,0.000000,0.000000,1477.778,1477.778,1,true,true,false,false,false,false,false,false,review-source-license-before-coefficient-payload-source-window,source-review-blocks-direct-static-payload-binding
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window,apDrone,mid_domain_mid_rpm,j0-r0,BLOCKED,direct_archive_sample_count,0,count,da4052 5.0x3.75 - 3,BILINEAR_CORNER_SLOT,lower_j_lower_rpm,0.325120,4065.36,volume2_exp.csv,0.324629,0.329413,4025.000,4500.000,0,false,false,true,false,false,false,false,false,review-source-license-before-coefficient-payload-source-window,source-review-blocks-scattered-fit-payload-source-window
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window,apDrone,mid_domain_mid_rpm,j1-r0,BLOCKED,direct_archive_sample_count,0,count,da4052 5.0x3.75 - 3,BILINEAR_CORNER_SLOT,upper_j_lower_rpm,0.487680,4065.36,volume2_exp.csv,0.474387,0.489270,4025.000,4500.000,0,false,false,true,false,false,false,false,false,review-source-license-before-coefficient-payload-source-window,source-review-blocks-scattered-fit-payload-source-window
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window,apDrone,mid_domain_mid_rpm,j0-r1,BLOCKED,direct_archive_sample_count,0,count,da4052 5.0x3.75 - 3,BILINEAR_CORNER_SLOT,lower_j_upper_rpm,0.325120,5359.14,volume2_exp.csv,0.324629,0.329413,5030.000,5433.334,0,false,false,true,false,false,false,false,false,review-source-license-before-coefficient-payload-source-window,source-review-blocks-scattered-fit-payload-source-window
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window,apDrone,mid_domain_mid_rpm,j1-r1,BLOCKED,direct_archive_sample_count,0,count,da4052 5.0x3.75 - 3,BILINEAR_CORNER_SLOT,upper_j_upper_rpm,0.487680,5359.14,volume2_exp.csv,0.474387,0.489270,5030.000,5433.334,0,false,false,true,false,false,false,false,false,review-source-license-before-coefficient-payload-source-window,source-review-blocks-scattered-fit-payload-source-window
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window,apDrone,high_domain_max_rpm,j0-rmax,BLOCKED,direct_archive_sample_count,0,count,da4052 5.0x3.75 - 3,HIGH_RPM_EDGE_SLOT,lower_j_query_rpm,0.650240,7946.70,volume2_exp.csv,0.637874,0.655440,7946.667,7946.667,0,false,false,true,false,false,false,false,false,review-source-license-before-coefficient-payload-source-window,source-review-blocks-scattered-fit-payload-source-window
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window,apDrone,high_domain_max_rpm,j1-rmax,BLOCKED,direct_archive_sample_count,0,count,da4052 5.0x3.75 - 3,HIGH_RPM_EDGE_SLOT,upper_j_query_rpm,0.812800,7946.70,volume2_exp.csv,0.812815,0.812815,7946.667,7946.667,0,false,false,true,false,false,false,false,false,review-source-license-before-coefficient-payload-source-window,source-review-blocks-scattered-fit-payload-source-window
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window,heavyLift,static_anchor_low_rpm,static-anchor,BLOCKED,direct_archive_sample_count,1,count,ancf 10.0x5.0 - 2,DIRECT_STATIC_ANCHOR_SLOT,query_j_query_rpm,0.000000,1060.00,volume3_exp.csv,0.000000,0.000000,1060.000,1060.000,1,true,true,false,false,false,false,false,false,review-source-license-before-coefficient-payload-source-window,source-review-blocks-direct-static-payload-binding
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window,heavyLift,mid_domain_mid_rpm,j0-r0,BLOCKED,direct_archive_sample_count,0,count,ancf 10.0x5.0 - 2,BILINEAR_CORNER_SLOT,lower_j_lower_rpm,0.266800,3612.00,volume3_exp.csv,0.260182,0.282563,3540.000,4017.000,0,false,false,true,false,false,false,false,false,review-source-license-before-coefficient-payload-source-window,source-review-blocks-scattered-fit-payload-source-window
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window,heavyLift,mid_domain_mid_rpm,j1-r0,BLOCKED,direct_archive_sample_count,0,count,ancf 10.0x5.0 - 2,BILINEAR_CORNER_SLOT,upper_j_lower_rpm,0.400200,3612.00,volume3_exp.csv,0.396974,0.402336,3540.000,4017.000,0,false,false,true,false,false,false,false,false,review-source-license-before-coefficient-payload-source-window,source-review-blocks-scattered-fit-payload-source-window
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window,heavyLift,mid_domain_mid_rpm,j0-r1,BLOCKED,direct_archive_sample_count,0,count,ancf 10.0x5.0 - 2,BILINEAR_CORNER_SLOT,lower_j_upper_rpm,0.266800,4888.00,volume3_exp.csv,0.260182,0.282563,4460.000,4960.000,0,false,false,true,false,false,false,false,false,review-source-license-before-coefficient-payload-source-window,source-review-blocks-scattered-fit-payload-source-window
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window,heavyLift,mid_domain_mid_rpm,j1-r1,BLOCKED,direct_archive_sample_count,0,count,ancf 10.0x5.0 - 2,BILINEAR_CORNER_SLOT,upper_j_upper_rpm,0.400200,4888.00,volume3_exp.csv,0.396974,0.402336,4460.000,4960.000,0,false,false,true,false,false,false,false,false,review-source-license-before-coefficient-payload-source-window,source-review-blocks-scattered-fit-payload-source-window
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window,heavyLift,high_domain_max_rpm,j0-rmax,BLOCKED,direct_archive_sample_count,0,count,ancf 10.0x5.0 - 2,HIGH_RPM_EDGE_SLOT,lower_j_query_rpm,0.533600,7440.00,volume3_exp.csv,0.522286,0.539501,7440.000,7440.000,0,false,false,true,false,false,false,false,false,review-source-license-before-coefficient-payload-source-window,source-review-blocks-scattered-fit-payload-source-window
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window,heavyLift,high_domain_max_rpm,j1-rmax,BLOCKED,direct_archive_sample_count,0,count,ancf 10.0x5.0 - 2,HIGH_RPM_EDGE_SLOT,upper_j_query_rpm,0.667000,7440.00,volume3_exp.csv,0.667043,0.667043,7440.000,7440.000,0,false,false,true,false,false,false,false,false,review-source-license-before-coefficient-payload-source-window,source-review-blocks-scattered-fit-payload-source-window
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window_summary,all,source_window_row_count,,BLOCKED,source_window_row_count,21,count,,,,,,,,,,,,,,,false,false,false,false,false,review-source-license-then-fill-coefficient-payload-source-windows,total source-window rows
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window_summary,all,direct_static_anchor_source_window_count,,BLOCKED,direct_static_anchor_source_window_count,3,count,,,,,,,,,,,,,,,false,false,false,false,false,review-source-license-then-fill-coefficient-payload-source-windows,static anchors have direct source samples after review
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window_summary,all,scattered_fit_source_window_count,,BLOCKED,scattered_fit_source_window_count,18,count,,,,,,,,,,,,,,,false,false,false,false,false,review-source-license-then-fill-coefficient-payload-source-windows,nonstatic slots require scattered fit source windows
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window_summary,all,direct_archive_sample_available_slot_count,,BLOCKED,direct_archive_sample_available_slot_count,3,count,,,,,,,,,,,,,,,false,false,false,false,false,review-source-license-then-fill-coefficient-payload-source-windows,only static anchors bind directly
propeller_archive_ct_cp_j_lookup_coefficient_payload_source_window_summary,all,direct_nonstatic_archive_sample_slot_count,,BLOCKED,direct_nonstatic_archive_sample_slot_count,0,count,,,,,,,,,,,,,,,false,false,false,false,false,review-source-license-then-fill-coefficient-payload-source-windows,no nonstatic execution slot has direct archive sample
