row_type,scenario_name,status,metric,value,unit,payload_handoff_scenario,surface_fit_handoff_scenario,payload_handoff_ready,surface_fit_handoff_ready,source_rows_reviewed,scattered_surface_fit_contract_ready,expected_payload_slot_count,payload_lookup_input_slot_count,expected_surface_fit_target_count,exported_surface_fit_input_row_count,archive_curve_shape_guard_ready_target_count,negative_thrust_tail_execution_input_row_count,full_simulation_execution_input_row_count,performance_only_execution_input_row_count,lookup_execution_target_ready_count,lookup_execution_input_ready,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,note
propeller_archive_ct_cp_j_lookup_execution_input_readiness_gate_source,source,READY,source_id,User-Propeller-Archive-Source-Fingerprint-Packet,text,source_fingerprint,source_fingerprint,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,review-source-license-before-importing-raw-rows,archive identity remains required
propeller_archive_ct_cp_j_lookup_execution_input_readiness_gate_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Coefficient-Payload-Review-Handoff-Packet,text,coefficient_payload_review_handoff,coefficient_payload_review_handoff,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,complete-coefficient-payload-review-handoff-before-lookup-execution,payload handoff supplies reviewed coefficient slots
propeller_archive_ct_cp_j_lookup_execution_input_readiness_gate_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Scattered-Surface-Fit-Execution-Handoff-Packet,text,scattered_surface_fit_execution_handoff,scattered_surface_fit_execution_handoff,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,complete-scattered-surface-fit-execution-handoff-before-lookup-run,surface fit handoff supplies target input shape
propeller_archive_ct_cp_j_lookup_execution_input_readiness_gate_source,source,BLOCKED,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Execution-Contract-Packet,text,lookup_execution_contract,lookup_execution_contract,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,complete-payload-and-surface-fit-handoffs-before-lookup-execution,execution waits for both handoffs
propeller_archive_ct_cp_j_lookup_execution_input_readiness_gate_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Reviewed-Coefficient-Payload-Packet,text,reviewed_coefficient_payload,reviewed_coefficient_payload,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,review-and-bind-ct-cp-coefficient-payloads-to-grid-slots-before-lookup-execution,payload rows remain reviewed-lab material
propeller_archive_ct_cp_j_lookup_execution_input_readiness_gate_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Reviewed-Grid-Input-Packet,text,reviewed_grid_input,reviewed_grid_input,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,fill-reviewed-grid-input-slots-with-reviewed-ct-cp-payloads-before-lookup-run,grid input defines the 21 coefficient slots
propeller_archive_ct_cp_j_lookup_execution_input_readiness_gate_source,source,READY,caveat,readiness-gate-no-runtime-authority,text,readiness_gate,readiness_gate,false,false,false,false,0,0,0,0,0,0,0,0,0,false,false,false,complete-payload-and-surface-fit-handoffs-before-lookup-execution,readiness gate never enables runtime or gameplay auto apply
propeller_archive_ct_cp_j_lookup_execution_input_readiness_gate,current_payload_and_surface_fit_blocked,BLOCKED,lookup_execution_input_ready,false,boolean,current_evidence_blocked_no_payload_review,current_source_review_blocked_no_execution_input,false,false,false,false,21,0,9,0,0,9,0,0,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current payload and surface fit handoffs are both blocked
propeller_archive_ct_cp_j_lookup_execution_input_readiness_gate,payload_ready_surface_fit_blocked,BLOCKED,payload_lookup_input_slot_count,21,count,worksheet_open_payload_ready,current_source_review_blocked_no_execution_input,true,false,false,false,21,21,9,0,0,0,0,0,0,false,false,false,complete-scattered-surface-fit-execution-handoff-before-lookup-run,payload readiness cannot run without surface fit handoff
propeller_archive_ct_cp_j_lookup_execution_input_readiness_gate,surface_fit_ready_payload_blocked,BLOCKED,exported_surface_fit_input_row_count,9,count,current_evidence_blocked_no_payload_review,surface_fit_ready_execution_input_handoff,false,true,true,true,21,0,9,9,9,9,6,3,0,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,surface fit readiness cannot run without reviewed payload handoff
