row_type,name,metric,value,unit,source_file,evidence_role,required,current_satisfied,reviewed_import_satisfied,synthetic_target_satisfied,post_review_ct_cp_j_allowed,post_review_full_simulation_allowed,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,status,note
propeller_archive_ct_cp_j_lookup_interpolation_source,lookup_seed,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Seed-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,lookup_seed,true,true,true,true,false,false,false,false,review-source-license-then-import-reviewed-ct-cp-j-rows-into-offline-lookup,READY,seed defines domains and preset coverage blockers
propeller_archive_ct_cp_j_lookup_interpolation_source,query_envelope,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Query-Envelope-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,query_domain_guard,true,true,true,true,false,false,false,false,review-source-license-then-run-reviewed-lookup-query-envelope-with-real-ct-cp-j-rows,READY,envelope rejects out-of-domain lookup probes
propeller_archive_ct_cp_j_lookup_interpolation_source,curve_fit_plan,source_id,User-Propeller-Archive-Curve-Fit-Plan-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitPlan.java,fit_plan,true,false,true,true,false,false,false,false,fit-ct-cp-j-re-and-blade-geometry-curves,PLANNED,policy binds only after reviewed fit data exists
propeller_archive_ct_cp_j_lookup_interpolation_source,curve_fit_acceptance_gate,source_id,User-Propeller-Archive-Curve-Fit-Acceptance-Gate-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,fit_quality_gate,true,false,false,true,false,false,false,false,accept-fit-quality-before-lookup-reference-export,BLOCKED,no accepted fitted lookup coefficients exist yet
propeller_archive_ct_cp_j_lookup_interpolation_source,compact_reference_handoff,source_id,User-Propeller-Archive-Compact-Reference-Handoff-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCompactReferenceHandoff.java,reference_handoff,true,false,false,true,false,false,false,false,review-compact-reference-before-playable-handoff,BLOCKED,playable handoff remains closed
propeller_archive_ct_cp_j_lookup_interpolation_source,runtime_boundary,source_id,DronePhysics runtime boundary,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,leak_guard,true,true,true,true,false,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,READY,interpolation policy cannot alter runtime physics
propeller_archive_ct_cp_j_lookup_interpolation_rule,source_license_review,rule,raw-rows-must-be-reviewed-before-policy-can-bind-to-data,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,policy_rule,true,false,true,true,false,false,false,false,review-source-license-before-importing-raw-rows,BLOCKED,first gate before rows bind to policy
propeller_archive_ct_cp_j_lookup_interpolation_rule,finite_sorted_j_rows,rule,J-rows-must-be-finite-nonnegative-and-sorted-inside-each-RPM-bin,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,policy_rule,true,false,true,true,false,false,false,false,validate-reviewed-j-grid-before-interpolation,BLOCKED,prevents malformed advance-ratio grids
propeller_archive_ct_cp_j_lookup_interpolation_rule,finite_positive_rpm_bins,rule,RPM-bins-must-be-finite-positive-and-bracket-query-RPM,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,policy_rule,true,false,true,true,false,false,false,false,validate-reviewed-rpm-bins-before-interpolation,BLOCKED,prevents speed-bin extrapolation
propeller_archive_ct_cp_j_lookup_interpolation_rule,static_anchor_preservation,rule,J-zero-CT-CP-anchors-must-remain-exactly-recoverable,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,policy_rule,true,false,true,true,false,false,false,false,preserve-static-ct-cp-anchor,BLOCKED,hover and static anchors cannot be smoothed away
