row_type,name,metric,value,unit,source_file,evidence_role,inside_j_domain,inside_rpm_domain,inside_lookup_domain,post_review_ct_cp_j_query_allowed,post_review_full_simulation_query_allowed,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,status,note
propeller_archive_ct_cp_j_lookup_query_source,lookup_seed,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Seed-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,lookup_seed,true,true,true,false,false,false,false,review-source-license-then-import-reviewed-ct-cp-j-rows-into-offline-lookup,READY,seed defines preset domains and current blockers
propeller_archive_ct_cp_j_lookup_query_source,compact_reference_table,source_id,User-Propeller-Archive-Compact-Reference-Table-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCompactReferenceTable.java,reference_shape,true,true,true,false,false,false,false,review-compact-reference-before-playable-handoff,BLOCKED,current reference weights remain zero
propeller_archive_ct_cp_j_lookup_query_source,forward_advance_gap_diagnostic,source_id,User-Propeller-Archive-RotorSpec-Retune-Ambient-Compressibility-Derate-Control-Hook-Forward-Advance-Scale-Gap-Diagnostic-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardAdvanceScaleGapDiagnostic.java,apdrone_forward_domain_check,true,true,true,false,false,false,false,investigate-rotor-state-dispersion-and-residual-thrust-terms-before-changing-advance-scale,TRIAGED,APDrone peak equivalent J remains inside DA4052 seed domain
propeller_archive_ct_cp_j_lookup_query_source,fit_import_contract,source_id,User-Propeller-Archive-Fit-Import-Contract-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveFitImportContract.java,reviewed_import_contract,false,true,false,false,false,false,false,review-source-license-before-importing-raw-rows,BLOCKED,current raw import remains closed
propeller_archive_ct_cp_j_lookup_query_source,curve_fit_acceptance_gate,source_id,User-Propeller-Archive-Curve-Fit-Acceptance-Gate-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitAcceptanceGate.java,fit_quality_gate,false,true,false,false,false,false,false,accept-fit-quality-before-lookup-reference-export,BLOCKED,no accepted fitted CT CP rows exist yet
propeller_archive_ct_cp_j_lookup_query_source,runtime_boundary,source_id,DronePhysics runtime boundary,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,leak_guard,true,true,true,false,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,READY,query envelope cannot drive runtime physics
propeller_archive_ct_cp_j_lookup_query,racingQuad,static_anchor_low_rpm,J=0;rpm=1477.8;mu=0;j_coverage=0;rpm_fraction=0,query_envelope,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,domain_query,true,true,true,true,true,false,false,review-source-license-then-run-reviewed-lookup-query-envelope-with-real-ct-cp-j-rows,LOOKUP_READY_AFTER_REVIEW,static anchor query is in DA4052 domain but current source review blocks use
propeller_archive_ct_cp_j_lookup_query,racingQuad,mid_domain_mid_rpm,J=0.4064;rpm=4712.25;mu=0.129361137745093;j_coverage=0.5;rpm_fraction=0.5,query_envelope,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,domain_query,true,true,true,true,true,false,false,review-source-license-then-run-reviewed-lookup-query-envelope-with-real-ct-cp-j-rows,LOOKUP_READY_AFTER_REVIEW,mid-domain query is review-ready after raw import
propeller_archive_ct_cp_j_lookup_query,racingQuad,high_domain_max_rpm,J=0.73152;rpm=7946.7;mu=0.232850047941167;j_coverage=0.9;rpm_fraction=1,query_envelope,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,domain_query,true,true,true,true,true,false,false,review-source-license-then-run-reviewed-lookup-query-envelope-with-real-ct-cp-j-rows,LOOKUP_READY_AFTER_REVIEW,high in-domain query remains below extrapolation boundary
propeller_archive_ct_cp_j_lookup_query,racingQuad,high_j_extrapolation_probe,J=0.93472;rpm=7946.7;mu=0.297530616813713;j_coverage=1.15;rpm_fraction=1,query_envelope,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupQueryEnvelope.java,domain_query,false,true,false,false,false,false,false,reject-query-until-reviewed-extrapolation-policy,OUT_OF_DOMAIN,high-J probe is intentionally rejected
