row_type,name,metric,value,unit,source_file,evidence_role,required,current_satisfied,lookup_acceptance_ready,reference_material_export_allowed,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,status,note
propeller_archive_ct_cp_j_lookup_reference_handoff_source,lookup_acceptance_gate,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Acceptance-Gate-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupAcceptanceGate.java,acceptance_gate,true,false,false,false,false,false,execute-reviewed-lookup-interpolation,BLOCKED,current acceptance remains closed
propeller_archive_ct_cp_j_lookup_reference_handoff_source,reference_table,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Reference-Table-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupReferenceTable.java,reference_table,true,true,false,false,false,false,materialize-reference-table-after-handoff,READY,table consumes this handoff gate
propeller_archive_ct_cp_j_lookup_reference_handoff_source,source_fingerprint,source_id,User-Propeller-Archive-Source-Fingerprint-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveSourceFingerprint.java,source_identity,true,false,false,false,false,false,review-source-license-before-importing-raw-rows,BLOCKED,current raw import remains closed
propeller_archive_ct_cp_j_lookup_reference_handoff_source,interpolation_policy,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Interpolation-Policy-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupInterpolationPolicy.java,policy_contract,true,true,false,false,false,false,review-source-license-then-bind-reviewed-ct-cp-j-rows-to-interpolation-policy,READY,policy defines required reference payload coordinates
propeller_archive_ct_cp_j_lookup_reference_handoff_source,compact_reference_handoff,source_id,User-Propeller-Archive-Compact-Reference-Handoff-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCompactReferenceHandoff.java,downstream_reference_review,true,false,false,false,false,false,review-compact-reference-before-playable-handoff,BLOCKED,downstream reference review remains separate
propeller_archive_ct_cp_j_lookup_reference_handoff_source,runtime_boundary,source_id,DronePhysics runtime boundary,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupReferenceHandoff.java,leak_guard,true,true,false,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,READY,handoff cannot alter runtime physics
propeller_archive_ct_cp_j_lookup_reference_handoff_field,preset_name,unit,text,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupReferenceHandoff.java,reference_payload_schema,true,true,false,false,false,false,join-lookup-reference-to-preset-profile,READY,DroneConfig preset key
propeller_archive_ct_cp_j_lookup_reference_handoff_field,case_name,unit,text,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupReferenceHandoff.java,reference_payload_schema,true,true,false,false,false,false,separate-query-reference-points,READY,static mid and high-domain case key
propeller_archive_ct_cp_j_lookup_reference_handoff_field,source_archive_sha256,unit,sha256,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupReferenceHandoff.java,reference_payload_schema,true,true,false,false,false,false,prove-source-identity,READY,archive fingerprint
propeller_archive_ct_cp_j_lookup_reference_handoff_field,performance_match_id,unit,text,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupReferenceHandoff.java,reference_payload_schema,true,true,false,false,false,false,trace-ct-cp-j-provenance,READY,reviewed performance source
propeller_archive_ct_cp_j_lookup_reference_handoff_field,geometry_match_id,unit,text,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupReferenceHandoff.java,reference_payload_schema,true,true,false,false,false,false,separate-full-simulation-coverage,READY,reviewed geometry source or blocker
