row_type,scenario_name,status,metric,value,unit,acceptance_handoff_scenario,acceptance_handoff_ready,compact_reference_reviewed,lookup_acceptance_ready,lookup_execution_contract_ready,lookup_interpolation_executed,expected_reference_row_count,expected_reference_field_count,observed_reference_field_count,ready_seed_count,pending_seed_count,unavailable_seed_count,accepted_lookup_target_count,blocked_lookup_target_count,all_reference_fields_present,reference_review_ready,reference_material_export_allowed,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,note
propeller_archive_ct_cp_j_lookup_reference_review_readiness_source,source,READY,source_id,User-Propeller-Archive-Source-Fingerprint-Packet,text,source_fingerprint,false,false,false,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,review-source-license-before-importing-raw-rows,archive identity remains required
propeller_archive_ct_cp_j_lookup_reference_review_readiness_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Execution-Acceptance-Handoff-Packet,text,execution_acceptance_handoff,false,false,false,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,record-lookup-execution-result-evidence-before-acceptance,execution acceptance handoff must open before review
propeller_archive_ct_cp_j_lookup_reference_review_readiness_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Execution-Result-Seed-Packet,text,result_seed,false,false,false,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,record-lookup-execution-result-evidence-before-acceptance,result seeds supply accepted lookup evidence
propeller_archive_ct_cp_j_lookup_reference_review_readiness_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Reference-Handoff-Packet,text,reference_handoff,false,false,false,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,review-accepted-ct-cp-j-results-before-reference-export,legacy reference handoff consumes reviewed acceptance material
propeller_archive_ct_cp_j_lookup_reference_review_readiness_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Reference-Table-Packet,text,reference_table,false,false,false,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,materialize-ct-cp-j-lookup-reference-table-after-review,reference table materializes only after review readiness
propeller_archive_ct_cp_j_lookup_reference_review_readiness_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Acceptance-Gate-Packet,text,acceptance_gate,false,false,false,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,feed-lookup-execution-results-into-acceptance-gate,acceptance gate supplies target completeness semantics
propeller_archive_ct_cp_j_lookup_reference_review_readiness_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Execution-Contract-Packet,text,execution_contract,false,false,false,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,fix-lookup-execution-result-before-acceptance,execution contract guards physical result rows
propeller_archive_ct_cp_j_lookup_reference_review_readiness_source,source,READY,caveat,reference-review-no-runtime-authority,text,runtime_boundary,false,false,false,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,review readiness never mutates runtime or gameplay tuning
propeller_archive_ct_cp_j_lookup_reference_review_readiness,current_result_seeds_unavailable_reference_blocked,BLOCKED,reference_review_ready,false,boolean,current_result_seeds_unavailable,false,false,false,false,false,9,12,12,0,0,9,0,9,true,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current state blocked before acceptance handoff
propeller_archive_ct_cp_j_lookup_reference_review_readiness,authorized_runs_pending_results_reference_blocked,BLOCKED,pending_seed_count,9,count,authorized_runs_pending_results,false,false,false,true,false,9,12,12,0,9,0,0,9,true,false,false,false,false,record-lookup-execution-result-evidence-before-acceptance,authorized runs still wait for lookup result evidence
propeller_archive_ct_cp_j_lookup_reference_review_readiness,acceptance_handoff_ready_reference_review_missing,BLOCKED,reference_material_export_allowed,false,boolean,synthetic_all_result_seeds_ready,true,false,true,true,true,9,12,12,9,0,0,9,0,true,false,false,false,false,review-accepted-ct-cp-j-results-before-reference-export,accepted lookup results still need compact reference review
propeller_archive_ct_cp_j_lookup_reference_review_readiness,acceptance_handoff_ready_reference_reviewed,REVIEW_READY,reference_material_export_allowed,true,boolean,synthetic_all_result_seeds_ready,true,true,true,true,true,9,12,12,9,0,0,9,0,true,true,true,false,false,materialize-ct-cp-j-lookup-reference-table-after-review,synthetic reviewed acceptance handoff opens reference material only
propeller_archive_ct_cp_j_lookup_reference_review_readiness_summary,all,BLOCKED,scenario_count,4,count,summary,false,false,false,false,false,9,12,12,0,0,9,0,9,true,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,four review readiness scenarios
propeller_archive_ct_cp_j_lookup_reference_review_readiness_summary,all,BLOCKED,review_ready_scenario_count,1,count,summary,false,false,false,false,false,9,12,12,0,0,9,0,9,true,false,false,false,false,materialize-ct-cp-j-lookup-reference-table-after-review,only synthetic reviewed scenario opens
propeller_archive_ct_cp_j_lookup_reference_review_readiness_summary,all,BLOCKED,blocked_scenario_count,3,count,summary,false,false,false,false,false,9,12,12,0,0,9,0,9,true,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current pending and review-missing scenarios are blocked
propeller_archive_ct_cp_j_lookup_reference_review_readiness_summary,all,BLOCKED,max_expected_reference_row_count,9,count,summary,false,false,false,false,false,9,12,12,0,0,9,0,9,true,false,false,false,false,verify-reference-row-count,nine CT CP J lookup reference rows
propeller_archive_ct_cp_j_lookup_reference_review_readiness_summary,all,BLOCKED,max_ready_seed_count,9,count,summary,false,false,false,false,false,9,12,12,0,0,9,0,9,true,false,false,false,false,review-accepted-ct-cp-j-results-before-reference-export,synthetic acceptance handoff has nine ready seeds
propeller_archive_ct_cp_j_lookup_reference_review_readiness_summary,all,BLOCKED,max_pending_seed_count,9,count,summary,false,false,false,false,false,9,12,12,0,0,9,0,9,true,false,false,false,false,record-lookup-execution-result-evidence-before-acceptance,pending result scenario carries nine pending seeds
propeller_archive_ct_cp_j_lookup_reference_review_readiness_summary,all,BLOCKED,max_unavailable_seed_count,9,count,summary,false,false,false,false,false,9,12,12,0,0,9,0,9,true,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current state carries nine unavailable seeds
propeller_archive_ct_cp_j_lookup_reference_review_readiness_summary,all,BLOCKED,max_accepted_lookup_target_count,9,count,summary,false,false,false,false,false,9,12,12,0,0,9,0,9,true,false,false,false,false,review-accepted-ct-cp-j-results-before-reference-export,synthetic acceptance handoff accepts all nine lookup targets
propeller_archive_ct_cp_j_lookup_reference_review_readiness_summary,all,BLOCKED,max_blocked_lookup_target_count,9,count,summary,false,false,false,false,false,9,12,12,0,0,9,0,9,true,false,false,false,false,record-lookup-execution-result-evidence-before-reference-review,current and pending states block nine targets
propeller_archive_ct_cp_j_lookup_reference_review_readiness_summary,all,BLOCKED,max_performance_reference_row_available_count,9,count,summary,false,false,false,false,false,9,12,12,0,0,9,0,9,true,false,false,false,false,materialize-ct-cp-j-lookup-reference-table-after-review,reviewed synthetic scenario exposes nine performance rows
propeller_archive_ct_cp_j_lookup_reference_review_readiness_summary,all,BLOCKED,max_full_simulation_reference_row_available_count,6,count,summary,false,false,false,false,false,9,12,12,0,0,9,0,9,true,false,false,false,false,materialize-ct-cp-j-lookup-reference-table-after-review,racingQuad and apDrone expose six full simulation rows
propeller_archive_ct_cp_j_lookup_reference_review_readiness_summary,all,BLOCKED,max_performance_only_reference_row_available_count,3,count,summary,false,false,false,false,false,9,12,12,0,0,9,0,9,true,false,false,false,false,materialize-ct-cp-j-lookup-reference-table-after-review,heavyLift remains performance-only until geometry is resolved
propeller_archive_ct_cp_j_lookup_reference_review_readiness_summary,all,BLOCKED,current_ready_seed_count,0,count,summary,false,false,false,false,false,9,12,12,0,0,9,0,9,true,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current state has zero ready seeds
propeller_archive_ct_cp_j_lookup_reference_review_readiness_summary,all,BLOCKED,current_accepted_lookup_target_count,0,count,summary,false,false,false,false,false,9,12,12,0,0,9,0,9,true,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current state has zero accepted targets
propeller_archive_ct_cp_j_lookup_reference_review_readiness_summary,all,BLOCKED,current_blocked_lookup_target_count,9,count,summary,false,false,false,false,false,9,12,12,0,0,9,0,9,true,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current state blocks all targets
propeller_archive_ct_cp_j_lookup_reference_review_readiness_summary,all,BLOCKED,reference_material_export_allowed_count,1,count,summary,false,false,false,false,false,9,12,12,0,0,9,0,9,true,false,false,false,false,materialize-ct-cp-j-lookup-reference-table-after-review,only synthetic reviewed scenario exports material
propeller_archive_ct_cp_j_lookup_reference_review_readiness_summary,all,BLOCKED,runtime_coupling_allowed_count,0,count,summary,false,false,false,false,false,9,12,12,0,0,9,0,9,true,false,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,no review scenario can mutate runtime physics
propeller_archive_ct_cp_j_lookup_reference_review_readiness_summary,all,BLOCKED,gameplay_auto_apply_allowed_count,0,count,summary,false,false,false,false,false,9,12,12,0,0,9,0,9,true,false,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,no review scenario can auto apply gameplay tuning
propeller_archive_ct_cp_j_lookup_reference_review_readiness_summary,all,BLOCKED,first_review_ready_scenario,acceptance_handoff_ready_reference_reviewed,text,summary,false,false,false,false,false,9,12,12,0,0,9,0,9,true,false,false,false,false,materialize-ct-cp-j-lookup-reference-table-after-review,first review-ready scenario
propeller_archive_ct_cp_j_lookup_reference_review_readiness_summary,all,BLOCKED,next_required_action,execute-clearance-evidence-ledger-before-reviewed-payload-output,text,summary,false,false,false,false,false,9,12,12,0,0,9,0,9,true,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current next action follows upstream result evidence blocker
propeller_archive_ct_cp_j_lookup_reference_review_readiness_method,reference_review_readiness_rule,READY,method,acceptance-handoff-plus-reference-review,text,method,false,false,false,false,false,0,0,0,0,0,0,0,0,false,false,false,false,false,record-lookup-execution-result-evidence-before-reference-review,require execution acceptance handoff before compact reference review can export material
