row_type,name,case_name,slot_id,status_or_ready,metric,value,unit,ct_coefficient,cp_coefficient,eta_at_slot,observed_payload_slot_count,reviewed_payload_slot_count,lookup_execution_input_slot_count,missing_payload_slot_count,failed_payload_slot_count,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,note
propeller_archive_ct_cp_j_lookup_reviewed_coefficient_payload_source,source_fingerprint,source,,READY,source_id,User-Propeller-Archive-Source-Fingerprint-Packet,text,,,,,,,,,false,false,review-source-license-before-importing-raw-rows,source identity and raw import boundary
propeller_archive_ct_cp_j_lookup_reviewed_coefficient_payload_source,lookup_seed,source,,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Seed-Packet,text,,,,,,,,,false,false,review-source-license-then-import-reviewed-ct-cp-j-rows-into-offline-lookup,seed provides payload domains
propeller_archive_ct_cp_j_lookup_reviewed_coefficient_payload_source,query_envelope,source,,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Query-Envelope-Packet,text,,,,,,,,,false,false,review-source-license-then-run-reviewed-lookup-query-envelope-with-real-ct-cp-j-rows,query envelope provides target cases
propeller_archive_ct_cp_j_lookup_reviewed_coefficient_payload_source,interpolation_policy,source,,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Interpolation-Policy-Packet,text,,,,,,,,,false,false,review-source-license-then-bind-reviewed-ct-cp-j-rows-to-interpolation-policy,policy provides neighbor counts
propeller_archive_ct_cp_j_lookup_reviewed_coefficient_payload_source,reviewed_grid_input,source,,BLOCKED,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Reviewed-Grid-Input-Packet,text,,,,,,,,,false,false,fill-reviewed-grid-input-slots-with-reviewed-ct-cp-payloads-before-lookup-run,grid slots must receive coefficient payloads
propeller_archive_ct_cp_j_lookup_reviewed_coefficient_payload_source,scattered_fit_execution_handoff,source,,BLOCKED,source_id,User-Propeller-Archive-CT-CP-J-Scattered-Surface-Fit-Execution-Handoff-Packet,text,,,,,,,,,false,false,complete-scattered-surface-fit-execution-handoff-before-lookup-run,handoff remains execution boundary
propeller_archive_ct_cp_j_lookup_reviewed_coefficient_payload_source,lookup_execution_contract,source,,BLOCKED,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Execution-Contract-Packet,text,,,,,,,,,false,false,feed-all-required-bracketing-neighbors,execution consumes reviewed payload rows later
propeller_archive_ct_cp_j_lookup_reviewed_coefficient_payload_source,lookup_acceptance_gate,source,,BLOCKED,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Acceptance-Gate-Packet,text,,,,,,,,,false,false,feed-accepted-lookup-execution-results-to-acceptance-gate,acceptance receives execution diagnostics
propeller_archive_ct_cp_j_lookup_reviewed_coefficient_payload_source,openfoam_validation_plan,source,,BLOCKED,source_id,User-Propeller-Archive-CT-CP-J-OpenFOAM-Validation-Plan-Packet,text,,,,,,,,,false,false,keep-cfd-validation-offline-until-lookup-reference-exists,OpenFOAM remains external validation
propeller_archive_ct_cp_j_lookup_reviewed_coefficient_payload_source,reviewed_coefficient_payload,source,,BLOCKED,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Reviewed-Coefficient-Payload-Packet,text,,,,,,,,,false,false,review-and-bind-ct-cp-coefficient-payloads-to-grid-slots-before-lookup-execution,this packet
propeller_archive_ct_cp_j_lookup_reviewed_coefficient_payload_field,preset_name,field,,READY,required,true,text,,,,,,,,,false,false,join-payload-to-preset,field required
propeller_archive_ct_cp_j_lookup_reviewed_coefficient_payload_field,case_name,field,,READY,required,true,text,,,,,,,,,false,false,join-payload-to-lookup-query-case,field required
propeller_archive_ct_cp_j_lookup_reviewed_coefficient_payload_field,slot_id,field,,READY,required,true,text,,,,,,,,,false,false,match-payload-to-required-slot,field required
propeller_archive_ct_cp_j_lookup_reviewed_coefficient_payload_field,source_archive_sha256,field,,READY,required,true,sha256,,,,,,,,,false,false,prove-archive-identity-before-payload-review,field required
propeller_archive_ct_cp_j_lookup_reviewed_coefficient_payload_field,performance_match_id,field,,READY,required,true,text,,,,,,,,,false,false,trace-payload-to-performance-source,field required
