row_type,name,metric,value,unit,source_file,evidence_role,current_satisfied,post_review_seed_allowed,post_review_full_simulation_allowed,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,status,note
propeller_archive_ct_cp_j_lookup_source,source_fingerprint,source_id,User-Propeller-Archive-Source-Fingerprint-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveSourceFingerprint.java,source_identity,true,true,true,false,false,compare-local-archive-hash-before-reviewed-import,READY,archive and entry hashes identify the external zip without vendoring raw rows
propeller_archive_ct_cp_j_lookup_source,dataset_triage,source_id,User-Propeller-Archive-Dataset-Triage-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveDatasetTriage.java,coverage_context,true,true,true,false,false,read-triage-packet,READY,preset performance domains and geometry blockers feed lookup readiness
propeller_archive_ct_cp_j_lookup_source,fit_import_contract,source_id,User-Propeller-Archive-Fit-Import-Contract-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveFitImportContract.java,reviewed_import_contract,false,true,true,false,false,review-source-license-before-importing-raw-rows,BLOCKED,current raw-row import is still blocked
propeller_archive_ct_cp_j_lookup_source,curve_fit_plan,source_id,User-Propeller-Archive-Curve-Fit-Plan-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCurveFitPlan.java,fit_plan,false,true,true,false,false,fit-ct-cp-j-re-and-blade-geometry-curves,PLANNED,lookup seed depends on accepted CT and CP curve fits
propeller_archive_ct_cp_j_lookup_source,compact_reference_handoff,source_id,User-Propeller-Archive-Compact-Reference-Handoff-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCompactReferenceHandoff.java,reference_handoff,false,false,true,false,false,review-compact-reference-before-playable-handoff,BLOCKED,playable-facing material remains closed until accepted and reviewed
propeller_archive_ct_cp_j_lookup_source,runtime_boundary,source_id,DronePhysics runtime boundary,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,leak_guard,true,true,true,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,READY,no CT/CP/J lookup values drive runtime physics
propeller_archive_ct_cp_j_lookup_source,playable_boundary,source_id,playable reference boundary,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,playable_guard,true,false,true,false,false,review-compact-reference-before-playable-handoff,BLOCKED,playable may consume only reviewed compact reference output
propeller_archive_ct_cp_j_lookup_field,preset_name,unit,text,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,lookup_payload_schema,true,true,true,false,false,join-lookup-seed-to-preset-reference-rows,READY,DroneConfig preset key
propeller_archive_ct_cp_j_lookup_field,source_archive_sha256,unit,sha256,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,lookup_payload_schema,true,true,true,false,false,prove-source-identity,READY,external archive hash from source fingerprint
propeller_archive_ct_cp_j_lookup_field,performance_match_id,unit,text,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,lookup_payload_schema,true,true,true,false,false,trace-ct-cp-j-curve-provenance,READY,reviewed propeller performance source
propeller_archive_ct_cp_j_lookup_field,geometry_match_id,unit,text,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,lookup_payload_schema,true,true,true,false,false,trace-full-simulation-lookup-coverage,READY,reviewed geometry source or visible blocker
propeller_archive_ct_cp_j_lookup_field,advance_ratio_grid,unit,J,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupSeed.java,lookup_payload_schema,false,true,true,false,false,bound-ct-cp-lookup-domain,PLANNED,reviewed rows provide the J domain
