row_type,scenario_name,status,metric,value,unit,lookup_reference_review_scenario,openfoam_dimensional_handoff_scenario,lookup_reference_review_ready,lookup_reference_material_export_allowed,openfoam_dimensional_handoff_ready,openfoam_dimensional_support_ready,openfoam_solver_quality_contract_ready,openfoam_coefficient_lookup_shape_guard_ready,lookup_performance_reference_row_available_count,lookup_full_simulation_reference_row_available_count,expected_openfoam_reference_row_count,openfoam_reference_row_available_count,blocked_openfoam_reference_row_count,openfoam_solver_quality_blocker_count,reference_materialization_ready,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,note
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization_source,lookup_reference_review_readiness_gate,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Reference-Review-Readiness-Gate-Packet,text,n/a,n/a,false,false,false,false,false,false,0,0,6,0,6,0,false,false,false,complete-ct-cp-j-lookup-reference-review-before-openfoam-materialization,lookup review readiness supplies the CT/CP/J reference export guard
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization_source,lookup_reference_table,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Reference-Table-Packet,text,n/a,n/a,false,false,false,false,false,false,0,0,6,0,6,0,false,false,false,complete-ct-cp-j-lookup-reference-table-before-openfoam-materialization,accepted lookup rows define the upstream CT/CP/J reference material
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization_source,openfoam_dimensional_reference_handoff,READY,source_id,User-Propeller-Archive-CT-CP-J-OpenFOAM-Dimensional-Reference-Handoff-Packet,text,n/a,n/a,false,false,false,false,false,false,0,0,6,0,6,4,false,false,false,complete-openfoam-dimensional-reference-handoff,OpenFOAM SI reference handoff supplies the downstream CFD payload shape
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization_source,openfoam_dimensional_reference_table,READY,source_id,User-Propeller-Archive-CT-CP-J-OpenFOAM-Dimensional-Reference-Table-Packet,text,n/a,n/a,false,false,false,false,false,false,0,0,6,0,6,4,false,false,false,materialize-openfoam-dimensional-reference-table-after-review,this gate prevents table weights from opening from OpenFOAM evidence alone
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization_source,openfoam_dimensional_support_gate,READY,source_id,User-Propeller-Archive-CT-CP-J-OpenFOAM-Dimensional-Support-Gate-Packet,text,n/a,n/a,false,false,false,false,false,false,0,0,6,0,6,4,false,false,false,complete-openfoam-dimensional-support-gate,dimensional support remains a required OpenFOAM prerequisite
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization_source,openfoam_solver_quality_contract,READY,source_id,User-Propeller-Archive-CT-CP-J-OpenFOAM-Solver-Quality-Contract-Packet,text,n/a,n/a,false,false,false,false,false,false,0,0,6,0,6,4,false,false,false,review-openfoam-mesh-yplus-and-time-step-against-run-setup,solver quality blockers remain visible before materialization
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization_source,source_fingerprint,READY,source_id,User-Propeller-Archive-Source-Fingerprint-Packet,text,n/a,n/a,false,false,false,false,false,false,0,0,6,0,6,0,false,false,false,review-source-license-before-importing-raw-rows,source identity remains separate from raw row vendoring
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization_source,runtime_boundary,READY,source_id,DronePhysics runtime boundary,text,n/a,n/a,false,false,false,false,false,false,0,0,6,0,6,0,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,materialization never grants runtime or gameplay authority
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization,current_lookup_and_openfoam_blocked,BLOCKED,reference_materialization_ready,false,boolean,current_result_seeds_unavailable_reference_blocked,current_dimensional_support_blocked,false,false,false,false,false,false,0,0,6,0,6,4,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,lookup reference review blocks before OpenFOAM material can export
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization,lookup_reference_pending_results,BLOCKED,reference_materialization_ready,false,boolean,authorized_runs_pending_results_reference_blocked,current_dimensional_support_blocked,false,false,false,false,false,false,0,0,6,0,6,4,false,false,false,record-lookup-execution-result-evidence-before-acceptance,authorized lookup runs still need result evidence
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization,openfoam_ready_lookup_reference_review_missing,BLOCKED,lookup_reference_material_export_allowed,false,boolean,acceptance_handoff_ready_reference_review_missing,dimensional_support_ready_reference_reviewed,false,false,true,true,true,true,0,0,6,0,6,0,false,false,false,review-accepted-ct-cp-j-results-before-reference-export,OpenFOAM handoff cannot bypass CT/CP/J reference review
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization,lookup_reference_ready_openfoam_review_missing,BLOCKED,openfoam_dimensional_handoff_ready,false,boolean,acceptance_handoff_ready_reference_reviewed,dimensional_support_ready_reference_review_missing,true,true,false,true,true,true,9,6,6,0,6,0,false,false,false,review-openfoam-dimensional-reference-before-materialization,lookup reference readiness cannot bypass OpenFOAM dimensional review
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization,lookup_reference_and_openfoam_ready,MATERIALIZATION_READY,openfoam_reference_row_available_count,6,count,acceptance_handoff_ready_reference_reviewed,dimensional_support_ready_reference_reviewed,true,true,true,true,true,true,9,6,6,6,0,0,true,false,false,materialize-openfoam-dimensional-reference-table-after-review,both reviewed reference chains are ready for SI CFD table materialization
propeller_archive_ct_cp_j_openfoam_dimensional_reference_materialization_summary,all,BLOCKED,scenario_count,5,count,n/a,n/a,false,false,false,false,false,false,0,0,6,0,6,4,false,false,false,complete-ct-cp-j-lookup-reference-review-before-openfoam-materialization,five materialization combinations are audited
