row_type,name,metric,value,unit,source_file,evidence_role,required,current_satisfied,post_review_satisfied,case_setup_ready,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,status,note
propeller_archive_ct_cp_j_openfoam_run_setup_source,openfoam_case_manifest,source_id,User-Propeller-Archive-CT-CP-J-OpenFOAM-Case-Manifest-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamCaseManifest.java,case_manifest,true,true,true,false,false,false,author-external-openfoam-case-template-and-record-case-sha256,READY,manifest supplies the six geometry-backed external case rows
propeller_archive_ct_cp_j_openfoam_run_setup_source,openfoam_validation_plan,source_id,User-Propeller-Archive-CT-CP-J-OpenFOAM-Validation-Plan-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamValidationPlan.java,validation_plan,true,true,true,false,false,false,run-external-openfoam-validation-after-reviewed-ct-cp-j-import,READY,validation plan supplies solver family and target run points
propeller_archive_ct_cp_j_openfoam_run_setup_source,drone_config_rotor_geometry,source_id,DroneConfig,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,rotor_geometry,true,true,true,false,false,false,review-config-geometry-before-openfoam-case-export,READY,run setup uses current preset rotor radius pitch and blade count as geometry reference
propeller_archive_ct_cp_j_openfoam_run_setup_source,rotor_spec_section_geometry,source_id,RotorSpec,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/RotorSpec.java,blade_section_geometry,true,true,true,false,false,false,review-config-geometry-before-openfoam-case-export,READY,RotorSpec supplies representative chord and 0.7R beta reference
propeller_archive_ct_cp_j_openfoam_run_setup_source,standard_air_density,density,1.225,kg/m^3,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJDimensionalRotorResponse.java,air_reference,true,true,true,false,false,false,keep-air-reference-visible-in-openfoam-results,READY,standard density matches CT CP J dimensional response reference
propeller_archive_ct_cp_j_openfoam_run_setup_source,standard_speed_of_sound,temperature,15.0,C,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneEnvironment.java,air_reference,true,true,true,false,false,false,keep-air-reference-visible-in-openfoam-results,READY,speed of sound is computed from the explicit 15C standard atmosphere reference
propeller_archive_ct_cp_j_openfoam_run_setup_source,reference_dynamic_viscosity,dynamic_viscosity,1.837E-5,Pa*s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneReynoldsBudgetGate.java,reynolds_reference,true,true,true,false,false,false,review-openfoam-mesh-yplus-and-time-step-against-run-setup,READY,dynamic viscosity matches existing Reynolds budget reference
propeller_archive_ct_cp_j_openfoam_run_setup_source,runtime_boundary,source_id,DronePhysics runtime boundary,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,leak_guard,true,true,true,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,READY,run setup cannot alter runtime physics or playable tuning
propeller_archive_ct_cp_j_openfoam_run_setup_source,openfoam_reference_materialization_gate,source_id,User-Propeller-Archive-CT-CP-J-OpenFOAM-Dimensional-Reference-Materialization-Gate-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamDimensionalReferenceMaterializationGate.java,reference_materialization_gate,true,false,true,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,BLOCKED,run setup rows remain pre-authoring evidence until reviewed lookup and OpenFOAM dimensional reference materialization opens
propeller_archive_ct_cp_j_openfoam_run_setup_rule,case_manifest_required,requirement,derive setup rows only from geometry-backed OpenFOAM manifest cases,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,setup_rule,true,true,true,false,false,false,keep-openfoam-case-manifest-current,READY,manifest filtering is already in place
