row_type,name,case_or_metric,status,metric,value,unit,performance_match_id,fit_input_window_kind,query_advance_ratio_j,query_rpm,archive_sample_row_count,archive_static_sample_row_count,archive_nonstatic_sample_row_count,archive_distinct_rpm_bin_count,minimum_performance_neighbor_rows,available_rectangular_neighbor_rows,available_nonstatic_neighbor_rows,direct_static_anchor_binding,scattered_surface_fit_required,archive_curve_shape_guard_passed,negative_thrust_tail_row_count,archive_max_eta_formula_residual,archive_max_ct_increase,post_review_full_simulation_lookup_allowed,source_rows_reviewed,fit_input_window_ready,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,note
propeller_archive_ct_cp_j_scattered_fit_input_window_source,source_fingerprint,source,READY,source_id,User-Propeller-Archive-Source-Fingerprint-Packet,text,archive.zip,,,,,,,,,,,false,false,false,0,0.0,0.0,false,false,false,false,false,review-source-license-before-fit-input-window,archive identity is captured before any input window can be reviewed
propeller_archive_ct_cp_j_scattered_fit_input_window_source,archive_lookup_grid_coverage,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Archive-Lookup-Grid-Coverage-Packet,text,archive-grid-coverage,,,,,,,,,,,false,false,false,0,0.0,0.0,false,false,false,false,false,fit-scattered-ct-cp-j-surface-before-direct-lookup-binding,sparse rpm-track topology defines rectangular neighbor gaps
propeller_archive_ct_cp_j_scattered_fit_input_window_source,archive_curve_shape_review,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Archive-Curve-Shape-Review-Packet,text,archive-curve-shape-review,,,,,,,,,,,false,false,false,0,0.0,0.0,false,false,false,false,false,review-source-license-then-fit-positive-thrust-ct-cp-j-surfaces,shape guard evidence travels into every input window
propeller_archive_ct_cp_j_scattered_fit_input_window_source,lookup_query_envelope,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Query-Envelope-Packet,text,query-envelope,,,,,,,,,,,false,false,false,0,0.0,0.0,false,false,false,false,false,review-source-license-then-run-reviewed-lookup-query-envelope-with-real-ct-cp-j-rows,query coordinates define each fit input window
propeller_archive_ct_cp_j_scattered_fit_input_window_source,scattered_surface_fit_contract,source,BLOCKED,source_id,User-Propeller-Archive-CT-CP-J-Scattered-Surface-Fit-Contract-Packet,text,fit-contract,,,,,,,,,,,false,false,false,0,0.0,0.0,false,false,false,false,false,fit-reviewed-scattered-ct-cp-j-surface,contract consumes these windows after review
propeller_archive_ct_cp_j_scattered_fit_input_window_source,raw_row_boundary,source,BLOCKED,raw_rows_vendored_count,0,count,user_supplied_archive_zip,,,,,,,,,,,false,false,false,0,0.0,0.0,false,false,false,false,false,review-source-license-before-fit-input-window,raw wind-tunnel rows stay outside the repository
propeller_archive_ct_cp_j_scattered_fit_input_window_source,runtime_boundary,source,READY,runtime_coupling_allowed,false,boolean,DronePhysics,,,,,,,,,,,false,false,false,0,0.0,0.0,false,false,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,input windows cannot mutate physics or gameplay
propeller_archive_ct_cp_j_scattered_fit_input_window,racingQuad,static_anchor_low_rpm,BLOCKED,fit_input_window_kind,DIRECT_STATIC_ANCHOR,text,da4052 5.0x3.75 - 3,DIRECT_STATIC_ANCHOR,0.0,1477.8,63,14,49,18,1,2,0,true,false,true,5,0.00027500814692071884,0.000071,true,false,false,false,false,review-source-license-before-fit-input-window,source review blocks static anchor input window
propeller_archive_ct_cp_j_scattered_fit_input_window,racingQuad,mid_domain_mid_rpm,BLOCKED,fit_input_window_kind,SCATTERED_SURFACE_FIT,text,da4052 5.0x3.75 - 3,SCATTERED_SURFACE_FIT,0.4064,4712.25,63,14,49,18,4,2,0,false,true,true,5,0.00027500814692071884,0.000071,true,false,false,false,false,review-source-license-before-fit-input-window,source review blocks scattered fit input window
propeller_archive_ct_cp_j_scattered_fit_input_window,racingQuad,high_domain_max_rpm,BLOCKED,fit_input_window_kind,SCATTERED_SURFACE_FIT,text,da4052 5.0x3.75 - 3,SCATTERED_SURFACE_FIT,0.73152,7946.7,63,14,49,18,2,1,0,false,true,true,5,0.00027500814692071884,0.000071,true,false,false,false,false,review-source-license-before-fit-input-window,source review blocks high-domain scattered fit input window
propeller_archive_ct_cp_j_scattered_fit_input_window,apDrone,static_anchor_low_rpm,BLOCKED,fit_input_window_kind,DIRECT_STATIC_ANCHOR,text,da4052 5.0x3.75 - 3,DIRECT_STATIC_ANCHOR,0.0,1477.8,63,14,49,18,1,2,0,true,false,true,5,0.00027500814692071884,0.000071,true,false,false,false,false,review-source-license-before-fit-input-window,source review blocks static anchor input window
propeller_archive_ct_cp_j_scattered_fit_input_window,apDrone,mid_domain_mid_rpm,BLOCKED,fit_input_window_kind,SCATTERED_SURFACE_FIT,text,da4052 5.0x3.75 - 3,SCATTERED_SURFACE_FIT,0.4064,4712.25,63,14,49,18,4,2,0,false,true,true,5,0.00027500814692071884,0.000071,true,false,false,false,false,review-source-license-before-fit-input-window,source review blocks scattered fit input window
