row_type,name,metric,value,unit,source_file,evidence_role,status,note
propeller_archive_rotor_spec_config_delta_source,source_fingerprint,source_description,PropellerArchiveSourceFingerprint identifies the external archive and entry hashes before reviewed import.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveSourceFingerprint.java,source_identity,READY,raw rows remain outside repository
propeller_archive_rotor_spec_config_delta_source,rotor_spec_bridge,source_description,PropellerArchiveRotorSpecFitBridge supplies candidate RotorSpec units from compact propeller references.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,candidate_bridge,BLOCKED,current bridge rows are blocked
propeller_archive_rotor_spec_config_delta_source,config_delta_report,source_description,PropellerArchiveRotorSpecConfigDeltaReport compares current DroneConfig values with bridge candidates.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecConfigDeltaReport.java,delta_report,BLOCKED,current rows remain review material
propeller_archive_rotor_spec_config_delta_source,drone_config,source_description,DroneConfig supplies current preset rotor parameters for comparison only.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,current_config,READY,no config mutation is emitted
propeller_archive_rotor_spec_config_delta_source,rotor_spec,source_description,RotorSpec supplies representative chord and beta formulas for current configured rotors.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/RotorSpec.java,current_rotor_geometry,READY,first rotor represents symmetric presets
propeller_archive_rotor_spec_config_delta_source,runtime_boundary,source_description,Config delta report never enables runtime coupling or automatic gameplay application.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecConfigDeltaReport.java,leak_guard,READY,reference rows require full fit readiness
propeller_archive_rotor_spec_config_delta,racingQuad,preset_name,racingQuad,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecConfigDeltaReport.java,current_config_delta,BLOCKED,target preset key
propeller_archive_rotor_spec_config_delta,racingQuad,current_rotor_count,4,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecConfigDeltaReport.java,current_config_delta,BLOCKED,current DroneConfig rotor count
propeller_archive_rotor_spec_config_delta,racingQuad,bridge_full_rotor_spec_fit_ready,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecConfigDeltaReport.java,current_config_delta,BLOCKED,current bridge row readiness
propeller_archive_rotor_spec_config_delta,racingQuad,current_radius_meters,0.0635,m,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecConfigDeltaReport.java,current_config_delta,BLOCKED,current DroneConfig rotor radius
