row_type,name,metric,value,unit,source_file,evidence_role,status,note
propeller_archive_rotor_spec_fit_bridge_source,source_fingerprint,source_description,PropellerArchiveSourceFingerprint identifies the external archive and entry hashes before reviewed import.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveSourceFingerprint.java,source_identity,READY,raw rows remain outside repository
propeller_archive_rotor_spec_fit_bridge_source,compact_reference_table,source_description,PropellerArchiveCompactReferenceTable supplies blocked or reviewed compact propeller reference rows.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCompactReferenceTable.java,compact_reference_context,BLOCKED,current table remains export disabled
propeller_archive_rotor_spec_fit_bridge_source,rotor_spec_bridge,source_description,PropellerArchiveRotorSpecFitBridge converts compact rows into RotorSpec candidate units.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,rotor_spec_candidate_bridge,BLOCKED,current rows remain audit only
propeller_archive_rotor_spec_fit_bridge_source,rotor_spec_target,source_description,RotorSpec consumes radius pitch thrust coefficient yaw torque chord beta and blade count units.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/RotorSpec.java,sim_model_contract,READY,candidate values are reference only
propeller_archive_rotor_spec_fit_bridge_source,drone_config_target,source_description,DroneConfig remains unchanged until reviewed full fit gates open and a separate patch is approved.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,config_patch_guard,BLOCKED,no automatic config patch
propeller_archive_rotor_spec_fit_bridge_source,runtime_boundary,source_description,RotorSpec fit bridge never enables runtime coupling or gameplay auto apply.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,leak_guard,READY,playable receives references only
propeller_archive_rotor_spec_fit_bridge,racingQuad,preset_name,racingQuad,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,target preset key
propeller_archive_rotor_spec_fit_bridge,racingQuad,performance_match_id,da4052 5.0x3.75 - 3,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,candidate performance source
propeller_archive_rotor_spec_fit_bridge,racingQuad,geometry_match_id,da4052 5.0x3.75,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,candidate geometry source
propeller_archive_rotor_spec_fit_bridge,racingQuad,target_diameter_meters,0.127,m,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,converted target diameter
propeller_archive_rotor_spec_fit_bridge,racingQuad,target_radius_meters,0.0635,m,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,RotorSpec radius candidate
propeller_archive_rotor_spec_fit_bridge,racingQuad,target_pitch_meters,0.10795,m,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,RotorSpec pitch candidate
propeller_archive_rotor_spec_fit_bridge,racingQuad,blade_count_candidate,3,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,RotorSpec blade count candidate
propeller_archive_rotor_spec_fit_bridge,racingQuad,static_ct_anchor,0.148290142857143,coefficient,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,static CT anchor candidate
propeller_archive_rotor_spec_fit_bridge,racingQuad,static_cp_anchor,0.103175285714286,coefficient,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,static CP anchor candidate
propeller_archive_rotor_spec_fit_bridge,racingQuad,thrust_coefficient_candidate,1.1970258229679278E-6,N_per_rad2,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,CT*rho*D^4/(4*pi^2)
propeller_archive_rotor_spec_fit_bridge,racingQuad,yaw_torque_per_thrust_candidate_m,0.014063300257624938,m,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,(CP/CT)*D/(2*pi)
propeller_archive_rotor_spec_fit_bridge,racingQuad,chord_to_radius_candidate,0.2068,ratio,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,0.7R geometry candidate
propeller_archive_rotor_spec_fit_bridge,racingQuad,beta_radians_candidate,0.36498325317705416,rad,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,0.7R twist candidate
propeller_archive_rotor_spec_fit_bridge,racingQuad,performance_reference_available,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,current handoff keeps performance inactive
propeller_archive_rotor_spec_fit_bridge,racingQuad,geometry_reference_available,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,current handoff keeps geometry inactive
propeller_archive_rotor_spec_fit_bridge,racingQuad,full_rotor_spec_fit_ready,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,current fit cannot patch RotorSpec
propeller_archive_rotor_spec_fit_bridge,racingQuad,rotor_spec_patch_allowed,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,DroneConfig patch guard closed
propeller_archive_rotor_spec_fit_bridge,racingQuad,runtime_coupling_allowed,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,runtime coupling remains closed
propeller_archive_rotor_spec_fit_bridge,racingQuad,gameplay_auto_apply_allowed,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,gameplay auto apply remains closed
propeller_archive_rotor_spec_fit_bridge,racingQuad,status,BLOCKED,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,current row remains blocked
propeller_archive_rotor_spec_fit_bridge,racingQuad,message,reference-table-handoff-blocked,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,current handoff is closed
propeller_archive_rotor_spec_fit_bridge,racingQuad,source_runtime_info,audit-only-prop-archive-reference-handoff,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,audit only source
propeller_archive_rotor_spec_fit_bridge,apDrone,preset_name,apDrone,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,target preset key
propeller_archive_rotor_spec_fit_bridge,apDrone,performance_match_id,apce 5.1x4.5 - 3,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,candidate performance source
propeller_archive_rotor_spec_fit_bridge,apDrone,geometry_match_id,apce 5.1x4.5,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,candidate geometry source
propeller_archive_rotor_spec_fit_bridge,apDrone,target_diameter_meters,0.12954,m,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,converted target diameter
propeller_archive_rotor_spec_fit_bridge,apDrone,target_radius_meters,0.06477,m,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,RotorSpec radius candidate
propeller_archive_rotor_spec_fit_bridge,apDrone,target_pitch_meters,0.1143,m,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,RotorSpec pitch candidate
propeller_archive_rotor_spec_fit_bridge,apDrone,blade_count_candidate,3,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,RotorSpec blade count candidate
propeller_archive_rotor_spec_fit_bridge,apDrone,static_ct_anchor,0.1397952,coefficient,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,static CT anchor candidate
propeller_archive_rotor_spec_fit_bridge,apDrone,static_cp_anchor,0.097863,coefficient,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,static CP anchor candidate
propeller_archive_rotor_spec_fit_bridge,apDrone,thrust_coefficient_candidate,1.2956992471309511E-6,N_per_rad2,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,CT*rho*D^4/(4*pi^2)
propeller_archive_rotor_spec_fit_bridge,apDrone,yaw_torque_per_thrust_candidate_m,0.014344566262777437,m,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,(CP/CT)*D/(2*pi)
propeller_archive_rotor_spec_fit_bridge,apDrone,chord_to_radius_candidate,0.1996,ratio,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,0.7R geometry candidate
propeller_archive_rotor_spec_fit_bridge,apDrone,beta_radians_candidate,0.36498325317705416,rad,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,0.7R twist candidate
propeller_archive_rotor_spec_fit_bridge,apDrone,performance_reference_available,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,current handoff keeps performance inactive
propeller_archive_rotor_spec_fit_bridge,apDrone,geometry_reference_available,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,current handoff keeps geometry inactive
propeller_archive_rotor_spec_fit_bridge,apDrone,full_rotor_spec_fit_ready,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,current fit cannot patch RotorSpec
propeller_archive_rotor_spec_fit_bridge,apDrone,rotor_spec_patch_allowed,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,DroneConfig patch guard closed
propeller_archive_rotor_spec_fit_bridge,apDrone,runtime_coupling_allowed,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,runtime coupling remains closed
propeller_archive_rotor_spec_fit_bridge,apDrone,gameplay_auto_apply_allowed,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,gameplay auto apply remains closed
propeller_archive_rotor_spec_fit_bridge,apDrone,status,BLOCKED,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,current row remains blocked
propeller_archive_rotor_spec_fit_bridge,apDrone,message,reference-table-handoff-blocked,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,current handoff is closed
propeller_archive_rotor_spec_fit_bridge,apDrone,source_runtime_info,audit-only-prop-archive-reference-handoff,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,audit only source
propeller_archive_rotor_spec_fit_bridge,cinewhoop,preset_name,cinewhoop,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,target preset key
propeller_archive_rotor_spec_fit_bridge,cinewhoop,performance_match_id,grcp 2.9921x2.54 - 3,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,candidate performance source
propeller_archive_rotor_spec_fit_bridge,cinewhoop,geometry_match_id,grcp 2.9921x2.54,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,candidate geometry source
propeller_archive_rotor_spec_fit_bridge,cinewhoop,target_diameter_meters,0.07599934,m,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,converted target diameter
propeller_archive_rotor_spec_fit_bridge,cinewhoop,target_radius_meters,0.03799967,m,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,RotorSpec radius candidate
propeller_archive_rotor_spec_fit_bridge,cinewhoop,target_pitch_meters,0.06459981999999999,m,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,RotorSpec pitch candidate
propeller_archive_rotor_spec_fit_bridge,cinewhoop,blade_count_candidate,3,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,RotorSpec blade count candidate
propeller_archive_rotor_spec_fit_bridge,cinewhoop,static_ct_anchor,0.192041923076923,coefficient,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,static CT anchor candidate
propeller_archive_rotor_spec_fit_bridge,cinewhoop,static_cp_anchor,0.143113769230769,coefficient,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,static CP anchor candidate
propeller_archive_rotor_spec_fit_bridge,cinewhoop,thrust_coefficient_candidate,1.9879784913392918E-7,N_per_rad2,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,CT*rho*D^4/(4*pi^2)
propeller_archive_rotor_spec_fit_bridge,cinewhoop,yaw_torque_per_thrust_candidate_m,0.0090082900024336,m,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,(CP/CT)*D/(2*pi)
propeller_archive_rotor_spec_fit_bridge,cinewhoop,chord_to_radius_candidate,0.2599,ratio,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,0.7R geometry candidate
propeller_archive_rotor_spec_fit_bridge,cinewhoop,beta_radians_candidate,0.43720497762457955,rad,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,0.7R twist candidate
propeller_archive_rotor_spec_fit_bridge,cinewhoop,performance_reference_available,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,current handoff keeps performance inactive
propeller_archive_rotor_spec_fit_bridge,cinewhoop,geometry_reference_available,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,current handoff keeps geometry inactive
propeller_archive_rotor_spec_fit_bridge,cinewhoop,full_rotor_spec_fit_ready,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,current fit cannot patch RotorSpec
propeller_archive_rotor_spec_fit_bridge,cinewhoop,rotor_spec_patch_allowed,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,DroneConfig patch guard closed
propeller_archive_rotor_spec_fit_bridge,cinewhoop,runtime_coupling_allowed,false,boolean,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecFitBridge.java,current_rotor_spec_bridge,BLOCKED,runtime coupling remains closed
