row_type,scenario,preset_or_metric,ambient_or_value,post_derate_physical_budget_accepted_or_unit,manual_derate_review_ready,rotor_spec_max_omega_rad_per_sec,rotor_spec_max_rpm,target_max_rpm_scale,contracted_max_omega_rad_per_sec,contracted_max_rpm,required_max_rpm_derate_percent,equivalent_max_thrust_scale,equivalent_max_thrust_loss_percent,target_max_tip_mach,control_boundary,control_layer_clamp_required,rotor_spec_patch_allowed,drone_config_patch_allowed,runtime_implementation_ready,runtime_coupling_allowed,playable_reference_allowed,gameplay_auto_apply_allowed,status,message,source_file,evidence_role,note
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_source,source_fingerprint,source_description,PropellerArchiveSourceFingerprint,text,,,,,,,,,,,,,,,,,,,READY,archive identity checked before control-contract review,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveSourceFingerprint.java,source_identity,raw rows remain outside repository
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_source,dataset_triage,source_description,PropellerArchiveDatasetTriage,text,,,,,,,,,,,,,,,,,,,READY,CT CP eta and blade geometry dataset is useful after source review,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveDatasetTriage.java,dataset_triage,dataset stays non-vendored
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_source,derate_validation_acceptance_gate,source_description,DerateValidationAcceptanceGate,text,,,,,,,,,,,,,,,,,,,READY,accepted cold-air validation rows required,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateValidationAcceptanceGate.java,validation_acceptance,synthetic acceptance remains offline
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_source,derate_physical_budget,source_description,DeratePhysicalBudgetAcceptanceGate,text,,,,,,,,,,,,,,,,,,,READY,post-derate physical budget feeds target max-RPM scale,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,physical_budget,accepted budget rows only
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_source,drone_config,source_description,DroneConfig RotorSpec,text,,,,,,,,,,,,,,,,,,,READY,baseline max omega and max RPM are read without mutation,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,rotor_baseline,configuration patch remains closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_source,runtime_boundary,source_description,DronePhysics targetOmega,text,,,,,,,,,,,,,,,,,,,BLOCKED,runtime hook is named but not implemented,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,control_boundary,no runtime coupling or playable export
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract,synthetic_derate_validation_all_pass,racingQuad,cold_sea_level_minus10c,true,true,3051.2857662936467,29137.63274949454,0.9715982698017723,2964.6239712016823,28310.07356552835,2.840173019822779,0.9440031978817975,5.599680211820246,0.6371344703535363,DronePhysics.targetOmega=maxOmega*targetMaxRpmScale-before-motor-response,true,false,false,false,false,false,false,REVIEW_READY,control-contract-ready-runtime-hook-not-enabled,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,contract_row,racingQuad cold-air derate maps to control-layer target max omega only
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,true,true,3114.320044588864,29739.56576798938,0.9910302351978083,3086.385326270149,29472.808857731186,0.8969764802191723,0.9821409270762232,1.7859072923776753,0.6371344703535363,DronePhysics.targetOmega=maxOmega*targetMaxRpmScale-before-motor-response,true,false,false,false,false,false,false,REVIEW_READY,control-contract-ready-runtime-hook-not-enabled,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,contract_row,apDrone cold-air derate maps to control-layer target max omega only
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,current_derate_validation_blocked,post_derate_physical_budget_accepted,false,boolean,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,current_scenario,no accepted physical budget
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,current_derate_validation_blocked,derate_control_contract_available,false,boolean,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,current_scenario,contract unavailable
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,current_derate_validation_blocked,contract_row_count,0,count,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,current_scenario,no contract rows
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,current_derate_validation_blocked,control_layer_clamp_required_count,0,count,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,current_scenario,no clamp rows
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,current_derate_validation_blocked,runtime_implementation_ready_count,0,count,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,current_scenario,runtime hook closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,current_derate_validation_blocked,max_required_max_rpm_derate_percent,0.0,percent,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,current_scenario,no derate
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,current_derate_validation_blocked,min_target_max_rpm_scale,0.0,ratio,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,current_scenario,no scale
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,current_derate_validation_blocked,max_equivalent_max_thrust_loss_percent,0.0,percent,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,current_scenario,no thrust loss
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,current_derate_validation_blocked,min_contracted_max_rpm,0.0,rpm,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,current_scenario,no contracted rpm
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_contract_scenario,current_derate_validation_blocked,max_contracted_max_rpm,0.0,rpm,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,current_scenario,no contracted rpm
