row_type,scenario,metric,value,unit,source_file,evidence_role,status,note
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_source,source_fingerprint,source_description,PropellerArchiveSourceFingerprint identifies archive identity before reviewed import.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveSourceFingerprint.java,source_identity,READY,raw rows remain outside repository
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_source,blackbox_regression_matrix,source_description,ControlHookBlackboxRegressionMatrix supplies planned target-omega regression rows.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxRegressionMatrix.java,regression_plan,READY,current hook rows pass for manual review
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_source,control_hook_readiness,source_description,ControlHookReadinessGate controls whether regression rows may be planned.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookReadinessGate.java,readiness_gate,READY,current hook readiness is open for offline validation
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_source,blackbox_result_review,source_description,BlackboxResultReview supplies current explicit DronePhysics result rows.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxResultReview.java,blackbox_result,READY,current blackbox result rows pass
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_source,control_contract,source_description,DerateControlContract supplies accepted racingQuad and apDrone target scales.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,control_contract,READY,accepted contract remains non-runtime
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_source,drone_physics,source_description,DronePhysics has a neutral target-omega derate hook; candidate scales remain disabled until manual review.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,runtime_boundary,READY,neutral default keeps presets unchanged
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_source,runtime_leak_guard,source_description,Blackbox acceptance never enables runtime coupling playable export or gameplay auto apply.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,leak_guard,READY,passing results open manual hook review only
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,current_control_hook_blackbox_blocked,planned_regression_run_count,8,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,current_acceptance,READY,current rows planned
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,current_control_hook_blackbox_blocked,observed_result_count,8,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,current_acceptance,READY,current blackbox result rows supplied
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_acceptance_scenario,current_control_hook_blackbox_blocked,missing_result_count,0,count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxAcceptanceGate.java,current_acceptance,READY,no planned rows missing
