row_type,scenario,preset,ambient_case,regression_case,flight_phase,target_metric,metric,value,unit,sample_count,min_sample_count,dt_seconds,target_max_rpm_scale,contracted_max_rpm,primary_error_ratio,secondary_error_ratio,max_allowed_primary_error_ratio,max_allowed_secondary_error_ratio,physical_constraint_violation_count,max_target_scale_error_ratio,max_target_omega_overshoot_ratio,max_esc_electrical_output_delta,max_motor_omega_above_neutral_ratio,max_tip_mach_margin_violation_ratio,max_thrust_loss_over_contract_ratio,max_target_omega_after_release_ratio,max_motor_omega_overspeed_ratio,failsafe_activated,processed_disarmed,blackbox_regression_passed,runtime_coupling_allowed,playable_reference_allowed,gameplay_auto_apply_allowed,status,message,source_file,evidence_role,note
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_result_source,source_fingerprint,,,,,source_description,source_reference,PropellerArchiveSourceFingerprint,text,,,,,,,,,,,,,,,,,,,,,,,,,READY,archive identity checked before reviewed import,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveSourceFingerprint.java,source_identity,raw rows remain outside repository
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_result_source,control_contract,,,,,source_description,source_reference,DerateControlContract,text,,,,,,,,,,,,,,,,,,,,,,,,,READY,accepted racingQuad and apDrone target max-RPM scale rows feed this result review,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,control_contract,current result review uses accepted cold sea-level minus10C contract rows
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_result_source,blackbox_regression_matrix,,,,,source_description,source_reference,BlackboxRegressionMatrix,text,,,,,,,,,,,,,,,,,,,,,,,,,READY,case thresholds define hover ramp forward-punchout and failsafe-disarm targets,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxRegressionMatrix.java,regression_contract,thresholds are not relaxed for failed APDrone row
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_result_source,drone_physics,,,,,source_description,source_reference,DronePhysics,text,,,,,,,,,,,,,,,,,,,,,,,,,READY,explicit step-based result capture reads target omega ESC motor tip-Mach thrust and failsafe telemetry,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,blackbox_executor,result rows are generated from the current simulator
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_result_source,motor_response_review,,,,,source_description,source_reference,MotorResponseCouplingReview,text,,,,,,,,,,,,,,,,,,,,,,,,,READY,motor-response prerequisite remains reviewed before blackbox execution,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookMotorResponseCouplingReview.java,motor_response,ESC-output invariance stays a prerequisite
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_result_source,failsafe_clamp_review,,,,,source_description,source_reference,FailsafeClampReview,text,,,,,,,,,,,,,,,,,,,,,,,,,READY,failsafe clamp and no-load release prerequisite remains reviewed before blackbox execution,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookFailsafeClampReview.java,failsafe_clamp,failsafe blackbox row reuses explicit release path
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_result_source,runtime_leak_guard,,,,,source_description,source_reference,RuntimeLeakGuard,text,,,,,,,,,,,,,,,,,,,,,,,,,READY,result review opens no runtime coupling playable export or gameplay auto apply,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxResultReview.java,leak_guard,lab evidence only
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_result,synthetic_derate_validation_all_pass,racingQuad,cold_sea_level_minus10c,hover_hold_target_omega_scale,hover_hold,target_omega_scale_closure,blackbox_regression_passed,true,boolean,240,240,0.005,0.9715982698017723,28310.07356552835,0.004075367197358903,2.6409514646356123E-9,0.005,0.02,0,0.004075367197358903,0.0,1.261707087696351E-7,2.6409514646356123E-9,0.0,0.011749556925646996,0.0,0.0,false,false,true,false,false,false,PASS,target-omega-blackbox-regression-result-passed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxResultReview.java,current_blackbox_result,hover target scale closes within threshold
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_result,synthetic_derate_validation_all_pass,racingQuad,cold_sea_level_minus10c,full_throttle_ramp_derate_clamp,throttle_ramp,target_omega_clamp_and_slew,blackbox_regression_passed,true,boolean,180,180,0.006,0.9715982698017723,28310.07356552835,0.0,1.1575880155545448E-6,0.006,0.03,0,0.002338588226999616,0.0,1.1575880155545448E-6,3.215514754377158E-9,0.0,0.01064945616859796,0.0,0.0,false,false,true,false,false,false,PASS,target-omega-blackbox-regression-result-passed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxResultReview.java,current_blackbox_result,ramp clamp has no target overshoot
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_blackbox_result,synthetic_derate_validation_all_pass,racingQuad,cold_sea_level_minus10c,cold_air_forward_punchout_margin,forward_punchout,tip_mach_and_thrust_loss_margin,blackbox_regression_passed,true,boolean,360,360,0.005,0.9715982698017723,28310.07356552835,0.0,0.020144608176940988,0.02,0.04,0,0.023366318806086417,0.0077461038045950744,0.0,0.001339290958620453,0.0,0.020144608176940988,0.0,0.0,false,false,true,false,false,false,PASS,target-omega-blackbox-regression-result-passed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxResultReview.java,current_blackbox_result,racingQuad forward punchout thrust loss stays inside secondary threshold
