row_type,scenario,preset,ambient_case,forward_speed_mps,metric,value,unit,throttle_command,sample_count,dt_seconds,target_max_rpm_scale,contracted_max_rpm,equivalent_max_thrust_loss_percent,observed_thrust_loss_percent,thrust_loss_over_contract_ratio,max_allowed_thrust_loss_over_contract_ratio,max_target_scale_error_ratio,max_target_omega_overshoot_ratio,max_motor_omega_above_neutral_ratio,max_rotor_advance_ratio,max_rotor_tip_mach,neutral_thrust_newtons_at_max_margin,derated_thrust_newtons_at_max_margin,thrust_margin_passed,runtime_coupling_allowed,playable_reference_allowed,gameplay_auto_apply_allowed,status,message,source_file,evidence_role,note
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic_source,source_fingerprint,,,,source_description,PropellerArchiveSourceFingerprint,text,,,,,,,,,,,,,,,,,,,,,READY,archive identity checked before diagnostic import,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveSourceFingerprint.java,source_identity,raw rows remain outside repository
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic_source,blackbox_result_review,,,,source_description,ControlHookBlackboxResultReview,text,,,,,,,,,,,,,,,,,,,,,BLOCKED,APDrone cold-air forward-punchout result fails thrust-loss margin,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxResultReview.java,blackbox_result,diagnostic decomposes failed result rather than relaxing threshold
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic_source,control_contract,,,,source_description,DerateControlContract,text,,,,,,,,,,,,,,,,,,,,,READY,accepted target max-RPM scale and equivalent thrust-loss contract supply margins,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,control_contract,racingQuad and APDrone accepted cold-air contract rows only
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic_source,blackbox_regression_matrix,,,,source_description,ControlHookBlackboxRegressionMatrix,text,,,,,,,,,,,,,,,,,,,,,BLOCKED,forward punchout secondary margin remains 0.04 thrust-loss-over-contract ratio,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxRegressionMatrix.java,regression_threshold,diagnostic preserves current threshold
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic_source,drone_physics,,,,source_description,DronePhysics,text,,,,,,,,,,,,,,,,,,,,,READY,DronePhysics.step supplies target omega motor thrust advance and tip-Mach telemetry,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,simulation_source,full-throttle cold-air speed sweep uses the implemented hook
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic_source,runtime_leak_guard,,,,source_description,ForwardPunchoutMarginDiagnostic,text,,,,,,,,,,,,,,,,,,,,,READY,diagnostic rows do not enable runtime coupling playable export or gameplay auto apply,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,leak_guard,lab evidence only
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic,synthetic_derate_validation_all_pass,racingQuad,cold_sea_level_minus10c,0.0,thrust_loss_over_contract_ratio,0.0,ratio,1.0,360,0.005,0.9715982698017723,28310.07356552835,5.599680211820268,0.894604462761137,0.0,0.04,0.021869714239395,0.0,0.0,0.060129045971191,0.531180387788566,31.79632830060999,31.51187692863855,true,false,false,false,PASS,forward-punchout-derate-margin-within-contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,diagnostic_row,full-throttle cold-air speed sweep
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic,synthetic_derate_validation_all_pass,racingQuad,cold_sea_level_minus10c,8.0,thrust_loss_over_contract_ratio,0.0,ratio,1.0,360,0.005,0.9715982698017723,28310.07356552835,5.599680211820268,2.106717740136258,0.0,0.04,0.02199083782523,0.000504369472727,0.0,0.177726258525364,0.542468895109211,33.07885680293307,32.38197865843141,true,false,false,false,PASS,forward-punchout-derate-margin-within-contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,diagnostic_row,full-throttle cold-air speed sweep
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic,synthetic_derate_validation_all_pass,racingQuad,cold_sea_level_minus10c,16.0,thrust_loss_over_contract_ratio,0.0,ratio,1.0,360,0.005,0.9715982698017723,28310.07356552835,5.599680211820268,1.237251501986677,0.0,0.04,0.022467089922853,0.00955091307455,0.000244296359724,0.355452517050728,0.540797105785475,35.06081342946215,34.627022988697384,true,false,false,false,PASS,forward-punchout-derate-margin-within-contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,diagnostic_row,full-throttle cold-air speed sweep
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_margin_diagnostic,synthetic_derate_validation_all_pass,racingQuad,cold_sea_level_minus10c,22.0,thrust_loss_over_contract_ratio,0.020144608176940988,ratio,1.0,360,0.005,0.9715982698017723,28310.07356552835,5.599680211820268,7.614141029514367,0.020144608176940988,0.04,0.023366318806086,0.007746103804595,0.00133929095862,0.488747210944751,0.538792467816727,32.453736142997755,29.98266290372343,true,false,false,false,PASS,forward-punchout-derate-margin-within-contract,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,diagnostic_row,full-throttle cold-air speed sweep
