row_type,scenario,preset,ambient_case,forward_speed_mps,metric,value,unit,throttle_command,sample_count,dt_seconds,target_max_rpm_scale,equivalent_max_thrust_loss_percent,peak_sample_index,peak_time_seconds,peak_window,peak_observed_thrust_loss_percent,peak_thrust_loss_over_contract_ratio,max_allowed_thrust_loss_over_contract_ratio,peak_neutral_thrust_newtons,peak_derated_thrust_newtons,peak_average_target_omega_ratio,peak_average_motor_omega_ratio,peak_target_scale_error_ratio,peak_target_omega_overshoot_ratio,peak_motor_omega_above_neutral_ratio,peak_rotor_advance_ratio,peak_rotor_tip_mach,early_window_max_thrust_loss_over_contract_ratio,mid_window_max_thrust_loss_over_contract_ratio,late_window_max_thrust_loss_over_contract_ratio,settled_window_max_thrust_loss_over_contract_ratio,peak_in_settled_window,thrust_margin_passed,runtime_coupling_allowed,playable_reference_allowed,gameplay_auto_apply_allowed,status,message,source_file,evidence_role,note
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic_source,source_fingerprint,,,,source_description,PropellerArchiveSourceFingerprint,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,archive identity checked before peak-timing diagnostic import,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveSourceFingerprint.java,source_identity,raw rows remain outside repository
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic_source,forward_punchout_margin_diagnostic,,,,source_description,ForwardPunchoutMarginDiagnostic,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,APDrone full-throttle speed sweep fails every sampled speed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutMarginDiagnostic.java,upstream_margin_diagnostic,peak timing decomposes the APDrone-only margin failure
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic_source,control_contract,,,,source_description,DerateControlContract,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,APDrone target max-RPM scale and equivalent thrust-loss contract supply margin,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,control_contract,accepted cold-air contract remains audit-only
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic_source,blackbox_result_review,,,,source_description,BlackboxResultReview,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,APDrone 22 mps forward-punchout result fails secondary thrust-loss margin,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxResultReview.java,blackbox_result,peak timing preserves the failed blackbox row
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic_source,drone_physics,,,,source_description,DronePhysics,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,DronePhysics.step supplies per-sample motor target motor omega thrust advance and tip-Mach telemetry,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,simulation_source,same review config as forward punchout margin diagnostic
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic_source,runtime_leak_guard,,,,source_description,ForwardPunchoutPeakTimingDiagnostic,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,READY,diagnostic rows do not enable runtime coupling playable export or gameplay auto apply,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutPeakTimingDiagnostic.java,leak_guard,lab evidence only
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,0.0,peak_thrust_loss_over_contract_ratio,0.365142773305258,ratio,1.0,360,0.005,0.9910302351978083,1.785907292377809,255,1.28,settled_after_900ms,38.30018462290361,0.365142773305258,0.04,12.6199828674343,7.786506129828159,0.970805939840455,0.957727413243542,0.041295152302006,0.0,0.0,0.200957748131296,0.505400680156867,0.0,0.0,0.0,0.365142773305258,true,false,false,false,false,FAIL,forward-punchout-peak-margin-settled-window-failure,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutPeakTimingDiagnostic.java,peak_timing_row,APDrone full-throttle cold-air peak timing row
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,8.0,peak_thrust_loss_over_contract_ratio,0.059948790116623255,ratio,1.0,360,0.005,0.9910302351978083,1.785907292377809,211,1.06,settled_after_900ms,7.780786304040134,0.059948790116623255,0.04,12.242380134862119,11.289826698040237,0.9908520395675,0.98082539485313,0.001637217364121,0.0,0.0,0.163555341584043,0.507148767567974,0.0,0.0,0.0,0.059948790116623255,true,false,false,false,false,FAIL,forward-punchout-peak-margin-settled-window-failure,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutPeakTimingDiagnostic.java,peak_timing_row,APDrone full-throttle cold-air peak timing row
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,16.0,peak_thrust_loss_over_contract_ratio,0.148761443348371,ratio,1.0,360,0.005,0.9910302351978083,1.785907292377809,217,1.09,settled_after_900ms,16.66205162721493,0.148761443348371,0.04,24.1413313439658,20.1188902519372,0.993825544182057,0.983968421007624,0.003244095481123,0.0,0.0,0.126291684437314,0.523405528037709,0.0,0.0,0.0,0.148761443348371,true,false,false,false,false,FAIL,forward-punchout-peak-margin-settled-window-failure,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutPeakTimingDiagnostic.java,peak_timing_row,APDrone full-throttle cold-air peak timing row
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_punchout_peak_timing_diagnostic,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,22.0,peak_thrust_loss_over_contract_ratio,0.1208445699538298,ratio,1.0,360,0.005,0.9910302351978083,1.785907292377809,345,1.73,settled_after_900ms,13.87036428776079,0.1208445699538298,0.04,14.644717363462435,12.613441716237238,0.994328981524963,0.996736802184325,0.011979825181119,0.0,0.010046653840003,0.133162218726188,0.468025137567902,0.007466499320681,0.006868185871988,0.006384179795764,0.1208445699538298,true,false,false,false,false,FAIL,forward-punchout-peak-margin-settled-window-failure,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutPeakTimingDiagnostic.java,peak_timing_row,APDrone full-throttle cold-air peak timing row
