row_type,scenario,preset,ambient_case,review_case,flight_phase,metric,value,unit,sample_count,target_max_rpm_scale,contracted_max_rpm,max_esc_electrical_output_delta,max_target_scale_error_ratio,max_target_overshoot_ratio,max_motor_omega_above_neutral_ratio,default_preset_target_scale_neutral,motor_response_coupling_reviewed,config_mutation_allowed,runtime_coupling_allowed,playable_reference_allowed,gameplay_auto_apply_allowed,status,message,source_file,evidence_role,note
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_motor_response_coupling_source,source_fingerprint,,,,,source_description,PropellerArchiveSourceFingerprint,text,,,,,,,,,,,,,,READY,archive identity stays external and raw rows remain outside runtime,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveSourceFingerprint.java,source_identity,raw rows not vendored
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_motor_response_coupling_source,control_contract,,,,,source_description,DerateControlContract,text,,,,,,,,,,,,,,READY,accepted target max-RPM scale rows feed the review,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,control_contract,all rows remain non-runtime
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_motor_response_coupling_source,target_omega_hook,,,,,source_description,DronePhysics.targetOmega,text,,,,,,,,,,,,,,READY,target max-RPM scale multiplies target omega before motor response,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,control_boundary,hook uses neutral default scale
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_motor_response_coupling_source,esc_output_invariance,,,,,source_description,escElectricalOutputCommand,text,,,,,,,,,,,,,,REVIEWED,neutral and derated actuator-bench runs keep ESC electrical output invariant within 2e-6,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneState.java,actuator_boundary,PID feedback isolated with zero attitude gains
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_motor_response_coupling_source,motor_response_path,,,,,source_description,motorTargetOmega-to-motorOmega,text,,,,,,,,,,,,,,REVIEWED,derated motor omega does not exceed neutral across reviewed actuator schedules,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,motor_response,boundary review only not failsafe clamp evidence
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_motor_response_coupling_source,runtime_leak_guard,,,,,source_description,no-runtime-coupling,text,,,,,,,,,,,,,,READY,review rows keep config mutation runtime coupling playable export and gameplay auto-apply closed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookMotorResponseCouplingReview.java,leak_guard,playable/dev can consume only later compact reviewed references
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_motor_response_coupling_review,synthetic_derate_validation_all_pass,racingQuad,cold_sea_level_minus10c,first_frame_target_scale_closure,single_frame_full_throttle,motor_response_coupling_reviewed,true,boolean,1,0.9715982698017723,28310.07356552835,0.0,1.1102230246251565E-16,0.0,0.0,true,true,false,false,false,false,REVIEWED,target-omega-derate-couples-before-motor-response-with-esc-output-invariant,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookMotorResponseCouplingReview.java,review_row,first frame target scale closes exactly
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_motor_response_coupling_review,synthetic_derate_validation_all_pass,racingQuad,cold_sea_level_minus10c,full_throttle_ramp_motor_response,throttle_ramp,motor_response_coupling_reviewed,true,boolean,180,0.9715982698017723,28310.07356552835,1.1575880155545448E-6,0.002338588226999616,0.0,3.215514754377158E-9,true,true,false,false,false,false,REVIEWED,target-omega-derate-couples-before-motor-response-with-esc-output-invariant,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookMotorResponseCouplingReview.java,review_row,ramp schedule preserves ESC output and derated motor stays below neutral
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_motor_response_coupling_review,synthetic_derate_validation_all_pass,racingQuad,cold_sea_level_minus10c,hover_hold_tracking_response,hover_hold,motor_response_coupling_reviewed,true,boolean,240,0.9715982698017723,28310.07356552835,1.2616843308999037E-7,0.004075367197358903,0.0,2.6409514646356123E-9,true,true,false,false,false,false,REVIEWED,target-omega-derate-couples-before-motor-response-with-esc-output-invariant,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookMotorResponseCouplingReview.java,review_row,hover schedule keeps target scale closure within actuator tolerance
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_motor_response_coupling_review,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,first_frame_target_scale_closure,single_frame_full_throttle,motor_response_coupling_reviewed,true,boolean,1,0.9910302351978083,29472.808857731186,0.0,1.1102230246251565E-16,0.0,0.0,true,true,false,false,false,false,REVIEWED,target-omega-derate-couples-before-motor-response-with-esc-output-invariant,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookMotorResponseCouplingReview.java,review_row,first frame target scale closes exactly
