row_type,scenario,preset,ambient_case,forward_speed_mps,metric,value,unit,peak_sample_index,peak_time_seconds,target_max_rpm_scale,contract_thrust_ratio,observed_thrust_ratio,thrust_loss_over_contract_ratio,omega_squared_proxy_ratio,advance_proxy_ratio,inflow_proxy_ratio,compressibility_proxy_ratio,residual_after_compressibility_ratio,proxy_deficit_vs_contract_ratio,residual_thrust_deficit_ratio,omega_squared_proxy_above_contract,compressibility_proxy_above_observed,runtime_coupling_allowed,playable_reference_allowed,gameplay_auto_apply_allowed,dominant_deficit_bucket,status,message,source_file,evidence_role,note
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_source,source_fingerprint,all,all,all,source_description,PropellerArchiveSourceFingerprint,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,NA,READY,archive identity checked before settled thrust-model breakdown,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveSourceFingerprint.java,source_identity,raw archive rows remain outside repository
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_source,propeller_archive_compact_reference,all,all,all,source_description,PropellerArchiveCompactReferenceTable,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,NA,READY,propeller archive compact table supplies high-advance propeller evidence context,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCompactReferenceTable.java,source_reference,archive CSV has three experimental volumes and three geometry volumes
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_source,control_contract,all,all,all,source_description,DerateControlContract,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,NA,READY,accepted APDrone target max-RPM scale and equivalent thrust-loss contract supply margins,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,control_contract,cold-air APDrone contract remains audit-only
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_source,forward_punchout_peak_timing_diagnostic,all,all,all,source_description,ForwardPunchoutPeakTimingDiagnostic,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,NA,BLOCKED,upstream APDrone failures peak after the 900 ms settled window,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardPunchoutPeakTimingDiagnostic.java,upstream_timing_diagnostic,settled breakdown continues from the peak-timing blocker
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_source,drone_physics,all,all,all,source_description,DronePhysics,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,NA,READY,DronePhysics.step supplies motor omega thrust advance inflow and compressibility telemetry,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,simulation_source,diagnostic reads implemented per-rotor state rather than opening runtime coupling
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic_source,runtime_leak_guard,all,all,all,source_description,SettledThrustModelBreakdownDiagnostic,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,NA,READY,diagnostic rows do not enable runtime coupling playable export or gameplay auto apply,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,leak_guard,lab evidence only
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,0.0,compressibility_proxy_ratio,0.716812715545108,ratio,255,1.28,0.9910302351978083,0.982140927076222,0.6169981537709639,0.365142773305258,0.9179318211076188,0.7132360851619984,0.7126787949713781,0.716812715545108,0.8607522444712229,0.26532821153111397,0.09981456177414405,false,true,false,false,false,explicit-omega-advance-inflow-compressibility-proxy,FAIL,settled-thrust-model-breakdown-keeps-apDrone-forward-punchout-blocked,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,breakdown_row,APDrone full-throttle cold-air settled peak row
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,8.0,compressibility_proxy_ratio,0.9545476435330602,ratio,211,1.06,0.9910302351978083,0.982140927076222,0.9221921369595987,0.059948790116623255,0.9629443612711717,0.953364468760582,0.9534678883261265,0.9545476435330602,0.9661038327498203,0.027593283543161825,0.03235550657346153,false,true,false,false,false,residual-unmodeled-thrust-scale,FAIL,settled-thrust-model-breakdown-keeps-apDrone-forward-punchout-blocked,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,breakdown_row,APDrone full-throttle cold-air settled peak row
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,16.0,compressibility_proxy_ratio,0.8450180659890571,ratio,217,1.09,0.9910302351978083,0.982140927076222,0.8333794837278508,0.148761443348371,0.96862206894195,0.8425317404338629,0.8426326767422283,0.8450180659890571,0.9862268243370824,0.13712286108716488,0.01163858226120627,false,true,false,false,false,explicit-omega-advance-inflow-compressibility-proxy,FAIL,settled-thrust-model-breakdown-keeps-apDrone-forward-punchout-blocked,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,breakdown_row,APDrone full-throttle cold-air settled peak row
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_settled_thrust_model_breakdown_diagnostic,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,22.0,compressibility_proxy_ratio,0.9039344176041539,ratio,345,1.73,0.9910302351978083,0.982140927076222,0.8612963571223922,0.1208445699538298,0.9938711640935051,0.9038590293025921,0.9039944600527192,0.9039344176041539,0.9528305818968898,0.07820650947206811,0.042638060481761775,true,true,false,false,false,explicit-omega-advance-inflow-compressibility-proxy,FAIL,settled-thrust-model-breakdown-keeps-apDrone-forward-punchout-blocked,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,breakdown_row,APDrone blackbox forward-punchout speed row
