row_type,scenario,preset,ambient_case,regression_case,metric,value,unit,flight_phase,target_metric,sample_count,min_sample_count,dt_seconds,forward_speed_mps,target_max_rpm_scale,contract_thrust_ratio,free_flight_secondary_error_ratio,state_normalized_primary_error_ratio,state_normalized_secondary_error_ratio,max_allowed_primary_error_ratio,max_allowed_secondary_error_ratio,state_normalized_physical_constraint_violation_count,max_margin_sample_index,max_margin_time_seconds,held_observed_thrust_ratio,held_compressibility_proxy_ratio,held_residual_thrust_deficit_ratio,held_neutral_thrust_newtons,held_derated_thrust_newtons,held_neutral_average_propeller_thrust_scale,held_derated_average_propeller_thrust_scale,held_derated_propeller_thrust_scale_range,held_derated_advance_ratio_range,held_state_velocity_delta_mps,held_attitude_euler_delta_rad,held_angular_velocity_delta_radps,state_normalized_regression_passed,runtime_coupling_allowed,playable_reference_allowed,gameplay_auto_apply_allowed,status,message,source_file,evidence_role,note
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_blackbox_result_review_source,source_fingerprint,all,all,all,source_description,PropellerArchiveSourceFingerprint,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,false,READY,archive identity checked before state-normalized blackbox result review,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveSourceFingerprint.java,source_identity,raw rows remain outside repository
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_blackbox_result_review_source,blackbox_regression_matrix,all,all,all,source_description,BlackboxRegressionMatrix,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,false,READY,cold-air forward-punchout case supplies thresholds and sample count,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxRegressionMatrix.java,upstream_matrix,target metric remains tip Mach and thrust loss margin
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_blackbox_result_review_source,blackbox_result_review,all,all,all,source_description,BlackboxResultReview,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,false,BLOCKED,free-flight result provides baseline secondary error comparison,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookBlackboxResultReview.java,upstream_result,APDrone free-flight forward punchout is the only failed current row
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_blackbox_result_review_source,state_normalized_punchout,all,all,all,source_description,StateNormalizedPunchoutDiagnostic,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,false,READY,prior APDrone diagnostic motivates a direct held-kinematics blackbox harness,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,upstream_diagnostic,do not use single peak sample as final regression result
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_blackbox_result_review_source,drone_physics,all,all,all,source_description,DronePhysics.step,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,false,READY,neutral and derated paths are stepped for all 360 samples,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,simulation_source,no behavior change is applied
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_blackbox_result_review_source,drone_state,all,all,all,source_description,DroneState held kinematics,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,false,READY,position velocity attitude and angular velocity are clamped at each sample boundary,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneState.java,state_telemetry,rotor telemetry is still measured after each physics step
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_blackbox_result_review_source,runtime_leak_guard,all,all,all,source_description,StateNormalizedBlackboxResultReview,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,false,READY,runtime coupling playable export and gameplay auto-apply stay closed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedBlackboxResultReview.java,leak_guard,lab evidence only
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_blackbox_result_review,synthetic_derate_validation_all_pass,racingQuad,cold_sea_level_minus10c,cold_air_forward_punchout_margin,state_normalized_secondary_error_ratio,0.021957819779318,ratio,forward_punchout,tip_mach_and_thrust_loss_margin,360,360,0.005,22.0,0.971598269801772,0.944003197881797,0.020144608176941,0.0,0.021957819779318,0.02,0.04,0,18,0.095,0.92204537810248,0.925847416921642,0.003802038819163,31.102375019755392,28.677801134975475,0.625476965751153,0.603665161410033,0.000836632161892,0.000125643033317,0.0,0.0,0.0,true,false,false,false,PASS,state-normalized-forward-punchout-regression-passed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedBlackboxResultReview.java,result_row,racingQuad free-flight already passed and held-kinematics pass remains inside margin
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_blackbox_result_review,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,cold_air_forward_punchout_margin,state_normalized_secondary_error_ratio,0.013686714746046,ratio,forward_punchout,tip_mach_and_thrust_loss_margin,360,360,0.005,22.0,0.991030235197808,0.982140927076222,0.12084456995383,0.0,0.013686714746046,0.02,0.04,0,12,0.065,0.968454212330176,0.981813310058447,0.013359097728271,31.471029420854723,30.478251008993638,0.6715318099198,0.665712503311709,0.019233627567717,0.00241220115516,0.0,0.0,0.0,true,false,false,false,PASS,state-normalized-forward-punchout-regression-passed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedBlackboxResultReview.java,result_row,APDrone free-flight failure passes under held-kinematics full-sample review
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_blackbox_result_review_summary,all,all,all,all,row_count,2,count,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,false,READY,two forward-punchout result rows recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedBlackboxResultReview.java,summary,racingQuad and APDrone
