row_type,scenario,preset,ambient_case,forward_speed_mps,metric,value,unit,peak_sample_index,peak_time_seconds,target_max_rpm_scale,contract_thrust_ratio,free_flight_observed_thrust_ratio,free_flight_compressibility_proxy_ratio,free_flight_residual_thrust_deficit_ratio,free_flight_state_velocity_delta_mps,held_observed_thrust_ratio,held_compressibility_proxy_ratio,held_residual_thrust_deficit_ratio,held_residual_reduction_ratio,held_observed_minus_free_flight_ratio,held_neutral_thrust_newtons,held_derated_thrust_newtons,held_neutral_average_propeller_thrust_scale,held_derated_average_propeller_thrust_scale,held_derated_propeller_thrust_scale_range,held_derated_advance_ratio_range,held_state_velocity_delta_mps,held_attitude_euler_delta_rad,held_angular_velocity_delta_radps,free_flight_state_divergence,state_normalization_reduced_residual,held_residual_above_threshold,runtime_coupling_allowed,playable_reference_allowed,gameplay_auto_apply_allowed,dominant_bucket,status,message,source_file,evidence_role,note
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_source,source_fingerprint,all,all,all,source_description,PropellerArchiveSourceFingerprint,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,false,false,false,NA,READY,archive identity checked before state-normalized punchout diagnostic,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveSourceFingerprint.java,source_identity,raw rows remain outside repository
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_source,settled_breakdown,all,all,all,source_description,SettledThrustModelBreakdownDiagnostic,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,false,false,false,NA,BLOCKED,APDrone free-flight settled peak rows supply residual deficits and sample indexes,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,upstream_diagnostic,all APDrone free-flight rows remain over contract
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_source,rotor_state_dispersion,all,all,all,source_description,RotorStateDispersionDiagnostic,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,false,false,false,NA,BLOCKED,free-flight state divergence motivates held-kinematics replay,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookRotorStateDispersionDiagnostic.java,upstream_diagnostic,three APDrone rows cross the velocity-delta threshold
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_source,drone_physics,all,all,all,source_description,DronePhysics.step,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,false,false,false,NA,READY,neutral and derated APDrone paths are stepped with motor and rotor dynamics intact,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,simulation_source,no behavior change is applied
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_source,drone_state,all,all,all,source_description,DroneState held kinematics,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,false,false,false,NA,READY,diagnostic fixes position velocity orientation and angular velocity between steps,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneState.java,state_telemetry,rotor telemetry remains measured after each physics step
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic_source,runtime_leak_guard,all,all,all,source_description,StateNormalizedPunchoutDiagnostic,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,false,false,false,NA,READY,diagnostic rows do not enable runtime coupling playable export or gameplay auto apply,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,leak_guard,lab evidence only
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,0.0,held_residual_thrust_deficit_ratio,0.0,ratio,255,1.28,0.991030235197808,0.982140927076222,0.616998153770964,0.716812715545108,0.099814561774144,0.478714028632105,1.005087989038654,1.002625199204346,0.0,1.0,0.38808983526769,40.48463612744591,40.69062151229624,1.0,1.0,0.0,0.0,0.0,0.0,0.0,false,true,false,false,false,false,state-normalization-removes-local-residual,STATE_NORMALIZED,state-normalization-removes-residual-without-large-free-flight-velocity-delta,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,diagnostic_row,static residual disappears when vehicle kinematics are held
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,8.0,held_residual_thrust_deficit_ratio,0.0,ratio,211,1.06,0.991030235197808,0.982140927076222,0.922192136959599,0.95454764353306,0.032355506573462,0.100677171423926,0.996369472425562,0.995914496356486,0.0,1.0,0.074177335465963,41.90388272450661,41.751749522799265,0.999759239343744,0.999705082660891,0.000019059853066,0.000036930507748,0.0,0.0,0.0,false,true,false,false,false,false,state-normalization-removes-local-residual,STATE_NORMALIZED,state-normalization-removes-residual-without-large-free-flight-velocity-delta,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,diagnostic_row,8 mps remains the low-dispersion reference row after normalization
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,16.0,held_residual_thrust_deficit_ratio,0.0,ratio,217,1.09,0.991030235197808,0.982140927076222,0.833379483727851,0.845018065989057,0.011638582261206,0.83288743082501,0.999423999252676,0.99672157292858,0.0,1.0,0.166044515524825,38.206694455631464,38.18468737107222,0.875684464899131,0.875031622134373,0.009192497358237,0.002053922210154,0.0,0.0,0.0,true,true,false,false,false,false,free-flight-state-drift-dominates-residual,STATE_NORMALIZED,held-state-punchout-removes-free-flight-residual-deficit,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,diagnostic_row,first free-flight divergent row normalizes below residual threshold
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_state_normalized_punchout_diagnostic,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,22.0,held_residual_thrust_deficit_ratio,0.005472892263486,ratio,345,1.73,0.991030235197808,0.982140927076222,0.861296357122392,0.903934417604154,0.042638060481762,1.640844251988162,0.985255794300612,0.990728686564098,0.005472892263486,0.87164302968642,0.123959437178219,29.322583877320017,28.890245668995238,0.662033647169015,0.659147381397314,0.062930416087623,0.008037108496122,0.0,0.0,0.0,true,true,false,false,false,false,free-flight-state-drift-dominates-residual,STATE_NORMALIZED,held-state-punchout-removes-free-flight-residual-deficit,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookStateNormalizedPunchoutDiagnostic.java,diagnostic_row,blackbox speed residual falls from 0.042638060481762 to 0.005472892263486
