row_type,scenario,preset_or_metric,ambient_or_value,derate_validation_acceptance_ready_or_unit,manual_derate_review_allowed,derate_manual_review_material_available,rpm_control_review_complete,physics_budget_review_complete,target_max_tip_mach,target_max_rpm_scale,required_max_rpm_derate_percent,limiting_budget,max_tip_mach_limit,post_derate_thrust_loss_percent,max_thrust_loss_percent_limit,post_derate_load_factor,max_load_factor_limit,post_derate_reaction_torque_scale,max_reaction_torque_scale_limit,post_derate_vibration_proxy,max_vibration_proxy_limit,derate_target_within_budget,post_derate_physical_budget_accepted,manual_derate_review_ready,playable_reference_allowed,config_patch_allowed,runtime_coupling_allowed,gameplay_auto_apply_allowed,status,message,source_file,evidence_role,note
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_source,source_fingerprint,source_description,PropellerArchiveSourceFingerprint,text,,,,,,,,,,,,,,,,,,,,,,,,,READY,archive identity checked before reviewed import,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveSourceFingerprint.java,source_identity,raw rows remain outside repository
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_source,derate_validation_acceptance_gate,source_description,DerateValidationAcceptanceGate,text,,,,,,,,,,,,,,,,,,,,,,,,,READY,explicit cold-air validation results gate review,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateValidationAcceptanceGate.java,validation_acceptance,accepted result set required
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_source,derate_manual_review,source_description,DerateManualReview,text,,,,,,,,,,,,,,,,,,,,,,,,,READY,manual review rows provide target and budget values,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateManualReview.java,manual_review,review rows are audit material only
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_source,derate_plan,source_description,DeratePlan,text,,,,,,,,,,,,,,,,,,,,,,,,,PENDING_REVIEW,derate plan supplies physical budget limits,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePlan.java,derate_target,max RPM scale targets remain offline
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_source,drone_config,source_description,DroneConfig,text,,,,,,,,,,,,,,,,,,,,,,,,,READY,no configuration mutation emitted,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,config_target,config patch remains closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_source,runtime_boundary,source_description,RuntimeLeakGuard,text,,,,,,,,,,,,,,,,,,,,,,,,,READY,playable config runtime and gameplay outputs stay closed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,leak_guard,physical budget acceptance is not runtime coupling
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance,synthetic_derate_validation_all_pass,racingQuad,cold_sea_level_minus10c,true,true,true,true,true,0.6371344703535363,0.9715982698017723,2.840173019822779,reaction_torque_scale_limit,0.7,9.761226035642207,10.0,0.20498574674848635,0.22,1.18,1.18,0.10737348639206429,0.12,true,true,true,false,false,false,false,READY,post-derate-physical-budget-accepted-for-manual-review,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,budget_row,racingQuad cold-air derate stays inside physical limits
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,true,true,true,true,true,0.6371344703535363,0.9910302351978083,0.8969764802191723,reaction_torque_scale_limit,0.7,9.761226035642207,10.0,0.20498574674848635,0.22,1.18,1.18,0.10737348639206429,0.12,true,true,true,false,false,false,false,READY,post-derate-physical-budget-accepted-for-manual-review,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,budget_row,apDrone cold-air derate stays inside physical limits
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,current_derate_validation_blocked,derate_validation_acceptance_ready,false,boolean,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,current_scenario,acceptance is not ready
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,current_derate_validation_blocked,manual_derate_review_allowed,false,boolean,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,current_scenario,manual review closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,current_derate_validation_blocked,derate_physical_budget_available,false,boolean,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,current_scenario,no budget rows
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,current_derate_validation_blocked,budget_row_count,0,count,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,current_scenario,no accepted rows
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,current_derate_validation_blocked,post_derate_physical_budget_accepted_count,0,count,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,current_scenario,no accepted budgets
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,current_derate_validation_blocked,manual_derate_review_ready_count,0,count,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,current_scenario,no manual review ready rows
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,current_derate_validation_blocked,rpm_control_review_complete_count,0,count,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,current_scenario,no rpm control rows
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,current_derate_validation_blocked,physics_budget_review_complete_count,0,count,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,current_scenario,no budget rows
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,current_derate_validation_blocked,max_required_max_rpm_derate_percent,0.0,percent,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,current_scenario,no derate
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,current_derate_validation_blocked,min_target_max_rpm_scale,0.0,ratio,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,current_scenario,no scale
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,current_derate_validation_blocked,max_post_derate_thrust_loss_percent,0.0,percent,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,current_scenario,no thrust loss
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,current_derate_validation_blocked,max_post_derate_load_factor,0.0,ratio,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,current_scenario,no load factor
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,current_derate_validation_blocked,max_post_derate_reaction_torque_scale,1.0,ratio,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,current_scenario,no torque scale
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,current_derate_validation_blocked,max_post_derate_vibration_proxy,0.0,proxy,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,current_scenario,no vibration proxy
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,current_derate_validation_blocked,playable_reference_allowed_count,0,count,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,current_scenario,playable export closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,current_derate_validation_blocked,config_patch_allowed_count,0,count,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,current_scenario,config patch closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,current_derate_validation_blocked,runtime_coupling_allowed_count,0,count,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,current_scenario,runtime coupling closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,current_derate_validation_blocked,gameplay_auto_apply_allowed_count,0,count,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,current_scenario,gameplay auto apply closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,current_derate_validation_blocked,status,BLOCKED,text,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,current_scenario,scenario blocked
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,current_derate_validation_blocked,message,cold-air-derate-validation-not-planned,text,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,current_scenario,no validation plan
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_results_missing,derate_validation_acceptance_ready,false,boolean,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,missing_scenario,acceptance is not ready
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_results_missing,manual_derate_review_allowed,false,boolean,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,missing_scenario,manual review closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_results_missing,derate_physical_budget_available,false,boolean,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,missing_scenario,no budget rows
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_results_missing,budget_row_count,0,count,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,missing_scenario,no accepted rows
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_results_missing,post_derate_physical_budget_accepted_count,0,count,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,missing_scenario,no accepted budgets
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_physical_budget_acceptance_scenario,synthetic_derate_validation_results_missing,manual_derate_review_ready_count,0,count,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED,cold-air-derate-validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePhysicalBudgetAcceptanceGate.java,missing_scenario,no manual review ready rows
