row_type,scenario,preset,ambient_case,ambient_sensitivity_accepted,metric,value,unit,ambient_temperature_c,speed_of_sound_m_s,speed_scale_vs_reference,candidate_hover_tip_mach,candidate_max_tip_mach,candidate_max_mach_margin,serious_loss_mach_margin,candidate_max_thrust_loss_percent,candidate_max_load_factor,candidate_max_reaction_torque_scale,candidate_max_vibration_proxy,max_tip_mach_within_budget,below_serious_loss_mach,candidate_impact_within_budget,compressibility_review_required,playable_reference_allowed,config_patch_allowed,runtime_coupling_allowed,gameplay_auto_apply_allowed,status,message,next_required_action,source_file,evidence_role,note
propeller_archive_rotor_spec_retune_ambient_compressibility_source,physical_budget_acceptance_gate,,,,source_description,PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate,text,,,,,,,,,,,,,,,,,,,READY,source-audited,carry-accepted-physical-budget-rows,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,physical_budget_source,only accepted rows enter ambient sensitivity
propeller_archive_rotor_spec_retune_ambient_compressibility_source,compressibility_review_matrix,,,,source_description,PropellerArchiveRotorSpecRetuneCompressibilityReviewMatrix,text,,,,,,,,,,,,,,,,,,,PENDING_VALIDATION,source-audited,keep-review-pending,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneCompressibilityReviewMatrix.java,review_matrix_source,review matrix remains pending validation
propeller_archive_rotor_spec_retune_ambient_compressibility_source,drone_environment_sound_speed,,,,source_description,DroneEnvironment.speedOfSoundMetersPerSecond,text,,,,,,,,,,,,,,,,,,,READY,source-audited,replay-same-tip-speed-at-different-temperatures,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneEnvironment.java,sound_speed_source,cold air raises Mach for unchanged tip speed
propeller_archive_rotor_spec_retune_ambient_compressibility_source,drone_physics_compressibility_curve,,,,source_description,DronePhysics rotor compressibility helper shape,text,,,,,,,,,,,,,,,,,,,READY,source-audited,estimate-loss-load-torque-vibration,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,runtime_curve_source,no runtime coupling is invoked
propeller_archive_rotor_spec_retune_ambient_compressibility_source,naca_takeoff_climb_band,,,,source_description,NACA Mach 0.5 to 0.7 onset band,text,,,,,,,,,,,,,,,,,,,READY,source-audited,keep-threshold-context,https://ntrs.nasa.gov/citations/19930091714,historical_reference,candidates remain inside onset band
propeller_archive_rotor_spec_retune_ambient_compressibility_source,naca_serious_loss_threshold,,,,source_description,NACA Mach 0.91 serious loss threshold,text,,,,,,,,,,,,,,,,,,,READY,source-audited,keep-serious-loss-margin,https://ntrs.nasa.gov/citations/19930092056,historical_reference,candidates remain below serious loss threshold
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,current_retune_validation_blocked,,,,validation_acceptance_ready,false,boolean,,,,,,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,current_ambient_sensitivity,upstream validation is blocked
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,current_retune_validation_blocked,,,,physical_budget_available,false,boolean,,,,,,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,current_ambient_sensitivity,no physical budget rows
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,current_retune_validation_blocked,,,,ambient_sensitivity_available,false,boolean,,,,,,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,current_ambient_sensitivity,no ambient rows
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,current_retune_validation_blocked,,,,sensitivity_row_count,0,count,,,,,,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,current_ambient_sensitivity,no ambient rows
propeller_archive_rotor_spec_retune_ambient_compressibility_scenario,current_retune_validation_blocked,,,,ambient_case_count,0,count,,,,,,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,complete-upstream-validation-before-ambient-sensitivity,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilitySensitivity.java,current_ambient_sensitivity,no ambient cases
