row_type,scenario_name,preset_name,field_name,current_value,candidate_value,absolute_delta,ratio_candidate_over_current,unit,rotor_spec_patch_field,geometry_reference_field,manual_patch_review_allowed,config_patch_allowed,runtime_coupling_allowed,gameplay_auto_apply_allowed,status,message,source_file,evidence_role,note
propeller_archive_rotor_spec_retune_manual_patch_review_source,source_fingerprint,source_description,PropellerArchiveSourceFingerprint identifies archive identity before reviewed import.,text,,,,,,,,,,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveSourceFingerprint.java,source_identity,raw rows remain outside repository
propeller_archive_rotor_spec_retune_manual_patch_review_source,validation_acceptance_gate,source_description,PropellerArchiveRotorSpecRetuneValidationAcceptanceGate opens manual review only after all planned validation rows pass.,text,,,,,,,,,,BLOCKED,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneValidationAcceptanceGate.java,validation_acceptance,current acceptance is blocked
propeller_archive_rotor_spec_retune_manual_patch_review_source,config_delta_report,source_description,PropellerArchiveRotorSpecConfigDeltaReport supplies current and candidate RotorSpec field values.,text,,,,,,,,,,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecConfigDeltaReport.java,current_candidate_delta,manual review rows derive from delta report
propeller_archive_rotor_spec_retune_manual_patch_review_source,drone_config,source_description,DroneConfig remains the immutable comparison target for this packet.,text,,,,,,,,,,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,config_target,no config mutation is emitted
propeller_archive_rotor_spec_retune_manual_patch_review_source,rotor_spec,source_description,RotorSpec patch fields are radius pitch blade count thrust coefficient and yaw torque arm only.,text,,,,,,,,,,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/RotorSpec.java,patch_field_boundary,chord and beta remain geometry review fields
propeller_archive_rotor_spec_retune_manual_patch_review_source,runtime_boundary,source_description,Manual patch review never enables direct config patching runtime coupling or gameplay auto apply.,text,,,,,,,,,,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneManualPatchReview.java,leak_guard,human review material only
propeller_archive_rotor_spec_retune_manual_patch_review_scenario,current_retune_validation_blocked,validation_acceptance_ready,false,boolean,,,,,,,,,,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneManualPatchReview.java,current_manual_patch_review,current validation rows are not planned
propeller_archive_rotor_spec_retune_manual_patch_review_scenario,current_retune_validation_blocked,manual_patch_review_allowed,false,boolean,,,,,,,,,,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneManualPatchReview.java,current_manual_patch_review,manual review remains closed
propeller_archive_rotor_spec_retune_manual_patch_review_scenario,current_retune_validation_blocked,manual_patch_candidate_preset_count,0,count,,,,,,,,,,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneManualPatchReview.java,current_manual_patch_review,no candidate presets
propeller_archive_rotor_spec_retune_manual_patch_review_scenario,current_retune_validation_blocked,review_row_count,0,count,,,,,,,,,,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneManualPatchReview.java,current_manual_patch_review,no review rows
propeller_archive_rotor_spec_retune_manual_patch_review_scenario,current_retune_validation_blocked,rotor_spec_patch_field_row_count,0,count,,,,,,,,,,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneManualPatchReview.java,current_manual_patch_review,no patch fields
