row_type,scenario_name,preset_name,validation_acceptance_ready,manual_patch_review_allowed,physical_impact_preview_available,tip_mach_budget_accepted,reynolds_budget_accepted,compressibility_impact_accepted,compressibility_review_required,candidate_hover_tip_mach,candidate_max_tip_mach,candidate_hover_reynolds_number,candidate_max_thrust_loss_percent,candidate_max_load_factor,candidate_max_reaction_torque_scale,candidate_max_vibration_proxy,physical_budget_accepted,manual_patch_review_ready,playable_reference_allowed,config_patch_allowed,runtime_coupling_allowed,gameplay_auto_apply_allowed,status,message,source_file,evidence_role,note
propeller_archive_rotor_spec_retune_physical_budget_acceptance_source,source_fingerprint,source_description,,,,,,PropellerArchiveSourceFingerprint identifies archive identity before reviewed import.,text,,,,,,,,,,,,,,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveSourceFingerprint.java,source_identity,raw rows remain outside repository
propeller_archive_rotor_spec_retune_physical_budget_acceptance_source,validation_acceptance_gate,source_description,,,,,,PropellerArchiveRotorSpecRetuneValidationAcceptanceGate must accept all planned offline validation rows before physical budget acceptance can exist.,text,,,,,,,,,,,,,,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneValidationAcceptanceGate.java,upstream_gate,manual patch review is not enough without validation acceptance
propeller_archive_rotor_spec_retune_physical_budget_acceptance_source,physical_impact_preview,source_description,,,,,,PropellerArchiveRotorSpecRetunePhysicalImpactPreview supplies hover RPM disk loading tip speed and yaw torque context.,text,,,,,,,,,,,,,,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,upstream_gate,impact preview must be present before later budgets count
propeller_archive_rotor_spec_retune_physical_budget_acceptance_source,tip_reynolds_compressibility_gates,source_description,,,,,,Tip Mach Reynolds and compressibility impact gates must all accept the same candidate rows before physical budget acceptance opens.,text,,,,,,,,,,,,,,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,aggregate_gate,bounded compressibility can still require manual review
propeller_archive_rotor_spec_retune_physical_budget_acceptance_source,playable_boundary,source_description,,,,,,Physical budget acceptance is simulation review material and does not export playable references while compressibility review remains required.,text,,,,,,,,,,,,,,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,leak_guard,playable reference stays false
propeller_archive_rotor_spec_retune_physical_budget_acceptance_source,runtime_boundary,source_description,,,,,,Physical budget acceptance never enables direct config patching runtime coupling or gameplay auto apply.,text,,,,,,,,,,,,,,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,leak_guard,audit material only
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,current_retune_validation_blocked,validation_acceptance_ready,,,,,,false,boolean,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,current_physical_budget,current validation rows are not planned
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,current_retune_validation_blocked,reynolds_budget_available,,,,,,false,boolean,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,current_physical_budget,no upstream Reynolds rows
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,current_retune_validation_blocked,compressibility_impact_available,,,,,,false,boolean,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,current_physical_budget,no upstream compressibility rows
propeller_archive_rotor_spec_retune_physical_budget_acceptance_scenario,current_retune_validation_blocked,physical_budget_available,,,,,,false,boolean,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalBudgetAcceptanceGate.java,current_physical_budget,no physical budget rows
