row_type,scenario_name,preset_name,rotor_count,metric,value,unit,current_value,candidate_value,delta,ratio,manual_patch_review_allowed,config_patch_allowed,runtime_coupling_allowed,gameplay_auto_apply_allowed,status,message,source_file,evidence_role,note
propeller_archive_rotor_spec_retune_physical_impact_source,source_fingerprint,source_description,,source_description,PropellerArchiveSourceFingerprint identifies archive identity before reviewed import.,text,,,,,,,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveSourceFingerprint.java,source_identity,raw rows remain outside repository
propeller_archive_rotor_spec_retune_physical_impact_source,manual_patch_review,source_description,,source_description,PropellerArchiveRotorSpecRetuneManualPatchReview supplies validation-accepted current-vs-candidate fields.,text,,,,,,,BLOCKED,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneManualPatchReview.java,manual_review,current review is blocked
propeller_archive_rotor_spec_retune_physical_impact_source,drone_config,source_description,,source_description,DroneConfig supplies mass gravity rotor count and current representative rotor values.,text,,,,,,,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,current_config,no config mutation is emitted
propeller_archive_rotor_spec_retune_physical_impact_source,rotor_spec,source_description,,source_description,RotorSpec supplies thrust coefficient yaw torque arm radius max thrust and derived max omega.,text,,,,,,,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/RotorSpec.java,rotor_physics,preview builds candidate rotor in memory only
propeller_archive_rotor_spec_retune_physical_impact_source,physics_formula,source_description,,source_description,Preview uses hover thrust per rotor mass*g/rotor_count omega sqrt(T/kT) disk loading T/(pi*r^2) and yaw torque T*yawArm.,text,,,,,,,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,formula_boundary,offline diagnostic formulas
propeller_archive_rotor_spec_retune_physical_impact_source,runtime_boundary,source_description,,source_description,Physical impact preview never enables direct config patching runtime coupling or gameplay auto apply.,text,,,,,,,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,leak_guard,diagnostic material only
propeller_archive_rotor_spec_retune_physical_impact_scenario,current_retune_validation_blocked,,0,validation_acceptance_ready,false,boolean,,,,false,false,false,false,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,current_impact_preview,current validation rows are not planned
propeller_archive_rotor_spec_retune_physical_impact_scenario,current_retune_validation_blocked,,0,manual_patch_review_allowed,false,boolean,,,,false,false,false,false,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,current_impact_preview,manual review remains closed
propeller_archive_rotor_spec_retune_physical_impact_scenario,current_retune_validation_blocked,,0,impact_preview_available,false,boolean,,,,false,false,false,false,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,current_impact_preview,no impact rows
propeller_archive_rotor_spec_retune_physical_impact_scenario,current_retune_validation_blocked,,0,impact_row_count,0,count,,,,false,false,false,false,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,current_impact_preview,no impact rows
propeller_archive_rotor_spec_retune_physical_impact_scenario,current_retune_validation_blocked,,0,max_hover_rpm_delta_abs,0.0,rpm,,,,false,false,false,false,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,current_impact_preview,no accepted candidate rows
propeller_archive_rotor_spec_retune_physical_impact_scenario,current_retune_validation_blocked,,0,max_hover_rpm_ratio_error,0.0,ratio,,,,false,false,false,false,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,current_impact_preview,no accepted candidate rows
propeller_archive_rotor_spec_retune_physical_impact_scenario,current_retune_validation_blocked,,0,max_disk_loading_ratio_error,0.0,ratio,,,,false,false,false,false,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,current_impact_preview,no accepted candidate rows
propeller_archive_rotor_spec_retune_physical_impact_scenario,current_retune_validation_blocked,,0,max_hover_yaw_torque_ratio_error,0.0,ratio,,,,false,false,false,false,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,current_impact_preview,no accepted candidate rows
propeller_archive_rotor_spec_retune_physical_impact_scenario,current_retune_validation_blocked,,0,config_patch_allowed_count,0,count,,,,false,false,false,false,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,current_impact_preview,direct config patch remains closed
propeller_archive_rotor_spec_retune_physical_impact_scenario,current_retune_validation_blocked,,0,runtime_coupling_allowed_count,0,count,,,,false,false,false,false,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,current_impact_preview,runtime coupling remains closed
propeller_archive_rotor_spec_retune_physical_impact_scenario,current_retune_validation_blocked,,0,gameplay_auto_apply_allowed_count,0,count,,,,false,false,false,false,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,current_impact_preview,playable auto apply remains closed
propeller_archive_rotor_spec_retune_physical_impact_scenario,current_retune_validation_blocked,,0,message,validation-run-not-planned,text,,,,false,false,false,false,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,current_impact_preview,current validation gate blocks preview
propeller_archive_rotor_spec_retune_physical_impact_scenario,synthetic_ready_validation_results_missing,,0,validation_acceptance_ready,false,boolean,,,,false,false,false,false,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,missing_results_impact_preview,validation results are missing
propeller_archive_rotor_spec_retune_physical_impact_scenario,synthetic_ready_validation_results_missing,,0,manual_patch_review_allowed,false,boolean,,,,false,false,false,false,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,missing_results_impact_preview,manual review remains closed
propeller_archive_rotor_spec_retune_physical_impact_scenario,synthetic_ready_validation_results_missing,,0,impact_preview_available,false,boolean,,,,false,false,false,false,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,missing_results_impact_preview,no impact rows
propeller_archive_rotor_spec_retune_physical_impact_scenario,synthetic_ready_validation_results_missing,,0,impact_row_count,0,count,,,,false,false,false,false,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,missing_results_impact_preview,no impact rows before results
propeller_archive_rotor_spec_retune_physical_impact_scenario,synthetic_ready_validation_results_missing,,0,max_hover_rpm_delta_abs,0.0,rpm,,,,false,false,false,false,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,missing_results_impact_preview,no accepted candidate rows
propeller_archive_rotor_spec_retune_physical_impact_scenario,synthetic_ready_validation_results_missing,,0,max_hover_rpm_ratio_error,0.0,ratio,,,,false,false,false,false,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,missing_results_impact_preview,no accepted candidate rows
propeller_archive_rotor_spec_retune_physical_impact_scenario,synthetic_ready_validation_results_missing,,0,max_disk_loading_ratio_error,0.0,ratio,,,,false,false,false,false,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,missing_results_impact_preview,no accepted candidate rows
propeller_archive_rotor_spec_retune_physical_impact_scenario,synthetic_ready_validation_results_missing,,0,max_hover_yaw_torque_ratio_error,0.0,ratio,,,,false,false,false,false,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,missing_results_impact_preview,no accepted candidate rows
propeller_archive_rotor_spec_retune_physical_impact_scenario,synthetic_ready_validation_results_missing,,0,config_patch_allowed_count,0,count,,,,false,false,false,false,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,missing_results_impact_preview,direct config patch remains closed
propeller_archive_rotor_spec_retune_physical_impact_scenario,synthetic_ready_validation_results_missing,,0,runtime_coupling_allowed_count,0,count,,,,false,false,false,false,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,missing_results_impact_preview,runtime coupling remains closed
propeller_archive_rotor_spec_retune_physical_impact_scenario,synthetic_ready_validation_results_missing,,0,gameplay_auto_apply_allowed_count,0,count,,,,false,false,false,false,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,missing_results_impact_preview,playable auto apply remains closed
propeller_archive_rotor_spec_retune_physical_impact_scenario,synthetic_ready_validation_results_missing,,0,message,validation-result-set-incomplete,text,,,,false,false,false,false,BLOCKED,validation-result-set-incomplete,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,missing_results_impact_preview,planned validation rows need explicit results
propeller_archive_rotor_spec_retune_physical_impact_scenario,synthetic_ready_validation_all_pass,,0,validation_acceptance_ready,true,boolean,,,,true,false,false,false,READY,retune-physical-impact-preview-ready,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,all_pass_impact_preview,validation accepted
propeller_archive_rotor_spec_retune_physical_impact_scenario,synthetic_ready_validation_all_pass,,0,manual_patch_review_allowed,true,boolean,,,,true,false,false,false,READY,retune-physical-impact-preview-ready,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,all_pass_impact_preview,manual review material exists
propeller_archive_rotor_spec_retune_physical_impact_scenario,synthetic_ready_validation_all_pass,,0,impact_preview_available,true,boolean,,,,true,false,false,false,READY,retune-physical-impact-preview-ready,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,all_pass_impact_preview,impact preview rows exist
