row_type,scenario_name,preset_name,ambient_temperature_celsius,speed_of_sound_mps,current_hover_tip_mach,candidate_hover_tip_mach,current_max_tip_mach,candidate_max_tip_mach,hover_tip_mach_limit,max_tip_mach_limit,compressibility_onset_mach,candidate_hover_mach_within_budget,candidate_max_mach_within_budget,candidate_max_compressibility_review_required,tip_mach_budget_accepted,manual_patch_review_allowed,config_patch_allowed,runtime_coupling_allowed,gameplay_auto_apply_allowed,status,message,source_file,evidence_role,note
propeller_archive_rotor_spec_retune_tip_mach_budget_source,source_fingerprint,source_description,,,,,,,,,,PropellerArchiveSourceFingerprint identifies archive identity before reviewed import.,text,,,,,,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveSourceFingerprint.java,source_identity,raw rows remain outside repository
propeller_archive_rotor_spec_retune_tip_mach_budget_source,physical_impact_preview,source_description,,,,,,,,,,PropellerArchiveRotorSpecRetunePhysicalImpactPreview supplies hover and max RPM plus tip-speed diagnostics.,text,,,,,,BLOCKED,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetunePhysicalImpactPreview.java,impact_preview,current impact preview is blocked
propeller_archive_rotor_spec_retune_tip_mach_budget_source,drone_environment,source_description,,,,,,,,,,DroneEnvironment.speedOfSoundMetersPerSecond supplies the temperature-dependent speed of sound.,text,,,,,,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneEnvironment.java,atmosphere_model,15C budget reference
propeller_archive_rotor_spec_retune_tip_mach_budget_source,drone_physics,source_description,,,,,,,,,,DronePhysics starts rotor compressibility intensity at tip Mach 0.46 and applies thrust load torque and vibration effects.,text,,,,,,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,compressibility_model,budget gate mirrors compressibility onset
propeller_archive_rotor_spec_retune_tip_mach_budget_source,budget_limits,source_description,,,,,,,,,,Hover tip Mach limit is 0.35 and max tip Mach limit is 0.70 for pre-patch retune budget review.,text,,,,,,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,budget_thresholds,accepted rows may still need compressibility review
propeller_archive_rotor_spec_retune_tip_mach_budget_source,runtime_boundary,source_description,,,,,,,,,,Tip-Mach budget gate never enables direct config patching runtime coupling or gameplay auto apply.,text,,,,,,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,leak_guard,audit material only
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,current_retune_validation_blocked,validation_acceptance_ready,,,false,boolean,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,current_tip_mach_budget,current validation rows are not planned
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,current_retune_validation_blocked,impact_preview_available,,,false,boolean,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,current_tip_mach_budget,no impact preview rows
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,current_retune_validation_blocked,tip_mach_budget_available,,,false,boolean,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,current_tip_mach_budget,no budget rows
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,current_retune_validation_blocked,budget_row_count,,,0,count,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,current_tip_mach_budget,no budget rows
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,current_retune_validation_blocked,tip_mach_budget_accepted_count,,,0,count,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,current_tip_mach_budget,no accepted budget rows
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,current_retune_validation_blocked,compressibility_review_required_count,,,0,count,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,current_tip_mach_budget,no candidate rows
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,current_retune_validation_blocked,max_candidate_hover_tip_mach,,,0.0,mach,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,current_tip_mach_budget,no candidate rows
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,current_retune_validation_blocked,max_candidate_max_tip_mach,,,0.0,mach,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,current_tip_mach_budget,no candidate rows
propeller_archive_rotor_spec_retune_tip_mach_budget_scenario,current_retune_validation_blocked,min_candidate_hover_mach_margin,,,0.0,mach,,,,,,false,false,false,false,false,false,false,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,current_tip_mach_budget,no candidate rows
