row_type,name,metric,value,unit,source_file,header_columns,data_rows,current_satisfied,required_for_reviewed_import,blocks_current_import,status,next_required_action,note
propeller_archive_source_fingerprint_archive,archive.zip,archive_sha256,f234863d7a0c29f44733bc818790c75616a61a2980fc30577a43122cc2cd1b2b,sha256,user_supplied_archive_zip,not_applicable,0,true,true,false,READY,review-source-license-before-importing-raw-rows,external archive identity captured raw rows not vendored
propeller_archive_source_fingerprint_entry,volume1_exp.csv,entry_sha256,4af1490043202ebbebe446898eb5d75af0c8218cf2cc6ed928d628053f097cfb,sha256,user_supplied_archive_zip,PropName;BladeName;Family;B;D;P;J;N;CT;CP;eta,16455,true,true,false,READY,compare-entry-hashes-before-row-normalization,uncompressed_bytes=1335172 compressed_bytes=189118
propeller_archive_source_fingerprint_entry,volume1_geom.csv,entry_sha256,e7d0f9af7bc013e1a32d3a459fb8159f371a6969dd5c069aae1096d5f2e77172,sha256,user_supplied_archive_zip,BladeName;Family;D;P;c/R;r/R;beta,1422,true,true,false,READY,compare-entry-hashes-before-row-normalization,uncompressed_bytes=64513 compressed_bytes=10468
propeller_archive_source_fingerprint_entry,volume2_exp.csv,entry_sha256,a4b2d9c3f917c16d2bcee44b1239cacfa11ae9590978d476277d87422e6e56bd,sha256,user_supplied_archive_zip,PropName;BladeName;Family;B;D;P;J;N;CT;CP;eta,5050,true,true,false,READY,compare-entry-hashes-before-row-normalization,uncompressed_bytes=483556 compressed_bytes=89060
propeller_archive_source_fingerprint_entry,volume2_geom.csv,entry_sha256,4eed89c2742ec521afc556ea794e5c1db51420e95698a822c2e1d662b0208b48,sha256,user_supplied_archive_zip,BladeName;Family;D;P;c/R;r/R;beta,816,true,true,false,READY,compare-entry-hashes-before-row-normalization,uncompressed_bytes=42103 compressed_bytes=7296
propeller_archive_source_fingerprint_entry,volume3_exp.csv,entry_sha256,6f66d3d0122a9441870904579f3301feff17c97ac3280be5d235cffbd29871ac,sha256,user_supplied_archive_zip,PropName;BladeName;Family;B;D;P;J;N;CT;CP;eta,5990,true,true,false,READY,compare-entry-hashes-before-row-normalization,uncompressed_bytes=550305 compressed_bytes=87372
propeller_archive_source_fingerprint_entry,volume3_geom.csv,entry_sha256,4c917b2673ec38df65b83926f8e35185a2cfe1598b86b3a4de2a069a121bfd09,sha256,user_supplied_archive_zip,BladeName;Family;D;P;c/R;r/R;beta,78,true,true,false,READY,compare-entry-hashes-before-row-normalization,uncompressed_bytes=4572 compressed_bytes=616
propeller_archive_source_fingerprint_schema,performance,data_rows,27495,count,user_supplied_archive_zip,PropName;BladeName;Family;B;D;P;J;N;CT;CP;eta,27495,true,true,false,READY,validate-performance-and-geometry-headers,column_count=11 entry_count=3 import_contract_scope=PropellerArchiveFitImportContract.performance
propeller_archive_source_fingerprint_schema,geometry,data_rows,2316,count,user_supplied_archive_zip,BladeName;Family;D;P;c/R;r/R;beta,2316,true,true,false,READY,validate-performance-and-geometry-headers,column_count=7 entry_count=3 import_contract_scope=PropellerArchiveFitImportContract.geometry
propeller_archive_source_fingerprint_boundary,archive_sha256_known,current_satisfied,true,boolean,user_supplied_archive_zip,not_applicable,0,true,true,false,READY,compare-local-archive-hash-before-reviewed-import,archive identity gate is satisfied for the observed external zip
