row_type,name,source,paper,doi,api,class_count,data_file_count,sensorcombined_file_count,audiobuffer_file_count,imu_file_count,sensorcombined_sample_count_per_class,audiobuffer_sample_count_per_class,imu_sample_count_per_class,total_size_mb,readme_excerpt,note,fault_class,broken_propeller_count,mission_count_sensorcombined,audio_file_count,magnetic_file_count,sensorcombined_size_mb,audiobuffer_size_mb,total_class_size_mb,sample_sensorcombined_path,sample_audio_path,sample_imu_path,sampled_sensorcombined_count,sampled_audiobuffer_count,sampled_imu_count,file_path,mission_name,sample_index_within_class,valid_imu_rows,frame_id_count,frame_ids,gyro_two_axis_dynamic_rms_rad_s,accel_two_axis_dynamic_rms_m_s2,strongest_gyro_frame_id,strongest_gyro_frame_rows,strongest_gyro_frame_dynamic_rms_rad_s,strongest_accel_frame_id,strongest_accel_frame_rows,strongest_accel_frame_dynamic_rms_m_s2,gyro_two_axis_dynamic_rms_ratio_vs_class0,accel_two_axis_dynamic_rms_ratio_vs_class0,strongest_gyro_frame_dynamic_rms_ratio_vs_class0,strongest_accel_frame_dynamic_rms_ratio_vs_class0,audio_buffer_count,total_payload_values,buffer_length_median_values,buffer_length_min_values,buffer_length_max_values,recording_started_time,unique_recording_started_time_count,payload_mean,payload_std,payload_rms,payload_min,payload_max,payload_zero_fraction,payload_near_clip_16bit_fraction,payload_abs_p50,payload_abs_p90,payload_abs_p95,payload_abs_p99,payload_abs_p999,block_rms_median,block_rms_p95,block_rms_max,phase0_rms,phase1_rms,phase2_rms,phase3_rms,phase4_rms,phase5_rms,phase0_zero_fraction,phase1_zero_fraction,phase2_zero_fraction,phase3_zero_fraction,phase4_zero_fraction,phase5_zero_fraction,payload_rms_ratio_vs_class0,payload_abs_p99_ratio_vs_class0,block_rms_median_ratio_vs_class0,phase0_rms_ratio_vs_class0,valid_sample_rows,duration_s,median_timestamp_dt_us,timestamp_sample_rate_hz,median_gyro_integral_dt_us,gyro_integral_rate_hz,median_accel_integral_dt_us,accel_integral_rate_hz,gyro_mean_x_rad_s,gyro_mean_y_rad_s,gyro_mean_z_rad_s,gyro_std_x_rad_s,gyro_std_y_rad_s,gyro_std_z_rad_s,gyro_vector_dynamic_rms_rad_s,accel_mean_x_m_s2,accel_mean_y_m_s2,accel_mean_z_m_s2,accel_std_x_m_s2,accel_std_y_m_s2,accel_std_z_m_s2,accel_vector_dynamic_rms_m_s2,accel_norm_mean_m_s2,accelerometer_clipping_count,gyro_vector_dynamic_rms_ratio_vs_class0,accel_vector_dynamic_rms_ratio_vs_class0,sample_count,mission_names,valid_sample_rows_total,duration_s_total,duration_s_median,timestamp_sample_rate_hz_median,gyro_integral_rate_hz_median,accel_integral_rate_hz_median,gyro_vector_dynamic_rms_rad_s_median,gyro_vector_dynamic_rms_rad_s_min,gyro_vector_dynamic_rms_rad_s_max,accel_vector_dynamic_rms_m_s2_median,accel_vector_dynamic_rms_m_s2_min,accel_vector_dynamic_rms_m_s2_max,accel_norm_mean_m_s2_median,accelerometer_clipping_count_total,gyro_vector_dynamic_rms_ratio_vs_class0_median,accel_vector_dynamic_rms_ratio_vs_class0_median,valid_imu_rows_total,frame_id_count_max,gyro_two_axis_dynamic_rms_rad_s_median,accel_two_axis_dynamic_rms_m_s2_median,strongest_gyro_frame_dynamic_rms_rad_s_max,strongest_accel_frame_dynamic_rms_m_s2_max,gyro_two_axis_dynamic_rms_ratio_vs_class0_median,accel_two_axis_dynamic_rms_ratio_vs_class0_median,strongest_gyro_frame_dynamic_rms_ratio_vs_class0_max,strongest_accel_frame_dynamic_rms_ratio_vs_class0_max,vehicle_count,vehicles,csv_file_count,csv_size_mb,readme_file_count,sampled_subset,per_vehicle_csv_inventory,file_name_pattern,vehicle,transform,window,frequency_bin_range,label,condition,axis,feature_row_count,feature_column_count,feature_value_count,feature_mean,feature_rms,feature_max,fault_summary,axis_count,feature_row_count_per_axis,feature_column_count_per_axis,x_feature_rms,y_feature_rms,z_feature_rms,xyz_feature_rms,xyz_feature_rms_ratio_vs_healthy,xyz_feature_rms_excess_percent_vs_healthy,x_feature_rms_ratio_vs_healthy,y_feature_rms_ratio_vs_healthy,z_feature_rms_ratio_vs_healthy,license,zip_file_name,zip_size_bytes,figshare_size_bytes,zip_size_matches_api,excel_case_count,local_data_dir,file_name,fault_type,rotor_position,blade_modification,header,time_start_s,time_end_s,median_dt_s,sample_rate_hz,nyquist_hz,mean_x_m_s2,mean_y_m_s2,mean_z_m_s2,std_x_m_s2,std_y_m_s2,std_z_m_s2,raw_rms_x_m_s2,raw_rms_y_m_s2,raw_rms_z_m_s2,peak_abs_dynamic_x_m_s2,peak_abs_dynamic_y_m_s2,peak_abs_dynamic_z_m_s2,vector_dynamic_rms_m_s2,dominant_estimated_two_blade_mechanical_rpm,welch_available,dominant_freq_hz,dominant_psd,welch_segment_count,welch_nperseg,top_vector_peak_freqs_hz,band_5_60hz_vector_rms,band_60_120hz_vector_rms,band_120_240hz_vector_rms,band_240_500hz_vector_rms,std_x_ratio_vs_healthy,std_y_ratio_vs_healthy,std_z_ratio_vs_healthy,vector_dynamic_rms_ratio_vs_healthy,dominant_psd_ratio_vs_healthy,band_5_60hz_rms_ratio_vs_healthy,band_60_120hz_rms_ratio_vs_healthy,band_120_240hz_rms_ratio_vs_healthy,band_240_500hz_rms_ratio_vs_healthy,dominant_freq_delta_vs_healthy_hz,vector_dynamic_rms_excess_percent_vs_healthy,rotor_health,spin_ratio,rotor_health_thrust_scale,effective_imbalance_intensity,rotor_damage_vibration,dataset,dataset_sample_rate_hz,dataset_nyquist_hz,dataset_dominant_freq_hz,dataset_two_blade_estimated_rpm,racing_hover_blade_pass_hz,racing_max_blade_pass_hz,racing_hover_bpf_over_dataset_nyquist,racing_max_bpf_over_dataset_nyquist,preset,dataset_healthy_dominant_freq_hz,configured_blade_count,hover_motor_hz,max_motor_hz,hover_blade_pass_hz,max_blade_pass_hz,hover_motor_alias_hz,max_motor_alias_hz,hover_blade_pass_alias_hz,max_blade_pass_alias_hz,hover_blade_pass_directly_observable,max_blade_pass_directly_observable,hover_blade_pass_over_dataset_nyquist,max_blade_pass_over_dataset_nyquist,hover_alias_delta_to_dataset_peak_hz,max_alias_delta_to_dataset_peak_hz
uav_realistic_fault_dataset_inventory,UAV Realistic Fault Dataset,https://github.com/tiiuae/UAV-Realistic-Fault-Dataset,https://secplab.ppgia.pucpr.br/files/papers/2023icra.pdf,https://doi.org/10.1109/ICRA48891.2023.10161183,https://api.github.com/repos/tiiuae/UAV-Realistic-Fault-Dataset/git/trees/main?recursive=1,5,216,99,99,9,3,1,2,3475.290487,"# UAV-Realistic-Fault-Dataset This data set is released with the publication **Towards a Reliable and Lightweight Onboard Fault Detection in Autonomous Unmanned Aerial Vehicles**, which is accepted at [ICRA 2023](https://www.icra2023.org/). Propeller are an","Indoor takeoff-to-landing missions with 0-4 broken propellers; script samples up to 3 SensorCombined JSONL files, 1 AudioBuffer JSONL file, and 2 raw Imu JSONL files per class.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uav_realistic_fault_class_inventory,UAV realistic fault class 0,https://github.com/tiiuae/UAV-Realistic-Fault-Dataset,https://secplab.ppgia.pucpr.br/files/papers/2023icra.pdf,,,,,,,2,,,,,,Class label equals number of broken propellers according to the dataset README.,0,0,19,19,2,88.079252,510.292545,618.40843,Dataset/0/rosbag2_2021_12_22-09_14_31/rosbag2_2021_12_22-09_14_31-SensorCombined.jsonl,Dataset/0/rosbag2_2021_12_22-09_14_31/rosbag2_2021_12_22-09_14_31-AudioBuffer.jsonl,Dataset/0/rosbag2_2021_12_22-09_14_31/rosbag2_2021_12_22-09_14_31-Imu.jsonl,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uav_realistic_fault_class_inventory,UAV realistic fault class 1,https://github.com/tiiuae/UAV-Realistic-Fault-Dataset,https://secplab.ppgia.pucpr.br/files/papers/2023icra.pdf,,,,,,,2,,,,,,Class label equals number of broken propellers according to the dataset README.,1,1,20,20,2,97.302365,604.24878,713.713174,Dataset/1/rosbag2_2021_12_22-09_21_12/rosbag2_2021_12_22-09_21_12-SensorCombined.jsonl,Dataset/1/rosbag2_2021_12_22-09_21_12/rosbag2_2021_12_22-09_21_12-AudioBuffer.jsonl,Dataset/1/rosbag2_2021_12_22-09_21_12/rosbag2_2021_12_22-09_21_12-Imu.jsonl,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uav_realistic_fault_class_inventory,UAV realistic fault class 2,https://github.com/tiiuae/UAV-Realistic-Fault-Dataset,https://secplab.ppgia.pucpr.br/files/papers/2023icra.pdf,,,,,,,2,,,,,,Class label equals number of broken propellers according to the dataset README.,2,2,20,20,2,94.643596,596.324607,709.579303,Dataset/2/rosbag2_2021_12_22-09_35_36/rosbag2_2021_12_22-09_35_36-SensorCombined.jsonl,Dataset/2/rosbag2_2021_12_22-09_35_36/rosbag2_2021_12_22-09_35_36-AudioBuffer.jsonl,Dataset/2/rosbag2_2021_12_22-09_35_36/rosbag2_2021_12_22-09_35_36-Imu.jsonl,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uav_realistic_fault_class_inventory,UAV realistic fault class 3,https://github.com/tiiuae/UAV-Realistic-Fault-Dataset,https://secplab.ppgia.pucpr.br/files/papers/2023icra.pdf,,,,,,,2,,,,,,Class label equals number of broken propellers according to the dataset README.,3,3,20,20,2,95.676549,613.941256,730.400123,Dataset/3/rosbag2_2021_12_22-09_40_31/rosbag2_2021_12_22-09_40_31-SensorCombined.jsonl,Dataset/3/rosbag2_2021_12_22-09_40_31/rosbag2_2021_12_22-09_40_31-AudioBuffer.jsonl,Dataset/3/rosbag2_2021_12_22-09_40_31/rosbag2_2021_12_22-09_40_31-Imu.jsonl,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uav_realistic_fault_class_inventory,UAV realistic fault class 4,https://github.com/tiiuae/UAV-Realistic-Fault-Dataset,https://secplab.ppgia.pucpr.br/files/papers/2023icra.pdf,,,,,,,1,,,,,,Class label equals number of broken propellers according to the dataset README.,4,4,20,20,1,94.240854,605.809066,703.189457,Dataset/4/rosbag2_2021_12_22-09_48_32/rosbag2_2021_12_22-09_48_32-SensorCombined.jsonl,Dataset/4/rosbag2_2021_12_22-09_48_32/rosbag2_2021_12_22-09_48_32-AudioBuffer.jsonl,Dataset/4/rosbag2_2021_12_22-09_48_32/rosbag2_2021_12_22-09_48_32-Imu.jsonl,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uav_realistic_fault_imu_summary,UAV realistic fault class 0 Imu sample,https://github.com/tiiuae/UAV-Realistic-Fault-Dataset,https://secplab.ppgia.pucpr.br/files/papers/2023icra.pdf,https://doi.org/10.1109/ICRA48891.2023.10161183,,,,,,,,,,,,"Raw Imu JSONL messages report frame_id-specific x/z angular velocity and linear acceleration without timestamps; use as a local vibration/sensor-layout amplitude source, not a rate-calibrated time-series summary.",0,0,,,,,,,,,,,,,Dataset/0/rosbag2_2021_12_22-09_14_31/rosbag2_2021_12_22-09_14_31-Imu.jsonl,rosbag2_2021_12_22-09_14_31,1,22997,4,/phidget_1; /phidget_2; /phidget_3; /phidget_4,9.285722176340528,1.7182301850504396,/phidget_1,8277,9.86458330808043,/phidget_4,6363,1.8576502740334264,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uav_realistic_fault_imu_summary,UAV realistic fault class 0 Imu sample,https://github.com/tiiuae/UAV-Realistic-Fault-Dataset,https://secplab.ppgia.pucpr.br/files/papers/2023icra.pdf,https://doi.org/10.1109/ICRA48891.2023.10161183,,,,,,,,,,,,"Raw Imu JSONL messages report frame_id-specific x/z angular velocity and linear acceleration without timestamps; use as a local vibration/sensor-layout amplitude source, not a rate-calibrated time-series summary.",0,0,,,,,,,,,,,,,Dataset/0/rosbag2_2021_12_22-09_17_33/rosbag2_2021_12_22-09_17_33-Imu.jsonl,rosbag2_2021_12_22-09_17_33,2,15112,4,/phidget_1; /phidget_2; /phidget_3; /phidget_4,9.706476805940673,1.5447951382032543,/phidget_1,7345,10.124702835839493,/phidget_3,7344,1.5750595604839637,1.0453119985295494,0.899061808856481,1.0263690335045363,0.8478773332636572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uav_realistic_fault_imu_summary,UAV realistic fault class 1 Imu sample,https://github.com/tiiuae/UAV-Realistic-Fault-Dataset,https://secplab.ppgia.pucpr.br/files/papers/2023icra.pdf,https://doi.org/10.1109/ICRA48891.2023.10161183,,,,,,,,,,,,"Raw Imu JSONL messages report frame_id-specific x/z angular velocity and linear acceleration without timestamps; use as a local vibration/sensor-layout amplitude source, not a rate-calibrated time-series summary.",1,1,,,,,,,,,,,,,Dataset/1/rosbag2_2021_12_22-09_21_12/rosbag2_2021_12_22-09_21_12-Imu.jsonl,rosbag2_2021_12_22-09_21_12,1,12361,4,/phidget_1; /phidget_2; /phidget_3; /phidget_4,9.160710244846058,1.8577481988901614,/phidget_1,8697,9.71868011833222,/phidget_3,3048,1.8085654892945016,0.9865371880484436,1.0811986746907407,0.9852093914976929,0.9735769507183129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uav_realistic_fault_imu_summary,UAV realistic fault class 1 Imu sample,https://github.com/tiiuae/UAV-Realistic-Fault-Dataset,https://secplab.ppgia.pucpr.br/files/papers/2023icra.pdf,https://doi.org/10.1109/ICRA48891.2023.10161183,,,,,,,,,,,,"Raw Imu JSONL messages report frame_id-specific x/z angular velocity and linear acceleration without timestamps; use as a local vibration/sensor-layout amplitude source, not a rate-calibrated time-series summary.",1,1,,,,,,,,,,,,,Dataset/1/rosbag2_2021_12_22-09_23_49/rosbag2_2021_12_22-09_23_49-Imu.jsonl,rosbag2_2021_12_22-09_23_49,2,10759,4,/phidget_1; /phidget_2; /phidget_3; /phidget_4,9.537555818354967,1.4637277772268207,/phidget_1,9732,9.76392656836558,/phidget_1,9732,1.4708554428714338,1.0271205230171647,0.8518810750515666,0.9897961488517818,0.7917827501932515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
