row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
ratm_accel_drag_packet_source_inventory,RATM_high_speed_window_residual_inputs,source_dataset,Race Against the Machine drone racing dataset,text,docs/data/ratm_accel_drag_residual_packet.csv,https://raw.githubusercontent.com/tii-racing/drone-racing-dataset/main/README.md,source_inventory,Inputs are existing local RATM range-extraction outputs plus current racingQuad airframe-drag reference rows.
ratm_accel_drag_packet_source_inventory,RATM_high_speed_window_residual_inputs,paper_doi,https://doi.org/10.1109/LRA.2024.3371288,url,docs/data/ratm_accel_drag_residual_packet.csv,https://doi.org/10.1109/LRA.2024.3371288,source_inventory,Inputs are existing local RATM range-extraction outputs plus current racingQuad airframe-drag reference rows.
ratm_accel_drag_packet_source_inventory,RATM_high_speed_window_residual_inputs,source_window_reference,docs/data/ratm_high_speed_window_reference.csv,path,docs/data/ratm_accel_drag_residual_packet.csv,docs/data/ratm_high_speed_window_reference.csv,source_inventory,Inputs are existing local RATM range-extraction outputs plus current racingQuad airframe-drag reference rows.
ratm_accel_drag_packet_source_inventory,RATM_high_speed_window_residual_inputs,source_flight_metrics,docs/data/ratm_high_speed_flight_metrics.csv,path,docs/data/ratm_accel_drag_residual_packet.csv,docs/data/ratm_high_speed_flight_metrics.csv,source_inventory,Inputs are existing local RATM range-extraction outputs plus current racingQuad airframe-drag reference rows.
ratm_accel_drag_packet_source_inventory,RATM_high_speed_window_residual_inputs,source_airframe_reference,docs/data/airframe_drag_reference.csv,path,docs/data/ratm_accel_drag_residual_packet.csv,docs/data/airframe_drag_reference.csv,source_inventory,Inputs are existing local RATM range-extraction outputs plus current racingQuad airframe-drag reference rows.
ratm_accel_drag_packet_source_inventory,RATM_high_speed_window_residual_inputs,window_count,6,count,docs/data/ratm_accel_drag_residual_packet.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,source_inventory,Inputs are existing local RATM range-extraction outputs plus current racingQuad airframe-drag reference rows.
ratm_accel_drag_packet_source_inventory,RATM_high_speed_window_residual_inputs,window_sample_count,6006,count,docs/data/ratm_accel_drag_residual_packet.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,source_inventory,Inputs are existing local RATM range-extraction outputs plus current racingQuad airframe-drag reference rows.
ratm_accel_drag_packet_source_inventory,RATM_high_speed_window_residual_inputs,sync_rate_hz,500,Hz,docs/data/ratm_accel_drag_residual_packet.csv,https://raw.githubusercontent.com/tii-racing/drone-racing-dataset/main/README.md,source_inventory,Inputs are existing local RATM range-extraction outputs plus current racingQuad airframe-drag reference rows.
ratm_accel_drag_packet_source_inventory,RATM_high_speed_window_residual_inputs,high_speed_threshold_m_s,21,m/s,docs/data/ratm_accel_drag_residual_packet.csv,https://raw.githubusercontent.com/tii-racing/drone-racing-dataset/main/README.md,source_inventory,Inputs are existing local RATM range-extraction outputs plus current racingQuad airframe-drag reference rows.
ratm_accel_drag_packet_source_inventory,RATM_high_speed_window_residual_inputs,held_speed_rate_threshold_m_s2,5,m/s^2,docs/data/ratm_accel_drag_residual_packet.csv,docs/data/ratm_accel_drag_residual_packet.csv,source_inventory,Inputs are existing local RATM range-extraction outputs plus current racingQuad airframe-drag reference rows.
ratm_accel_drag_packet_source_inventory,RATM_high_speed_window_residual_inputs,current_racing_mass_kg,1.1,kg,docs/data/ratm_accel_drag_residual_packet.csv,docs/data/airframe_drag_reference.csv,source_inventory,Inputs are existing local RATM range-extraction outputs plus current racingQuad airframe-drag reference rows.
ratm_accel_drag_packet_source_inventory,RATM_high_speed_window_residual_inputs,current_racing_drag_c_n_per_m_s2,0.1825,N/(m/s)^2,docs/data/ratm_accel_drag_residual_packet.csv,docs/data/airframe_drag_reference.csv,source_inventory,Inputs are existing local RATM range-extraction outputs plus current racingQuad airframe-drag reference rows.
ratm_accel_drag_packet_source_inventory,RATM_high_speed_window_residual_inputs,current_racing_horizontal_margin_n,52.911566175,N,docs/data/ratm_accel_drag_residual_packet.csv,docs/data/airframe_drag_reference.csv,source_inventory,Inputs are existing local RATM range-extraction outputs plus current racingQuad airframe-drag reference rows.
ratm_accel_drag_packet_window_summary,autonomous:flight-04a-ellipse:rank1,window_sample_count,1001,count,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,high_speed_window_residual_summary,Observed speed-rate comes from central differences over the local 500 Hz RATM high-speed window.
ratm_accel_drag_packet_window_summary,autonomous:flight-04a-ellipse:rank1,speed_max_m_s,21.8533357096,m/s,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,high_speed_window_residual_summary,Observed speed-rate comes from central differences over the local 500 Hz RATM high-speed window.
ratm_accel_drag_packet_window_summary,autonomous:flight-04a-ellipse:rank1,speed_p95_m_s,21.5896267739,m/s,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,high_speed_window_residual_summary,Observed speed-rate comes from central differences over the local 500 Hz RATM high-speed window.
ratm_accel_drag_packet_window_summary,autonomous:flight-04a-ellipse:rank1,speed_rate_p05_m_s2,-56.2764623856,m/s^2,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,high_speed_window_residual_summary,Observed speed-rate comes from central differences over the local 500 Hz RATM high-speed window.
ratm_accel_drag_packet_window_summary,autonomous:flight-04a-ellipse:rank1,speed_rate_p50_m_s2,5.19056645865,m/s^2,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,high_speed_window_residual_summary,Observed speed-rate comes from central differences over the local 500 Hz RATM high-speed window.
ratm_accel_drag_packet_window_summary,autonomous:flight-04a-ellipse:rank1,speed_rate_p95_m_s2,47.6251486928,m/s^2,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,high_speed_window_residual_summary,Observed speed-rate comes from central differences over the local 500 Hz RATM high-speed window.
ratm_accel_drag_packet_window_summary,autonomous:flight-04a-ellipse:rank1,observed_decel_p95_m_s2,56.2764623856,m/s^2,docs/data/ratm_high_speed_window_reference.csv,https://github.com/Drone-Racing/drone-racing-dataset/releases/tag/v3.0.0,high_speed_window_residual_summary,Observed speed-rate comes from central differences over the local 500 Hz RATM high-speed window.
