row_type,name,source,equation,note,youngs_modulus_gpa,propeller,method,rpm,out_of_plane_deflection_mm,coning_angle_deg,standard_mean_error_deflection_mm,standard_mean_error_coning_deg,preset,operating_point,rotor_radius_m,arm_variable_m,arm_length_m,thrust_fraction,spin_ratio,current_arm_flex_target,current_arm_full_flex_vertical_deflection_mm,current_arm_flex_vertical_deflection_mm,current_arm_full_flex_tilt_deg,current_arm_flex_tilt_deg,current_arm_flex_natural_frequency_hz,current_arm_flex_damping_ratio,current_arm_flex_vibration,current_coning_target_intensity,current_coning_natural_frequency_hz,current_coning_damping_ratio,current_coning_thrust_scale,current_coning_load_factor,current_coning_vibration,geometry,geometry_use,section_type,outer_width_m,outer_height_m,inner_width_m,inner_height_m,area_m2,second_moment_area_m4,density_kg_m3,tip_mass_kg,load_force_n,cantilever_tip_deflection_mm_at_max_thrust,cantilever_tip_stiffness_n_m,cantilever_first_bending_frequency_hz,code_max_snap_vertical_deflection_mm,beam_deflection_over_code_max_snap,code_arm_flex_frequency_hz_max,beam_frequency_over_code_max
reference_cantilever_tip_load_formula,cantilever end-load deflection,https://ntrs.nasa.gov/api/citations/19690026842/downloads/19690026842.pdf,delta = F * L^3 / (3 * E * I),Used as a first-order arm-bending scale check; actual frame layup/joints/motor mount can dominate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_cantilever_tip_mass_frequency_formula,cantilever tip-mass first bending frequency proxy,https://ntrs.nasa.gov/api/citations/19760006440/downloads/19760006440.pdf,f ~= sqrt((3 E I / L^3) / (0.236 m_beam + m_tip)) / (2 pi),Simple effective-mass approximation for scale comparison with the current resonance parameter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_rotor_coning_background,FAA helicopter rotor coning background,https://www.faa.gov/sites/faa.gov/files/regulations_policies/handbooks_manuals/aviation/helicopter_flying_handbook/hfh_ch02.pdf,,Coning is driven by the balance between rotor lift and centrifugal force; used as qualitative background only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_multicopter_blade_deflection_study,NASA multicopter blade deflection study,https://rotorcraft.arc.nasa.gov/Publications/files/Nowicki_CR-2017-219428_Final.pdf,,Direct small-UAS/multicopter propeller deflection data used as coning-angle magnitude anchors.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_carbon_modulus,quasi-isotropic carbon-fiber laminate low,https://acpcomposites.com/wp-content/uploads/2023/12/Mechanical-Properties-of-Carbon-Fiber-Composite-Materials.pdf,,ACP composite material-property table; used as a conservative bending-modulus proxy.,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_carbon_modulus,quasi-isotropic carbon-fiber laminate high,https://acpcomposites.com/wp-content/uploads/2023/12/Mechanical-Properties-of-Carbon-Fiber-Composite-Materials.pdf,,ACP composite material-property table.,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_carbon_modulus,unidirectional carbon-fiber laminate low,https://acpcomposites.com/wp-content/uploads/2023/12/Mechanical-Properties-of-Carbon-Fiber-Composite-Materials.pdf,,ACP composite material-property table; upper comparison for aligned fiber arms.,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_carbon_modulus,unidirectional carbon-fiber laminate high,https://acpcomposites.com/wp-content/uploads/2023/12/Mechanical-Properties-of-Carbon-Fiber-Composite-Materials.pdf,,ACP composite material-property table; optimistic bending proxy.,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_multicopter_blade_coning_measurement,"T-motor 15x5 carbon fiber propeller, DSLR",https://rotorcraft.arc.nasa.gov/Publications/files/Nowicki_CR-2017-219428_Final.pdf,,NASA CR-2017-219428 Appendix B Table 9.,,T-motor 15x5,DSLR camera,2000.0,0.22,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_multicopter_blade_coning_measurement,"T-motor 15x5 carbon fiber propeller, DSLR",https://rotorcraft.arc.nasa.gov/Publications/files/Nowicki_CR-2017-219428_Final.pdf,,NASA CR-2017-219428 Appendix B Table 9.,,T-motor 15x5,DSLR camera,3500.0,1.44,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
