row_type,name,source,advance_ratio_low,advance_ratio_high,source_context,note,advance_ratio,lift_dissymmetry_start_mu,lift_dissymmetry_full_mu,retreating_blade_stall_start_mu,retreating_blade_stall_full_mu,high_advance_loss_start_mu,high_advance_loss_full_mu,advance_ratio_mu,spin_ratio,thrust_fraction,current_loaded_rotor,current_lift_dissymmetry,current_retreating_blade_stall,current_intensity,current_thrust_scale,current_thrust_loss_percent,current_load_factor,current_vibration,current_reverse_flow_inboard_fraction_r_over_r,preset,speed_m_s,radius_m,hover_rpm,max_rpm,hover_tip_speed_m_s,max_tip_speed_m_s,hover_mu,max_mu,hover_reverse_flow_fraction_r_over_r,max_reverse_flow_fraction_r_over_r,hover_lift_dissymmetry,max_lift_dissymmetry,hover_retreating_blade_stall,max_retreating_blade_stall,hover_intensity,max_intensity,hover_thrust_scale,max_thrust_scale,hover_load_factor,max_load_factor,hover_vibration,max_vibration,hover_retreating_stall_onset_speed_m_s,hover_retreating_stall_full_speed_m_s,max_retreating_stall_onset_speed_m_s,max_retreating_stall_full_speed_m_s
reference_retreating_blade_stall_handbook,FAA Helicopter Flying Handbook,https://www.faa.gov/sites/faa.gov/files/regulations_policies/handbooks_manuals/aviation/helicopter_flying_handbook/hfh_ch11.pdf,,,FAA handbook source for retreating-blade-stall symptoms and high-speed/high-load contributors; qualitative anchor only.,"Use this to validate that retreating-blade stall should be a high-forward-speed/high-load failure mode, not as a numeric multirotor threshold.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_high_advance_ratio_rotor_test,NASA CR-2008-215370 high advance ratio rotor review,https://rotorcraft.arc.nasa.gov/Publications/files/NASA%20CR%202008-215370%20Harris.pdf,0.0,1.0,"NASA rotorcraft report reviewing performance data and theory at high advance ratio, including operation approaching mu=1.",Use as a rotorcraft high-mu range anchor; rotor scale and blade dynamics differ from FPV propellers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_high_advance_ratio_rotor_test,UH-60A slowed rotor high-advance-ratio tests,https://rotorcraft.arc.nasa.gov/Publications/files/A-6-F_Kottapalli.pdf,0.3,1.0,NASA/Army high-advance-ratio slowed-rotor testing; useful for the mu range where reverse flow and stall become major rotor phenomena.,"Use for high-mu/reverse-flow scale, not for direct small-prop CT calibration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_dynamic_stall_mu_0_4,DLR ERF2023 dynamic-stall rotor-code validation,https://elib.dlr.de/191749/1/vanderWall%20-%20ERF2023_0001_vanderWall.pdf,,,DLR paper uses model-rotor measurements at mu=0.4 to validate dynamic-stall computation.,Current Java retreating-blade-stall onset at mu=0.42 is in the same neighborhood as this published high-advance/dynamic-stall validation point.,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_code_thresholds,DronePhysics blade dissymmetry thresholds,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Mirrors calculateSteadyRotorBladeDissymmetryAerodynamics and nearby high-advance loss gates in DronePhysics.,,0.08,0.34,0.42,0.82,0.46,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_dissymmetry_curve,current_curve_mu_0.00,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Mirrors current steady blade-dissymmetry/retreating-blade-stall formula at full spin and full thrust fraction.,,,,,,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_dissymmetry_curve,current_curve_mu_0.08,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Mirrors current steady blade-dissymmetry/retreating-blade-stall formula at full spin and full thrust fraction.,,,,,,,,0.08,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_dissymmetry_curve,current_curve_mu_0.18,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Mirrors current steady blade-dissymmetry/retreating-blade-stall formula at full spin and full thrust fraction.,,,,,,,,0.18,1.0,1.0,1.0,0.3299954483386436,0.0,0.3299954483386436,0.9917501137915339,0.8249886208466117,0.011549840691852527,0.00824988620846609,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_dissymmetry_curve,current_curve_mu_0.34,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Mirrors current steady blade-dissymmetry/retreating-blade-stall formula at full spin and full thrust fraction.,,,,,,,,0.34,1.0,1.0,1.0,1.0,0.0,1.0,0.975,2.500000000000002,0.035,0.025,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_dissymmetry_curve,current_curve_mu_0.42,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,Mirrors current steady blade-dissymmetry/retreating-blade-stall formula at full spin and full thrust fraction.,,,,,,,,0.42,1.0,1.0,1.0,1.0,0.0,1.0,0.975,2.500000000000002,0.035,0.025,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
