row_type,name,source,uiuc_j,code_mu_equivalent,ct_ratio_static_fit,cp_ratio_static_fit,qt_ratio_static_fit,fit_within_source_j_range,note,ct_ratio_static_fit_mean,ct_ratio_static_fit_min,ct_ratio_static_fit_max,cp_ratio_static_fit_mean,cp_ratio_static_fit_min,cp_ratio_static_fit_max,qt_ratio_static_fit_mean,qt_ratio_static_fit_min,qt_ratio_static_fit_max,speed_m_s,operating_point,hover_rpm,tip_speed_m_s,code_advance_ratio_mu,uiuc_equivalent_j,uiuc_5in_ct_ratio_fit_mean,uiuc_5in_cp_ratio_fit_mean,uiuc_5in_qt_ratio_fit_mean,airflow_thrust_multiplier_code,code_multiplier_over_uiuc_5in_mean,current_same_rpm_constant_qt_power_ratio_proxy,current_same_rpm_constant_qt_ratio_proxy,current_power_proxy_over_uiuc_cp_mean,current_qt_proxy_over_uiuc_qt_mean,translational_lift_intensity_code,transverse_lift_factor_code,high_advance_loss_code,disk_drag_force_per_rotor_n,flapping_tilt_deg_code,rotor_stall_intensity_code,stall_thrust_scale_code,wind_speed_m_s,measured_deflection_deg,stiff_blade_prediction_deg,hinged_blade_prediction_deg,blade_stiffness_nm_per_rad,effective_hinge_offset_fraction,racingquad_same_speed_mu_code,racingquad_same_speed_flapping_tilt_deg_code
uiuc_5in_forward_fit,DA4052 5x3.75 3-blade 7044 rpm,https://m-selig.ae.illinois.edu/props/volume-2/data/da4052_5x3.75_3b_1209ga_7044.txt,0.25,0.07957747154594767,0.8530495934827411,0.8152298347577194,0.9556652285940197,1,UIUC J = V/(nD); code advance ratio mu = V/(omega R) = J/pi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uiuc_5in_forward_fit,DA4052 5x3.75 3-blade 7044 rpm,https://m-selig.ae.illinois.edu/props/volume-2/data/da4052_5x3.75_3b_1209ga_7044.txt,0.45,0.1432394487827058,0.5170614224955276,0.5857949556862553,1.1329310797525651,1,UIUC J = V/(nD); code advance ratio mu = V/(omega R) = J/pi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uiuc_5in_forward_fit,DA4052 5x3.75 3-blade 7044 rpm,https://m-selig.ae.illinois.edu/props/volume-2/data/da4052_5x3.75_3b_1209ga_7044.txt,0.65,0.20690142601946396,0.181073251508314,0.3563600766147911,1.9680437262067325,1,UIUC J = V/(nD); code advance ratio mu = V/(omega R) = J/pi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uiuc_5in_forward_fit,NR640 5in 15deg 3-blade 9547 rpm,https://m-selig.ae.illinois.edu/props/volume-2/data/nr640_5_15deg_3b_0702rd_9547.txt,0.25,0.07957747154594767,0.9790316256399133,1.1741886294051982,1.1993367718205494,0,UIUC J = V/(nD); code advance ratio mu = V/(omega R) = J/pi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uiuc_5in_forward_fit,NR640 5in 15deg 3-blade 9547 rpm,https://m-selig.ae.illinois.edu/props/volume-2/data/nr640_5_15deg_3b_0702rd_9547.txt,0.45,0.1432394487827058,0.5388793289099054,0.7740261425702991,1.4363626530935418,0,UIUC J = V/(nD); code advance ratio mu = V/(omega R) = J/pi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uiuc_5in_forward_fit,NR640 5in 15deg 3-blade 9547 rpm,https://m-selig.ae.illinois.edu/props/volume-2/data/nr640_5_15deg_3b_0702rd_9547.txt,0.65,0.20690142601946396,0.09872703217989774,0.37386365573540004,3.786841835315739,1,UIUC J = V/(nD); code advance ratio mu = V/(omega R) = J/pi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uiuc_5in_forward_fit,MicroInvent 5x4 3-blade 6057 rpm,https://m-selig.ae.illinois.edu/props/volume-2/data/mit_5x4_0366rd_6057.txt,0.25,0.07957747154594767,0.8843292625383852,0.9144523714419576,1.0340632275552057,1,UIUC J = V/(nD); code advance ratio mu = V/(omega R) = J/pi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uiuc_5in_forward_fit,MicroInvent 5x4 3-blade 6057 rpm,https://m-selig.ae.illinois.edu/props/volume-2/data/mit_5x4_0366rd_6057.txt,0.45,0.1432394487827058,0.5917548329270198,0.7051777691100274,1.1916721754885877,1,UIUC J = V/(nD); code advance ratio mu = V/(omega R) = J/pi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uiuc_5in_forward_fit,MicroInvent 5x4 3-blade 6057 rpm,https://m-selig.ae.illinois.edu/props/volume-2/data/mit_5x4_0366rd_6057.txt,0.65,0.20690142601946396,0.2991804033156544,0.4959031667780972,1.65753893397519,1,UIUC J = V/(nD); code advance ratio mu = V/(omega R) = J/pi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uiuc_5in_forward_mean,UIUC 5in mean J=0.25,UIUC 5-inch forward-flow rows in this script,0.25,0.07957747154594767,,,,,"Mean/min/max across DA4052, NR640, and MicroInvent 5-inch prop rows. Q/T ratio is (CP/CT)/(static CP/static CT).",0.9054701605536799,0.8530495934827411,0.9790316256399133,0.967956945201625,0.8152298347577194,1.1741886294051982,1.0630217426565916,0.9556652285940197,1.1993367718205494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
