row_type,name,metric,value,unit,source_file,source_url,evidence_role,note,configuration,rotation_sense,gap_over_radius,center_spacing_over_radius,descent_ratio,vortex_radius_over_radius,normalized_circulation,isolated_vortex_radius_ratio,isolated_circulation_ratio,current_preset,current_gap_over_radius
side_by_side_vrs_packet_source,source,title,Experimental investigation of the vortex ring state for side-by-side propellers in descent flight,text,,https://doi.org/10.1063/5.0311688,source_traceability,Article title.,,,,,,,,,,,
side_by_side_vrs_packet_source,source,authors,"Bucherelli, Granata, Savino, and Zanotti",text,,https://doi.org/10.1063/5.0311688,source_traceability,Article authors.,,,,,,,,,,,
side_by_side_vrs_packet_source,source,journal,"Physics of Fluids 38, 035136 (2026)",text,,https://doi.org/10.1063/5.0311688,source_traceability,Journal citation.,,,,,,,,,,,
side_by_side_vrs_packet_source,source,doi,https://doi.org/10.1063/5.0311688,url,,https://doi.org/10.1063/5.0311688,source_traceability,Official DOI.,,,,,,,,,,,
side_by_side_vrs_packet_source,source,full_text_mirror,https://www.researchgate.net/publication/402690466_Experimental_investigation_of_the_vortex_ring_state_for_side-by-side_propellers_in_descent_flight,url,,https://doi.org/10.1063/5.0311688,source_traceability,Accessible full-text mirror used for table transcription when the AIP PDF was protected by browser checks.,,,,,,,,,,,
side_by_side_vrs_packet_experiment,experiment_setup,publication_year,2026,year,,https://doi.org/10.1063/5.0311688,experiment_setup,Published after the older Shetty/Selig and NASA Johnson anchors.,,,,,,,,,,,
side_by_side_vrs_packet_experiment,experiment_setup,propeller_diameter_m,0.3,m,,https://doi.org/10.1063/5.0311688,experiment_setup,Three-bladed Varioprop 12C nominal diameter.,,,,,,,,,,,
side_by_side_vrs_packet_experiment,experiment_setup,propeller_radius_m,0.15,m,,https://doi.org/10.1063/5.0311688,experiment_setup,Derived from the reported 0.300 m nominal diameter.,,,,,,,,,,,
side_by_side_vrs_packet_experiment,experiment_setup,blade_count,3,count,,https://doi.org/10.1063/5.0311688,experiment_setup,Three-bladed propeller.,,,,,,,,,,,
side_by_side_vrs_packet_experiment,experiment_setup,pitch_at_75_percent_radius_deg,12,deg,,https://doi.org/10.1063/5.0311688,experiment_setup,Pitch angle set at 75% radius.,,,,,,,,,,,
side_by_side_vrs_packet_experiment,experiment_setup,rotational_speed_rpm,7000,rpm,,https://doi.org/10.1063/5.0311688,experiment_setup,Fixed propeller speed for the experiment.,,,,,,,,,,,
side_by_side_vrs_packet_experiment,experiment_setup,reynolds_number_75r,116000,Re,,https://doi.org/10.1063/5.0311688,experiment_setup,Chord Reynolds number at 75% radius.,,,,,,,,,,,
side_by_side_vrs_packet_experiment,experiment_setup,wind_tunnel_section_width_m,1.5,m,,https://doi.org/10.1063/5.0311688,experiment_setup,Politecnico di Milano large wind tunnel open-jet section width.,,,,,,,,,,,
side_by_side_vrs_packet_experiment,experiment_setup,wind_tunnel_section_height_m,1,m,,https://doi.org/10.1063/5.0311688,experiment_setup,Politecnico di Milano large wind tunnel open-jet section height.,,,,,,,,,,,
side_by_side_vrs_packet_experiment,experiment_setup,wind_tunnel_max_speed_m_s,58,m/s,,https://doi.org/10.1063/5.0311688,experiment_setup,Reported maximum wind-tunnel speed.,,,,,,,,,,,
side_by_side_vrs_packet_experiment,experiment_setup,wind_tunnel_turbulence_fraction,0.001,fraction,,https://doi.org/10.1063/5.0311688,experiment_setup,Reported turbulence intensity below 0.1%.,,,,,,,,,,,
side_by_side_vrs_packet_experiment,experiment_setup,load_cell_thrust_range_n,22.4,N,,https://doi.org/10.1063/5.0311688,experiment_setup,FUTEK MBA500 thrust range.,,,,,,,,,,,
side_by_side_vrs_packet_experiment,experiment_setup,load_cell_torque_range_nm,5.65,N*m,,https://doi.org/10.1063/5.0311688,experiment_setup,FUTEK MBA500 torque range.,,,,,,,,,,,
side_by_side_vrs_packet_experiment,experiment_setup,load_cell_nonlinearity_fraction,0.0025,fraction,,https://doi.org/10.1063/5.0311688,experiment_setup,"Reported nonlinearity, full-scale fraction.",,,,,,,,,,,
side_by_side_vrs_packet_experiment,experiment_setup,load_cell_nonrepeatability_fraction,0.0005,fraction,,https://doi.org/10.1063/5.0311688,experiment_setup,"Reported non-repeatability, full-scale fraction.",,,,,,,,,,,
side_by_side_vrs_packet_experiment,experiment_setup,sample_rate_hz,25000,Hz,,https://doi.org/10.1063/5.0311688,experiment_setup,Load-cell acquisition sample rate.,,,,,,,,,,,
side_by_side_vrs_packet_experiment,experiment_setup,runs_per_operating_point,4,count,,https://doi.org/10.1063/5.0311688,experiment_setup,Independent runs per operating condition.,,,,,,,,,,,
side_by_side_vrs_packet_experiment,experiment_setup,piv_double_frame_count,500,count,,https://doi.org/10.1063/5.0311688,experiment_setup,PIV double frames per measurement point.,,,,,,,,,,,
side_by_side_vrs_packet_experiment,experiment_setup,piv_resolution_m,0.003,m,,https://doi.org/10.1063/5.0311688,experiment_setup,PIV spatial resolution.,,,,,,,,,,,
side_by_side_vrs_packet_experiment,experiment_setup,piv_max_in_plane_velocity_error_fraction,0.02,fraction,,https://doi.org/10.1063/5.0311688,experiment_setup,Reported maximum in-plane velocity error below 2%.,,,,,,,,,,,
side_by_side_vrs_packet_experiment,experiment_setup,public_machine_readable_raw_data,0,boolean,,https://doi.org/10.1063/5.0311688,experiment_setup,The article states data are available from the corresponding author upon reasonable request.,,,,,,,,,,,
side_by_side_vrs_packet_vortex_table,isolated_propeller,descent_ratio_dr,1.1,DR,,https://doi.org/10.1063/5.0311688,vortex_ring_table_ii,Isolated propeller VRS reference from the article's vortex-property table. Descent ratio where the vortex properties were tabulated.,isolated_propeller,single,,,1.1,0.78,5.38,1,1,,
side_by_side_vrs_packet_vortex_table,isolated_propeller,vortex_radius_over_prop_radius,0.78,R,,https://doi.org/10.1063/5.0311688,vortex_ring_table_ii,Isolated propeller VRS reference from the article's vortex-property table. Outer toroidal vortex radius normalized by propeller radius.,isolated_propeller,single,,,1.1,0.78,5.38,1,1,,
side_by_side_vrs_packet_vortex_table,isolated_propeller,normalized_circulation,5.38,Gamma/(Vinf*R),,https://doi.org/10.1063/5.0311688,vortex_ring_table_ii,Isolated propeller VRS reference from the article's vortex-property table. Outer toroidal vortex circulation normalized by free-stream speed and propeller radius.,isolated_propeller,single,,,1.1,0.78,5.38,1,1,,
side_by_side_vrs_packet_vortex_table,isolated_propeller,vortex_radius_ratio_vs_isolated,1,ratio,,https://doi.org/10.1063/5.0311688,vortex_ring_table_ii,Isolated propeller VRS reference from the article's vortex-property table. Vortex-radius ratio relative to isolated propeller table value.,isolated_propeller,single,,,1.1,0.78,5.38,1,1,,
side_by_side_vrs_packet_vortex_table,isolated_propeller,circulation_ratio_vs_isolated,1,ratio,,https://doi.org/10.1063/5.0311688,vortex_ring_table_ii,Isolated propeller VRS reference from the article's vortex-property table. Circulation ratio relative to isolated propeller table value.,isolated_propeller,single,,,1.1,0.78,5.38,1,1,,
side_by_side_vrs_packet_vortex_table,sbs_gap_0p1_co,descent_ratio_dr,0.9,DR,,https://doi.org/10.1063/5.0311688,vortex_ring_table_ii,Tight side-by-side co-rotating case. Descent ratio where the vortex properties were tabulated.,sbs_gap_0p1_co,co_rotating,0.1,2.1,0.9,0.54,3.53,0.692307692308,0.656133828996,,
side_by_side_vrs_packet_vortex_table,sbs_gap_0p1_co,vortex_radius_over_prop_radius,0.54,R,,https://doi.org/10.1063/5.0311688,vortex_ring_table_ii,Tight side-by-side co-rotating case. Outer toroidal vortex radius normalized by propeller radius.,sbs_gap_0p1_co,co_rotating,0.1,2.1,0.9,0.54,3.53,0.692307692308,0.656133828996,,
side_by_side_vrs_packet_vortex_table,sbs_gap_0p1_co,normalized_circulation,3.53,Gamma/(Vinf*R),,https://doi.org/10.1063/5.0311688,vortex_ring_table_ii,Tight side-by-side co-rotating case. Outer toroidal vortex circulation normalized by free-stream speed and propeller radius.,sbs_gap_0p1_co,co_rotating,0.1,2.1,0.9,0.54,3.53,0.692307692308,0.656133828996,,
side_by_side_vrs_packet_vortex_table,sbs_gap_0p1_co,vortex_radius_ratio_vs_isolated,0.692307692308,ratio,,https://doi.org/10.1063/5.0311688,vortex_ring_table_ii,Tight side-by-side co-rotating case. Vortex-radius ratio relative to isolated propeller table value.,sbs_gap_0p1_co,co_rotating,0.1,2.1,0.9,0.54,3.53,0.692307692308,0.656133828996,,
side_by_side_vrs_packet_vortex_table,sbs_gap_0p1_co,circulation_ratio_vs_isolated,0.656133828996,ratio,,https://doi.org/10.1063/5.0311688,vortex_ring_table_ii,Tight side-by-side co-rotating case. Circulation ratio relative to isolated propeller table value.,sbs_gap_0p1_co,co_rotating,0.1,2.1,0.9,0.54,3.53,0.692307692308,0.656133828996,,
