row_type,name,metric,value,unit,source_file,source_url,evidence_role,note,effect,prop_diameter_in,prop_diameter_m,facility,source_csv,row_index,distance_cm,distance_over_diameter,distance_over_radius,pwm,rpm_1,rpm_2,rpm_mean,fz_n,wall_force_n,abs_wall_force_n,wall_moment_nm,abs_wall_moment_nm,far_baseline_distance_cm,fz_over_far_same_pwm,source_mat,uncertainty_group
surface_jirs2024_packet_source,jirs2024_surface_effect,article_title,"Ground, Ceiling and Wall Effect Evaluation of Small Quadcopters in Pressure-controlled Environments",text,docs/data/raw/surface_jirs2024_effect/10846_2024_2155_MOESM1_ESM.zip,https://link.springer.com/article/10.1007/s10846-024-02155-7,source_inventory,Open-access Springer/JIRS article title.,,,,,,,,,,,,,,,,,,,,,,
surface_jirs2024_packet_source,jirs2024_surface_effect,article_doi,https://doi.org/10.1007/s10846-024-02155-7,url,docs/data/raw/surface_jirs2024_effect/10846_2024_2155_MOESM1_ESM.zip,https://doi.org/10.1007/s10846-024-02155-7,source_inventory,Article DOI.,,,,,,,,,,,,,,,,,,,,,,
surface_jirs2024_packet_source,jirs2024_surface_effect,article_publication_date,2024-08-24,date,docs/data/raw/surface_jirs2024_effect/10846_2024_2155_MOESM1_ESM.zip,https://link.springer.com/article/10.1007/s10846-024-02155-7,source_inventory,Springer metadata online publication date.,,,,,,,,,,,,,,,,,,,,,,
surface_jirs2024_packet_source,jirs2024_surface_effect,supplement_zip_url,https://static-content.springer.com/esm/art%3A10.1007%2Fs10846-024-02155-7/MediaObjects/10846_2024_2155_MOESM1_ESM.zip,url,docs/data/raw/surface_jirs2024_effect/10846_2024_2155_MOESM1_ESM.zip,https://static-content.springer.com/esm/art%3A10.1007%2Fs10846-024-02155-7/MediaObjects/10846_2024_2155_MOESM1_ESM.zip,source_inventory,Springer supplementary zip used for CSV extraction.,,,,,,,,,,,,,,,,,,,,,,
surface_jirs2024_packet_source,jirs2024_surface_effect,supplement_zenodo_doi,https://doi.org/10.5281/zenodo.11384638,url,docs/data/raw/surface_jirs2024_effect/10846_2024_2155_MOESM1_ESM.zip,https://zenodo.org/records/11384638,source_inventory,Supplementary repository DOI cited by the article.,,,,,,,,,,,,,,,,,,,,,,
surface_jirs2024_packet_source,jirs2024_surface_effect,supplement_zip_size_bytes,460164,bytes,docs/data/raw/surface_jirs2024_effect/10846_2024_2155_MOESM1_ESM.zip,https://static-content.springer.com/esm/art%3A10.1007%2Fs10846-024-02155-7/MediaObjects/10846_2024_2155_MOESM1_ESM.zip,source_inventory,Downloaded/cached supplementary zip size.,,,,,,,,,,,,,,,,,,,,,,
surface_jirs2024_packet_source,jirs2024_surface_effect,zip_file_count,18,files,docs/data/raw/surface_jirs2024_effect/10846_2024_2155_MOESM1_ESM.zip,https://static-content.springer.com/esm/art%3A10.1007%2Fs10846-024-02155-7/MediaObjects/10846_2024_2155_MOESM1_ESM.zip,source_inventory,All entries in the supplementary zip.,,,,,,,,,,,,,,,,,,,,,,
surface_jirs2024_packet_source,jirs2024_surface_effect,csv_file_count,9,files,docs/data/raw/surface_jirs2024_effect/10846_2024_2155_MOESM1_ESM.zip,https://static-content.springer.com/esm/art%3A10.1007%2Fs10846-024-02155-7/MediaObjects/10846_2024_2155_MOESM1_ESM.zip,source_inventory,CSV files parsed for measurement rows.,,,,,,,,,,,,,,,,,,,,,,
surface_jirs2024_packet_source,jirs2024_surface_effect,mat_file_count,4,files,docs/data/raw/surface_jirs2024_effect/10846_2024_2155_MOESM1_ESM.zip,https://static-content.springer.com/esm/art%3A10.1007%2Fs10846-024-02155-7/MediaObjects/10846_2024_2155_MOESM1_ESM.zip,source_inventory,MAT files include uncertainty and coefficient fields.,,,,,,,,,,,,,,,,,,,,,,
surface_jirs2024_packet_source,jirs2024_surface_effect,pdf_file_count,1,files,docs/data/raw/surface_jirs2024_effect/10846_2024_2155_MOESM1_ESM.zip,https://static-content.springer.com/esm/art%3A10.1007%2Fs10846-024-02155-7/MediaObjects/10846_2024_2155_MOESM1_ESM.zip,source_inventory,Measurement uncertainty PDF is present.,,,,,,,,,,,,,,,,,,,,,,
