row_type,name,h_over_r,cheeseman_bennett_ground_boost,kan_aau_hover_boost_proxy,source,note,preset,clearance_m,ground_effect_height_m,ceiling_effect_height_m,current_ground_multiplier,current_ceiling_multiplier,current_ground_intensity,current_ceiling_intensity,ground_multiplier_over_cheeseman,ceiling_multiplier_over_ground_multiplier,obstruction,transverse_speed_m_s,two_rotor_wall_force_over_weight,four_rotor_wall_force_over_weight,wall_force_per_rotor_n,two_rotor_wall_force_n,four_rotor_wall_force_n,spin_ratio_hover,thrust_fraction_hover,speed_washout,blockage,wall_cushion,build_tau_s,release_tau_s
reference_ground_curve,h_over_r_0.5,0.5,1.3333333333333333,1.4749262536873158,https://projekter.aau.dk/projekter/files/454478098/finalquad.pdf,Cheeseman-Bennett boost and AAU/Kan hover formula inverted as a same-direction boost proxy.,,,,,,,,,,,,,,,,,,,,,,,,
reference_ground_curve,h_over_r_1,1.0,1.0666666666666667,1.1778563015312131,https://projekter.aau.dk/projekter/files/454478098/finalquad.pdf,Cheeseman-Bennett boost and AAU/Kan hover formula inverted as a same-direction boost proxy.,,,,,,,,,,,,,,,,,,,,,,,,
reference_ground_curve,h_over_r_1.5,1.5,1.0285714285714287,1.1037527593818983,https://projekter.aau.dk/projekter/files/454478098/finalquad.pdf,Cheeseman-Bennett boost and AAU/Kan hover formula inverted as a same-direction boost proxy.,,,,,,,,,,,,,,,,,,,,,,,,
reference_ground_curve,h_over_r_2,2.0,1.0158730158730158,1.0700909577314073,https://projekter.aau.dk/projekter/files/454478098/finalquad.pdf,Cheeseman-Bennett boost and AAU/Kan hover formula inverted as a same-direction boost proxy.,,,,,,,,,,,,,,,,,,,,,,,,
reference_ground_curve,h_over_r_3,3.0,1.0069930069930069,1.0384215991692627,https://projekter.aau.dk/projekter/files/454478098/finalquad.pdf,Cheeseman-Bennett boost and AAU/Kan hover formula inverted as a same-direction boost proxy.,,,,,,,,,,,,,,,,,,,,,,,,
reference_ground_curve,h_over_r_4,4.0,1.003921568627451,1.0232796111537477,https://projekter.aau.dk/projekter/files/454478098/finalquad.pdf,Cheeseman-Bennett boost and AAU/Kan hover formula inverted as a same-direction boost proxy.,,,,,,,,,,,,,,,,,,,,,,,,
reference_ground_curve,h_over_r_6,6.0,1.0017391304347827,1.0085728693898133,https://projekter.aau.dk/projekter/files/454478098/finalquad.pdf,Cheeseman-Bennett boost and AAU/Kan hover formula inverted as a same-direction boost proxy.,,,,,,,,,,,,,,,,,,,,,,,,
current_ground_ceiling_scan,racingQuad,0.5,1.3333333333333333,1.4749262536873158,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java ground/ceiling formulas scanned at clearance = h/R * rotor_radius.,racingQuad,0.03175,0.6,0.75,1.16145403125,1.123811935,0.8969668402777776,0.9171254444444444,0.8710905234374999,0.9675905414788667,,,,,,,,,,,,,,
current_ground_ceiling_scan,racingQuad,1.0,1.0666666666666667,1.1778563015312131,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java ground/ceiling formulas scanned at clearance = h/R * rotor_radius.,racingQuad,0.0635,0.6,0.75,1.143916125,1.11310774,0.7995340277777778,0.8378351111111111,1.0724213671875,0.973067618921798,,,,,,,,,,,,,,
current_ground_ceiling_scan,racingQuad,1.5,1.0285714285714287,1.1037527593818983,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java ground/ceiling formulas scanned at clearance = h/R * rotor_radius.,racingQuad,0.09525,0.6,0.75,1.12738628125,1.102887415,0.7077015625,0.762129,1.096069995659722,0.9782693237824072,,,,,,,,,,,,,,
current_ground_ceiling_scan,racingQuad,2.0,1.0158730158730158,1.0700909577314073,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java ground/ceiling formulas scanned at clearance = h/R * rotor_radius.,racingQuad,0.127,0.6,0.75,1.1118645,1.09315096,0.6214694444444444,0.6900071111111111,1.0944916171875,0.9831692261062387,,,,,,,,,,,,,,
current_ground_ceiling_scan,racingQuad,3.0,1.0069930069930069,1.0384215991692627,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java ground/ceiling formulas scanned at clearance = h/R * rotor_radius.,racingQuad,0.1905,0.6,0.75,1.083845125,1.07512966,0.46580625,0.556516,1.0763184227430558,0.9919587542546726,,,,,,,,,,,,,,
current_ground_ceiling_scan,racingQuad,4.0,1.003921568627451,1.0232796111537477,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java ground/ceiling formulas scanned at clearance = h/R * rotor_radius.,racingQuad,0.254,0.6,0.75,1.059858,1.05904384,0.3325444444444444,0.4373617777777778,1.0557179296875,0.999231821621387,,,,,,,,,,,,,,
current_ground_ceiling_scan,racingQuad,6.0,1.0017391304347827,1.0085728693898133,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current Java ground/ceiling formulas scanned at clearance = h/R * rotor_radius.,racingQuad,0.381,0.6,0.75,1.0239805,1.03267864,0.13322499999999998,0.242064,1.0222027560763887,1.0084944391030886,,,,,,,,,,,,,,
