row_type,name,metric,value,unit,source_file,source_url,evidence_role,note,parameter_group,point,parameter,preset,johnson_parameter,ratio_over_vh,axis,hover_induced_velocity_m_s,descent_speed_m_s
vrs_johnson_packet_source,NASA_Johnson_TP_2005_213477,source_title,Model for Vortex Ring State Influence on Rotorcraft Flight Dynamics,text,docs/data/raw/rotorcraft.arc.nasa.gov_Publications_files_Johnson_TP-2005-213477.pdf,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,source_inventory,NASA report title.,,,,,,,,,
vrs_johnson_packet_source,NASA_Johnson_TP_2005_213477,source_report,NASA/TP-2005-213477,text,docs/data/raw/rotorcraft.arc.nasa.gov_Publications_files_Johnson_TP-2005-213477.pdf,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,source_inventory,NASA technical publication identifier.,,,,,,,,,
vrs_johnson_packet_source,NASA_Johnson_TP_2005_213477,source_url,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,url,docs/data/raw/rotorcraft.arc.nasa.gov_Publications_files_Johnson_TP-2005-213477.pdf,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,source_inventory,Official NASA PDF URL.,,,,,,,,,
vrs_johnson_packet_source,NASA_Johnson_TP_2005_213477,source_pdf_cache,docs/data/raw/rotorcraft.arc.nasa.gov_Publications_files_Johnson_TP-2005-213477.pdf,path,docs/data/raw/rotorcraft.arc.nasa.gov_Publications_files_Johnson_TP-2005-213477.pdf,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,source_inventory,Local PDF cache used as source evidence.,,,,,,,,,
vrs_johnson_packet_source,NASA_Johnson_TP_2005_213477,source_table,Table 4: VRS model parameters; velocities scaled with vh,text,docs/data/raw/rotorcraft.arc.nasa.gov_Publications_files_Johnson_TP-2005-213477.pdf,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,source_inventory,Parameter table used for numeric rows.,,,,,,,,,
vrs_johnson_packet_table4_parameter,baseline_A_VzA,VzA,-1.5,vh,docs/data/raw/rotorcraft.arc.nasa.gov_Publications_files_Johnson_TP-2005-213477.pdf,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,johnson_table4_parameter,Baseline model axial descent point on momentum-theory branch.,baseline,A,VzA,,,,,,
vrs_johnson_packet_table4_parameter,baseline_B_VzB,VzB,-2.1,vh,docs/data/raw/rotorcraft.arc.nasa.gov_Publications_files_Johnson_TP-2005-213477.pdf,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,johnson_table4_parameter,Baseline model axial descent point on momentum-theory branch.,baseline,B,VzB,,,,,,
vrs_johnson_packet_table4_parameter,baseline_C_VxC,VxC,0.75,vh,docs/data/raw/rotorcraft.arc.nasa.gov_Publications_files_Johnson_TP-2005-213477.pdf,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,johnson_table4_parameter,Forward-speed cutoff where baseline model uses momentum theory.,baseline,C,VxC,,,,,,
vrs_johnson_packet_table4_parameter,vrs_D_VzD,VzD,-0.2,vh,docs/data/raw/rotorcraft.arc.nasa.gov_Publications_files_Johnson_TP-2005-213477.pdf,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,johnson_table4_parameter,Upper VRS-model join to the baseline curve.,vrs,D,VzD,,,,,,
vrs_johnson_packet_table4_parameter,vrs_N_VzN,VzN,-0.45,vh,docs/data/raw/rotorcraft.arc.nasa.gov_Publications_files_Johnson_TP-2005-213477.pdf,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,johnson_table4_parameter,Zero-damping/stability-boundary point in vertical descent.,vrs,N,VzN,,,,,,
