row_type,name,source,descent_ratio_vi_low,descent_ratio_vi_high,max_reported_thrust_loss_fraction,rotor_diameter_in_low,rotor_diameter_in_high,reynolds_low,reynolds_high,note,prop_diameter_in_low,prop_diameter_in_high,tested_prop_count,advance_ratio_low,advance_ratio_high,rotational_speed_rpm,wind_tunnel_speed_low_ft_s,wind_tunnel_speed_high_ft_s,wind_tunnel_speed_step_ft_s,wind_tunnel_speed_low_m_s,wind_tunnel_speed_high_m_s,wind_tunnel_speed_step_m_s,steady_replicates_per_condition,steady_data_points_per_run,time_history_lpf_hz,time_history_duration_s,time_history_sample_rate_hz,time_history_advance_ratio_count,time_history_prop_count,time_history_example_advance_ratios,time_history_figure_ids,max_thrust_fluctuation_half_amplitude_fraction,vertical_descent_speed_ft_s,vertical_descent_speed_m_s,net_thrust_loss_fraction_low,net_thrust_loss_fraction_high,windmilling_speed_ft_s,windmilling_speed_m_s,windmilling_rotor_speed_rpm,urdf_source,prop_radius_m,downwash_coeff_1,downwash_coeff_2,downwash_coeff_3,formula,figure,prop,pitch_in,advance_ratio_j,hover_ct_digitized,mean_ct_digitized,lower_measured_ct_digitized,upper_measured_ct_digitized,measured_half_amplitude_ct,measured_half_amplitude_over_mean_fraction,descent_ratio_vi_proxy,reference_source,preset,reference_prop,reference_figure,reference_advance_ratio_j,reference_measured_half_amplitude_fraction,current_vrs_shape_no_crossflow_max_spin,current_vrs_base_thrust_loss_percent_max_spin,current_vrs_buffet_half_amplitude_fraction_max_spin,current_buffet_over_reference_measured_half_amplitude,current_base_loss_over_cambridge_peak_loss_33pct,hover_induced_velocity_m_s,descent_ratio_vi,descent_speed_m_s,hover_spin_ratio,current_vrs_intensity_hover_spin_no_crossflow,current_vrs_entry_component,current_vrs_exit_component,current_vrs_base_thrust_loss_percent_hover_spin,current_vrs_buffet_thrust_amplitude_percent_max_spin,current_vrs_lateral_force_bound_percent_max_thrust,current_propwash_descent_factor,propwash_start_ratio_vi,propwash_full_ratio_vi,propwash_max_torque_nm
reference_vrs_peak_band,Cambridge Flow dual-rotor axial descent,https://www.cambridge.org/core/journals/flow/article/effects-of-rotor-separation-on-the-axial-descent-performance-of-dualrotor-configurations/BE7FE0D2E732E777CBD43F8E65CA0692,1.2,1.3,0.33,4.0,6.0,30000.0,81000.0,Small fixed-pitch rotor wind-tunnel study; peak mean loss/fluctuation band is the strongest direct small-prop anchor in this packet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_vrs_broad_regime,NASA Johnson rotorcraft VRS model,https://rotorcraft.arc.nasa.gov/Publications/files/Johnson_TP-2005-213477.pdf,0.5,1.5,,,,,,"Broad rotorcraft VRS model anchor; use as a regime sanity check, not an FPV torque/buffet lookup.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_small_prop_vrs_dataset,Shetty/Selig small-scale propellers in VRS,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,,,,,,,,AIAA small-scale fixed-pitch propeller VRS experiment with thrust/power curves in axial descent; text reports maximum thrust fluctuations of about +/-30% near the minimum-thrust advance ratio. Digitize figures before coefficient fitting.,9.0,11.0,26.0,-0.8,0.0,4000.0,8.0,40.0,2.0,2.44,12.19,0.61,3.0,51.0,10.0,90.0,120.0,9.0,10.0,hover; -0.19; -0.62,Figures 11-16,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_multirotor_descent_wind_tunnel,NASA/Drexel COTS quadrotor vertical descent,https://researchdiscovery.drexel.edu/view/pdfCoverPage?download=true&filePid=13594340130004721&instCode=01DRXU_INST,,,,,,,,Open multirotor wind-tunnel reference for vertical-descent disturbances and thrust-loss scale; it is platform-specific and should not overwrite induced-velocity normalization.,,,,,,,,,,,,,,,,,,,,,,,50.0,15.24,0.08,0.1,55.0,16.764,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_downwash_formula,gym-pybullet-drones cf2x downwash,https://raw.githubusercontent.com/utiasDSL/gym-pybullet-drones/main/gym_pybullet_drones/envs/BaseAviary.py,,,,,,,,Open-source nearby-drone downwash model; it supports having a wake term but does not directly calibrate this project's self-propwash torque.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/utiasDSL/gym-pybullet-drones/main/gym_pybullet_drones/assets/cf2x.urdf,0.0231348,2267.18,0.16,-0.11,alpha=dw1*(R/(4*dz))^2; beta=dw2*dz+dw3; Fz=-alpha*exp(-0.5*(delta_xy/beta)^2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shetty_selig_fig11_13_manual_digitization,APC Thin Electric 10x5 Fig. 11 J=0.00,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,,,,,,,,Low-precision manual digitization of measured thrust-envelope limits from Figs. 11-13. V/vi proxy uses digitized hover CT and momentum-theory vi/(nD)=sqrt(2CT/pi).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fig. 11,APC Thin Electric 10x5,5.0,0.0,0.092,0.092,0.088,0.098,0.0050000000000000044,0.05434782608695657,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
shetty_selig_fig11_13_manual_digitization,APC Thin Electric 10x5 Fig. 11 J=-0.19,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,,,,,,,,Low-precision manual digitization of measured thrust-envelope limits from Figs. 11-13. V/vi proxy uses digitized hover CT and momentum-theory vi/(nD)=sqrt(2CT/pi).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fig. 11,APC Thin Electric 10x5,5.0,-0.19,0.092,0.084,0.066,0.112,0.023,0.2738095238095238,0.7850903257178906,,,,,,,,,,,,,,,,,,,,,,,,,
shetty_selig_fig11_13_manual_digitization,APC Thin Electric 10x5 Fig. 11 J=-0.30,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,,,,,,,,Low-precision manual digitization of measured thrust-envelope limits from Figs. 11-13. V/vi proxy uses digitized hover CT and momentum-theory vi/(nD)=sqrt(2CT/pi).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fig. 11,APC Thin Electric 10x5,5.0,-0.3,0.092,0.08,0.022,0.128,0.053000000000000005,0.6625000000000001,1.2396163037650905,,,,,,,,,,,,,,,,,,,,,,,,,
shetty_selig_fig11_13_manual_digitization,APC Thin Electric 10x5 Fig. 11 J=-0.42,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,,,,,,,,Low-precision manual digitization of measured thrust-envelope limits from Figs. 11-13. V/vi proxy uses digitized hover CT and momentum-theory vi/(nD)=sqrt(2CT/pi).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fig. 11,APC Thin Electric 10x5,5.0,-0.42,0.092,0.112,0.094,0.134,0.020000000000000004,0.1785714285714286,1.7354628252711266,,,,,,,,,,,,,,,,,,,,,,,,,
shetty_selig_fig11_13_manual_digitization,APC Thin Electric 10x5 Fig. 11 J=-0.62,https://m-selig.ae.illinois.edu/pubs/ShettySelig-2011-AIAA-2011-1254-LRN-VSR-Props.pdf,,,,,,,,Low-precision manual digitization of measured thrust-envelope limits from Figs. 11-13. V/vi proxy uses digitized hover CT and momentum-theory vi/(nD)=sqrt(2CT/pi).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fig. 11,APC Thin Electric 10x5,5.0,-0.62,0.092,0.16,0.15,0.17,0.010000000000000009,0.06250000000000006,2.5618736944478537,,,,,,,,,,,,,,,,,,,,,,,,,
